Date,AWK
2022-02-28,151.08999633789062
2022-03-01,151.02000427246094
2022-03-02,152.10000610351562
2022-03-03,154.94000244140625
2022-03-04,161.0399932861328
2022-03-07,159.22000122070312
2022-03-08,154.25
2022-03-09,153.7899932861328
2022-03-10,153.1300048828125
2022-03-11,152.0800018310547
2022-03-14,152.6199951171875
2022-03-15,155.9499969482422
2022-03-16,156.14999389648438
2022-03-17,157.42999267578125
2022-03-18,158.72000122070312
2022-03-21,157.00999450683594
2022-03-22,156.5800018310547
2022-03-23,155.60000610351562
2022-03-24,158.14999389648438
2022-03-25,159.5500030517578
2022-03-28,161.4199981689453
2022-03-29,164.44000244140625
2022-03-30,165.85000610351562
2022-03-31,165.52999877929688
2022-04-01,168.83999633789062
2022-04-04,166.25
2022-04-05,167.63999938964844
2022-04-06,168.99000549316406
2022-04-07,171.13999938964844
2022-04-08,169.8699951171875
2022-04-11,169.22000122070312
2022-04-12,168.5500030517578
2022-04-13,167.14999389648438
2022-04-14,166.16000366210938
2022-04-18,162.44000244140625
2022-04-19,164.3800048828125
2022-04-20,167.55999755859375
2022-04-21,165.30999755859375
2022-04-22,164.1999969482422
2022-04-25,160.80999755859375
2022-04-26,158.25999450683594
2022-04-27,156.24000549316406
2022-04-28,160.67999267578125
2022-04-29,154.0800018310547
2022-05-02,148.8300018310547
2022-05-03,149.6199951171875
2022-05-04,152.5
2022-05-05,148.36000061035156
2022-05-06,149.00999450683594
2022-05-09,145.7899932861328
2022-05-10,143.5500030517578
2022-05-11,144.0399932861328
2022-05-12,145.82000732421875
2022-05-13,146.47999572753906
2022-05-16,145.97000122070312
2022-05-17,146.41000366210938
2022-05-18,144.27999877929688
2022-05-19,145.0500030517578
2022-05-20,145.57000732421875
2022-05-23,148.36000061035156
2022-05-24,148.47000122070312
2022-05-25,146.88999938964844
2022-05-26,148.82000732421875
2022-05-27,151.75999450683594
2022-05-31,151.25
2022-06-01,151.9199981689453
2022-06-02,155.05999755859375
2022-06-03,155.14999389648438
2022-06-06,155.10000610351562
2022-06-07,156.85000610351562
2022-06-08,153.60000610351562
2022-06-09,150.55999755859375
2022-06-10,148.27000427246094
2022-06-13,140.66000366210938
2022-06-14,133.47000122070312
2022-06-15,135.02000427246094
2022-06-16,130.8800048828125
2022-06-17,131.83999633789062
2022-06-21,134.44000244140625
2022-06-22,137.00999450683594
2022-06-23,144.5800018310547
2022-06-24,148.33999633789062
2022-06-27,148.9499969482422
2022-06-28,145.10000610351562
2022-06-29,145.82000732421875
2022-06-30,148.77000427246094
2022-07-01,153.42999267578125
2022-07-05,149.64999389648438
2022-07-06,152.24000549316406
2022-07-07,153.22999572753906
2022-07-08,150.86000061035156
2022-07-11,150.1699981689453
2022-07-12,148.02999877929688
2022-07-13,148.02000427246094
2022-07-14,146.5399932861328
2022-07-15,148.57000732421875
2022-07-18,145.07000732421875
2022-07-19,146.77000427246094
2022-07-20,144.7100067138672
2022-07-21,145.9499969482422
2022-07-22,148.22000122070312
2022-07-25,149.8300018310547
2022-07-26,150.55999755859375
2022-07-27,151.27000427246094
2022-07-28,155.50999450683594
2022-07-29,155.44000244140625
2022-08-01,156.6300048828125
2022-08-02,155.47999572753906
2022-08-03,157.64999389648438
2022-08-04,158.63999938964844
2022-08-05,155.63999938964844
2022-08-08,155.14999389648438
2022-08-09,155.3699951171875
2022-08-10,156.77000427246094
2022-08-11,155.1999969482422
2022-08-12,158.3300018310547
2022-08-15,159.24000549316406
2022-08-16,159.5
2022-08-17,158.94000244140625
2022-08-18,158.75
2022-08-19,157.80999755859375
2022-08-22,155.17999267578125
2022-08-23,152.8000030517578
2022-08-24,154.52999877929688
2022-08-25,155.32000732421875
2022-08-26,151.08999633789062
2022-08-29,151.63999938964844
2022-08-30,150.49000549316406
2022-08-31,148.4499969482422
2022-09-01,151.47999572753906
2022-09-02,148.1199951171875
2022-09-06,148.4199981689453
2022-09-07,153.33999633789062
2022-09-08,154.52000427246094
2022-09-09,154.89999389648438
2022-09-12,156.8699951171875
2022-09-13,152.13999938964844
2022-09-14,153.47999572753906
2022-09-15,147.86000061035156
2022-09-16,148.39999389648438
2022-09-19,148.5500030517578
2022-09-20,145.44000244140625
2022-09-21,144.32000732421875
2022-09-22,142.7899932861328
2022-09-23,140.91000366210938
2022-09-26,137.3300018310547
2022-09-27,134.7100067138672
2022-09-28,137.4199981689453
2022-09-29,133.1999969482422
2022-09-30,130.16000366210938
2022-10-03,134.35000610351562
2022-10-04,136.52000427246094
2022-10-05,133.39999389648438
2022-10-06,131.24000549316406
2022-10-07,127.44999694824219
2022-10-10,127.44000244140625
2022-10-11,127.72000122070312
2022-10-12,126.01000213623047
2022-10-13,128.97999572753906
2022-10-14,128.44000244140625
2022-10-17,131.4199981689453
2022-10-18,134.77000427246094
2022-10-19,134.0
2022-10-20,129.92999267578125
2022-10-21,132.75999450683594
2022-10-24,135.9600067138672
2022-10-25,139.5500030517578
2022-10-26,139.22000122070312
2022-10-27,142.02000427246094
2022-10-28,145.94000244140625
2022-10-31,145.33999633789062
2022-11-01,141.83999633789062
2022-11-02,138.16000366210938
2022-11-03,137.83999633789062
2022-11-04,139.0399932861328
2022-11-07,138.0399932861328
