Date,EMN
2022-02-28,118.47000122070312
2022-03-01,114.5999984741211
2022-03-02,117.25
2022-03-03,117.5199966430664
2022-03-04,114.86000061035156
2022-03-07,105.2699966430664
2022-03-08,105.04000091552734
2022-03-09,108.70999908447266
2022-03-10,106.88999938964844
2022-03-11,105.41999816894531
2022-03-14,106.08000183105469
2022-03-15,106.0
2022-03-16,107.0999984741211
2022-03-17,107.29000091552734
2022-03-18,107.9000015258789
2022-03-21,109.70999908447266
2022-03-22,110.45999908447266
2022-03-23,109.36000061035156
2022-03-24,110.63999938964844
2022-03-25,110.69000244140625
2022-03-28,110.27999877929688
2022-03-29,113.66000366210938
2022-03-30,114.30000305175781
2022-03-31,112.05999755859375
2022-04-01,111.37999725341797
2022-04-04,111.61000061035156
2022-04-05,109.9800033569336
2022-04-06,108.2699966430664
2022-04-07,106.95999908447266
2022-04-08,108.19000244140625
2022-04-11,107.51000213623047
2022-04-12,107.48999786376953
2022-04-13,108.38999938964844
2022-04-14,107.91000366210938
2022-04-18,108.81999969482422
2022-04-19,109.56999969482422
2022-04-20,111.0
2022-04-21,110.45999908447266
2022-04-22,106.41999816894531
2022-04-25,105.86000061035156
2022-04-26,103.95999908447266
2022-04-27,105.12999725341797
2022-04-28,107.38999938964844
2022-04-29,102.66999816894531
2022-05-02,101.86000061035156
2022-05-03,104.94999694824219
2022-05-04,108.05000305175781
2022-05-05,105.66999816894531
2022-05-06,105.88999938964844
2022-05-09,103.41999816894531
2022-05-10,102.13999938964844
2022-05-11,101.86000061035156
2022-05-12,101.02999877929688
2022-05-13,103.05000305175781
2022-05-16,103.3499984741211
2022-05-17,106.9000015258789
2022-05-18,104.22000122070312
2022-05-19,103.19000244140625
2022-05-20,101.95999908447266
2022-05-23,103.2699966430664
2022-05-24,103.66999816894531
2022-05-25,104.7300033569336
2022-05-26,107.97000122070312
2022-05-27,109.62999725341797
2022-05-31,110.16000366210938
2022-06-01,109.63999938964844
2022-06-02,111.41000366210938
2022-06-03,110.22000122070312
2022-06-06,111.37999725341797
2022-06-07,112.29000091552734
2022-06-08,109.26000213623047
2022-06-09,108.51000213623047
2022-06-10,102.19000244140625
2022-06-13,97.80000305175781
2022-06-14,96.23999786376953
2022-06-15,95.05000305175781
2022-06-16,87.44999694824219
2022-06-17,87.66999816894531
2022-06-21,90.30000305175781
2022-06-22,89.04000091552734
2022-06-23,86.4000015258789
2022-06-24,92.44999694824219
2022-06-27,92.3499984741211
2022-06-28,91.66000366210938
2022-06-29,91.20999908447266
2022-06-30,89.7699966430664
2022-07-01,88.94999694824219
2022-07-05,88.36000061035156
2022-07-06,88.7300033569336
2022-07-07,90.77999877929688
2022-07-08,90.19000244140625
2022-07-11,89.66999816894531
2022-07-12,90.70999908447266
2022-07-13,88.58000183105469
2022-07-14,86.54000091552734
2022-07-15,88.66999816894531
2022-07-18,88.98999786376953
2022-07-19,92.16999816894531
2022-07-20,92.36000061035156
2022-07-21,93.12000274658203
2022-07-22,93.06999969482422
2022-07-25,94.22000122070312
2022-07-26,92.83000183105469
2022-07-27,94.98999786376953
2022-07-28,95.16000366210938
2022-07-29,95.93000030517578
2022-08-01,94.05999755859375
2022-08-02,93.22000122070312
2022-08-03,93.37000274658203
