Date,CVX
2022-02-28,144.0
2022-03-01,149.72000122070312
2022-03-02,154.13999938964844
2022-03-03,156.22000122070312
2022-03-04,158.64999389648438
2022-03-07,162.0399932861328
2022-03-08,170.52999877929688
2022-03-09,166.27000427246094
2022-03-10,170.82000732421875
2022-03-11,170.89999389648438
2022-03-14,166.72000122070312
2022-03-15,158.27999877929688
2022-03-16,157.7100067138672
2022-03-17,160.44000244140625
2022-03-18,161.72999572753906
2022-03-21,164.63999938964844
2022-03-22,164.08999633789062
2022-03-23,165.86000061035156
2022-03-24,166.3000030517578
2022-03-25,169.30999755859375
2022-03-28,166.35000610351562
2022-03-29,164.32000732421875
2022-03-30,165.47999572753906
2022-03-31,162.8300018310547
2022-04-01,164.22000122070312
2022-04-04,164.3699951171875
2022-04-05,163.36000061035156
2022-04-06,164.80999755859375
2022-04-07,167.10000610351562
2022-04-08,169.92999267578125
2022-04-11,165.55999755859375
2022-04-12,169.00999450683594
2022-04-13,171.6699981689453
2022-04-14,171.58999633789062
2022-04-18,173.88999938964844
2022-04-19,171.8300018310547
2022-04-20,172.52999877929688
2022-04-21,164.5800018310547
2022-04-22,160.9499969482422
2022-04-25,157.49000549316406
2022-04-26,156.52999877929688
2022-04-27,156.24000549316406
2022-04-28,161.7899932861328
2022-04-29,156.6699981689453
2022-05-02,159.75
2022-05-03,162.49000549316406
2022-05-04,167.58999633789062
2022-05-05,166.25999450683594
2022-05-06,170.69000244140625
2022-05-09,159.25
2022-05-10,160.77999877929688
2022-05-11,163.16000366210938
2022-05-12,164.7100067138672
2022-05-13,167.8699951171875
2022-05-16,173.00999450683594
2022-05-17,174.02999877929688
2022-05-18,168.05999755859375
2022-05-19,166.86000061035156
2022-05-20,167.82000732421875
2022-05-23,171.72000122070312
2022-05-24,172.63999938964844
2022-05-25,175.41000366210938
2022-05-26,176.58999633789062
2022-05-27,178.27999877929688
2022-05-31,174.66000366210938
2022-06-01,176.32000732421875
2022-06-02,176.0
2022-06-03,177.60000610351562
2022-06-06,176.8300018310547
2022-06-07,180.1999969482422
2022-06-08,181.1300048828125
2022-06-09,177.52000427246094
2022-06-10,175.39999389648438
2022-06-13,167.3300018310547
2022-06-14,167.5500030517578
2022-06-15,164.25999450683594
2022-06-16,155.47999572753906
2022-06-17,148.3800048828125
2022-06-21,154.58999633789062
