Date,CCI
2022-02-28,166.58999633789062
2022-03-01,168.00999450683594
2022-03-02,173.1999969482422
2022-03-03,175.83999633789062
2022-03-04,179.10000610351562
2022-03-07,176.77999877929688
2022-03-08,173.85000610351562
2022-03-09,173.9600067138672
2022-03-10,176.1699981689453
2022-03-11,173.6300048828125
2022-03-14,172.77000427246094
2022-03-15,172.75999450683594
2022-03-16,173.39999389648438
2022-03-17,176.9199981689453
2022-03-18,174.8800048828125
2022-03-21,175.10000610351562
2022-03-22,174.02000427246094
2022-03-23,173.4199981689453
2022-03-24,175.30999755859375
2022-03-25,177.5800018310547
2022-03-28,180.8300018310547
2022-03-29,183.8699951171875
2022-03-30,184.55999755859375
2022-03-31,184.60000610351562
2022-04-01,189.0399932861328
2022-04-04,189.08999633789062
2022-04-05,193.11000061035156
2022-04-06,197.57000732421875
2022-04-07,196.52000427246094
2022-04-08,198.02000427246094
2022-04-11,196.05999755859375
2022-04-12,194.08999633789062
2022-04-13,193.4600067138672
2022-04-14,192.67999267578125
2022-04-18,190.9499969482422
2022-04-19,193.8699951171875
2022-04-20,197.92999267578125
2022-04-21,196.39999389648438
2022-04-22,194.13999938964844
2022-04-25,192.8699951171875
2022-04-26,188.6199951171875
2022-04-27,188.74000549316406
2022-04-28,192.07000732421875
2022-04-29,185.2100067138672
2022-05-02,180.82000732421875
2022-05-03,183.7100067138672
2022-05-04,184.44000244140625
2022-05-05,181.58999633789062
2022-05-06,182.60000610351562
2022-05-09,175.3800048828125
2022-05-10,170.2899932861328
2022-05-11,170.6999969482422
2022-05-12,172.0500030517578
2022-05-13,176.49000549316406
2022-05-16,175.69000244140625
2022-05-17,176.8000030517578
2022-05-18,175.4600067138672
2022-05-19,178.3800048828125
2022-05-20,182.1999969482422
2022-05-23,185.2100067138672
2022-05-24,191.61000061035156
2022-05-25,190.17999267578125
2022-05-26,187.52999877929688
2022-05-27,193.38999938964844
2022-05-31,189.64999389648438
2022-06-01,188.08999633789062
2022-06-02,187.2100067138672
2022-06-03,183.0399932861328
2022-06-06,184.77999877929688
2022-06-07,185.9600067138672
2022-06-08,184.4499969482422
2022-06-09,179.6300048828125
2022-06-10,172.64999389648438
2022-06-13,166.0399932861328
2022-06-14,157.9199981689453
2022-06-15,160.25
2022-06-16,154.99000549316406
2022-06-17,156.14999389648438
2022-06-21,161.9600067138672
2022-06-22,168.07000732421875
2022-06-23,171.5800018310547
2022-06-24,174.99000549316406
2022-06-27,173.4600067138672
2022-06-28,168.58999633789062
2022-06-29,167.30999755859375
2022-06-30,168.3800048828125
2022-07-01,172.36000061035156
2022-07-05,171.52999877929688
2022-07-06,171.77000427246094
2022-07-07,171.63999938964844
2022-07-08,171.39999389648438
2022-07-11,172.25999450683594
2022-07-12,170.94000244140625
2022-07-13,170.91000366210938
2022-07-14,171.02000427246094
2022-07-15,173.39999389648438
2022-07-18,170.1300048828125
2022-07-19,173.52999877929688
2022-07-20,170.52999877929688
2022-07-21,173.00999450683594
2022-07-22,172.86000061035156
2022-07-25,171.5
2022-07-26,174.6199951171875
2022-07-27,173.5399932861328
2022-07-28,181.2100067138672
2022-07-29,180.66000366210938
2022-08-01,179.97000122070312
2022-08-02,177.85000610351562
2022-08-03,178.5
2022-08-04,178.35000610351562
2022-08-05,178.39999389648438
2022-08-08,179.24000549316406
2022-08-09,179.86000061035156
2022-08-10,181.8000030517578
2022-08-11,178.8800048828125
2022-08-12,181.67999267578125
2022-08-15,184.13999938964844
2022-08-16,182.30999755859375
2022-08-17,181.47000122070312
2022-08-18,181.0500030517578
2022-08-19,180.13999938964844
2022-08-22,177.0
2022-08-23,173.11000061035156
2022-08-24,174.83999633789062
2022-08-25,177.4199981689453
2022-08-26,173.41000366210938
2022-08-29,173.4499969482422
2022-08-30,170.1699981689453
2022-08-31,170.8300018310547
2022-09-01,172.0
2022-09-02,167.75999450683594
2022-09-06,169.22999572753906
2022-09-07,173.67999267578125
2022-09-08,174.22999572753906
2022-09-09,174.5500030517578
2022-09-12,176.8300018310547
2022-09-13,169.1300048828125
2022-09-14,166.5
2022-09-15,161.60000610351562
2022-09-16,163.22000122070312
2022-09-19,163.4199981689453
2022-09-20,161.33999633789062
2022-09-21,158.38999938964844
2022-09-22,157.08999633789062
2022-09-23,153.66000366210938
2022-09-26,150.75999450683594
2022-09-27,148.13999938964844
2022-09-28,150.07000732421875
2022-09-29,144.25
2022-09-30,144.5500030517578
2022-10-03,147.7100067138672
2022-10-04,150.36000061035156
2022-10-05,145.77000427246094
2022-10-06,137.6999969482422
2022-10-07,134.35000610351562
2022-10-10,132.6300048828125
2022-10-11,132.52999877929688
2022-10-12,129.02999877929688
2022-10-13,131.1199951171875
2022-10-14,127.6500015258789
2022-10-17,132.97000122070312
2022-10-18,133.3800048828125
2022-10-19,130.6999969482422
2022-10-20,126.80000305175781
2022-10-21,123.58999633789062
2022-10-24,122.44999694824219
2022-10-25,126.43000030517578
2022-10-26,128.30999755859375
2022-10-27,128.0
