Date,PAYC
2022-02-28,339.2099914550781
2022-03-01,334.6000061035156
2022-03-02,338.20001220703125
2022-03-03,323.95001220703125
2022-03-04,318.5400085449219
2022-03-07,301.3399963378906
2022-03-08,294.5799865722656
2022-03-09,311.2099914550781
2022-03-10,309.6700134277344
2022-03-11,303.2200012207031
2022-03-14,297.6600036621094
2022-03-15,306.010009765625
2022-03-16,327.2200012207031
2022-03-17,343.1099853515625
2022-03-18,359.0199890136719
2022-03-21,351.8699951171875
2022-03-22,357.239990234375
2022-03-23,344.2799987792969
2022-03-24,348.8500061035156
2022-03-25,341.260009765625
2022-03-28,348.07000732421875
2022-03-29,359.7099914550781
2022-03-30,347.260009765625
2022-03-31,346.3800048828125
2022-04-01,350.9800109863281
2022-04-04,358.6400146484375
2022-04-05,354.1499938964844
2022-04-06,335.04998779296875
2022-04-07,328.07000732421875
2022-04-08,323.69000244140625
2022-04-11,316.7300109863281
2022-04-12,317.45001220703125
2022-04-13,325.0799865722656
2022-04-14,319.3599853515625
2022-04-18,308.45001220703125
2022-04-19,318.9700012207031
2022-04-20,311.8999938964844
2022-04-21,303.8900146484375
2022-04-22,295.9700012207031
2022-04-25,303.4599914550781
2022-04-26,284.79998779296875
2022-04-27,282.30999755859375
2022-04-28,295.3399963378906
2022-04-29,281.4700012207031
2022-05-02,292.7200012207031
2022-05-03,288.4599914550781
2022-05-04,328.20001220703125
2022-05-05,301.04998779296875
2022-05-06,295.239990234375
2022-05-09,280.1700134277344
2022-05-10,283.9800109863281
2022-05-11,266.1400146484375
2022-05-12,274.989990234375
2022-05-13,288.55999755859375
2022-05-16,279.80999755859375
2022-05-17,281.6400146484375
2022-05-18,268.94000244140625
2022-05-19,269.6600036621094
2022-05-20,276.7900085449219
2022-05-23,274.3800048828125
2022-05-24,266.69000244140625
2022-05-25,274.8599853515625
2022-05-26,281.69000244140625
2022-05-27,294.2799987792969
2022-05-31,284.3399963378906
2022-06-01,282.17999267578125
2022-06-02,303.1000061035156
2022-06-03,298.5199890136719
2022-06-06,302.010009765625
2022-06-07,307.30999755859375
2022-06-08,312.0
2022-06-09,302.3999938964844
2022-06-10,294.3900146484375
2022-06-13,268.5
2022-06-14,270.45001220703125
2022-06-15,273.82000732421875
2022-06-16,259.9700012207031
2022-06-17,264.8299865722656
2022-06-21,271.989990234375
2022-06-22,273.1700134277344
2022-06-23,286.1400146484375
2022-06-24,306.5299987792969
2022-06-27,300.0799865722656
2022-06-28,286.6400146484375
2022-06-29,284.17999267578125
2022-06-30,280.1199951171875
2022-07-01,291.1700134277344
2022-07-05,313.2900085449219
2022-07-06,312.739990234375
2022-07-07,326.010009765625
2022-07-08,323.2900085449219
2022-07-11,319.94000244140625
2022-07-12,296.79998779296875
2022-07-13,295.3800048828125
2022-07-14,290.739990234375
2022-07-15,301.8299865722656
2022-07-18,299.7799987792969
2022-07-19,311.489990234375
2022-07-20,325.95001220703125
2022-07-21,330.9700012207031
2022-07-22,324.5299987792969
2022-07-25,317.0400085449219
2022-07-26,302.9100036621094
2022-07-27,320.20001220703125
2022-07-28,326.57000732421875
2022-07-29,330.489990234375
2022-08-01,332.05999755859375
2022-08-02,337.8599853515625
2022-08-03,352.3299865722656
2022-08-04,360.7699890136719
2022-08-05,370.010009765625
2022-08-08,367.989990234375
2022-08-09,371.489990234375
2022-08-10,377.3299865722656
2022-08-11,377.8999938964844
2022-08-12,393.9100036621094
2022-08-15,398.9100036621094
2022-08-16,396.989990234375
2022-08-17,390.67999267578125
2022-08-18,387.0
2022-08-19,377.010009765625
2022-08-22,367.8900146484375
2022-08-23,368.69000244140625
2022-08-24,371.45001220703125
2022-08-25,374.1400146484375
2022-08-26,360.6000061035156
2022-08-29,351.17999267578125
2022-08-30,357.2900085449219
2022-08-31,351.20001220703125
2022-09-01,346.57000732421875
2022-09-02,344.4599914550781
2022-09-06,345.9200134277344
2022-09-07,356.1600036621094
2022-09-08,364.55999755859375
2022-09-09,370.1700134277344
2022-09-12,375.69000244140625
2022-09-13,361.3699951171875
2022-09-14,364.0400085449219
2022-09-15,351.5799865722656
2022-09-16,349.6000061035156
2022-09-19,351.45001220703125
2022-09-20,346.9200134277344
2022-09-21,343.2799987792969
2022-09-22,328.4599914550781
2022-09-23,325.75
2022-09-26,320.92999267578125
2022-09-27,328.2900085449219
2022-09-28,341.7799987792969
2022-09-29,334.42999267578125
2022-09-30,329.989990234375
2022-10-03,336.6400146484375
2022-10-04,349.6199951171875
2022-10-05,351.6700134277344
2022-10-06,353.6000061035156
2022-10-07,338.3999938964844
2022-10-10,323.9800109863281
2022-10-11,319.4200134277344
2022-10-12,311.3699951171875
2022-10-13,313.44000244140625
2022-10-14,298.7300109863281
2022-10-17,315.6600036621094
2022-10-18,329.1400146484375
2022-10-19,320.5
2022-10-20,318.30999755859375
2022-10-21,323.010009765625
2022-10-24,324.0199890136719
2022-10-25,337.1600036621094
2022-10-26,331.0400085449219
2022-10-27,333.80999755859375
2022-10-28,341.6199951171875
2022-10-31,346.0
2022-11-01,342.7099914550781
2022-11-02,316.45001220703125
2022-11-03,326.3299865722656
2022-11-04,306.20001220703125
2022-11-07,296.2099914550781
2022-11-08,304.8599853515625
2022-11-09,299.510009765625
2022-11-10,329.75
2022-11-11,340.3500061035156
2022-11-14,329.82000732421875
2022-11-15,347.19000244140625
2022-11-16,337.69000244140625
2022-11-17,318.3399963378906
2022-11-18,316.3900146484375
2022-11-21,315.1400146484375
2022-11-22,319.3800048828125
2022-11-23,327.2099914550781
2022-11-25,327.1000061035156
