Date,INTU
2022-02-28,474.3699951171875
2022-03-01,468.5799865722656
2022-03-02,486.0
2022-03-03,472.70001220703125
2022-03-04,464.95001220703125
2022-03-07,437.3900146484375
2022-03-08,442.2099914550781
2022-03-09,464.739990234375
2022-03-10,452.3699951171875
2022-03-11,439.32000732421875
2022-03-14,424.6300048828125
2022-03-15,439.67999267578125
2022-03-16,457.8999938964844
2022-03-17,473.75
2022-03-18,479.8699951171875
2022-03-21,466.5
2022-03-22,475.989990234375
2022-03-23,461.44000244140625
2022-03-24,465.6300048828125
2022-03-25,459.3500061035156
2022-03-28,480.5
2022-03-29,485.3599853515625
2022-03-30,471.95001220703125
2022-03-31,480.8399963378906
2022-04-01,483.92999267578125
2022-04-04,505.6499938964844
2022-04-05,496.04998779296875
2022-04-06,490.2099914550781
2022-04-07,495.010009765625
2022-04-08,482.8399963378906
2022-04-11,473.3399963378906
2022-04-12,461.6199951171875
2022-04-13,470.4200134277344
2022-04-14,465.1099853515625
2022-04-18,469.0400085449219
2022-04-19,485.07000732421875
2022-04-20,481.95001220703125
2022-04-21,465.6499938964844
2022-04-22,443.2900085449219
2022-04-25,446.92999267578125
2022-04-26,421.3500061035156
2022-04-27,418.25
2022-04-28,444.5799865722656
2022-04-29,418.75
2022-05-02,427.010009765625
2022-05-03,430.8399963378906
2022-05-04,447.9200134277344
2022-05-05,409.8599853515625
2022-05-06,395.7099914550781
2022-05-09,367.010009765625
2022-05-10,371.19000244140625
2022-05-11,356.1700134277344
2022-05-12,353.8900146484375
2022-05-13,371.760009765625
2022-05-16,359.5899963378906
2022-05-17,371.8699951171875
2022-05-18,353.30999755859375
2022-05-19,362.3299865722656
2022-05-20,367.7799987792969
2022-05-23,371.3699951171875
2022-05-24,358.9700012207031
2022-05-25,388.45001220703125
2022-05-26,406.4200134277344
2022-05-27,422.4800109863281
2022-05-31,414.4599914550781
2022-06-01,408.3699951171875
2022-06-02,426.8599853515625
2022-06-03,408.95001220703125
2022-06-06,408.9700012207031
2022-06-07,416.6499938964844
2022-06-08,414.4599914550781
2022-06-09,400.54998779296875
2022-06-10,381.2200012207031
2022-06-13,363.989990234375
2022-06-14,364.7799987792969
2022-06-15,378.5400085449219
2022-06-16,359.6300048828125
2022-06-17,369.7099914550781
2022-06-21,377.42999267578125
2022-06-22,380.8399963378906
2022-06-23,400.75
2022-06-24,417.6199951171875
2022-06-27,404.7200012207031
2022-06-28,386.2900085449219
2022-06-29,389.6600036621094
2022-06-30,385.44000244140625
2022-07-01,388.30999755859375
2022-07-05,400.2200012207031
2022-07-06,404.9100036621094
2022-07-07,410.8399963378906
2022-07-08,406.80999755859375
2022-07-11,402.55999755859375
2022-07-12,385.8699951171875
2022-07-13,383.30999755859375
2022-07-14,379.8699951171875
2022-07-15,392.9599914550781
2022-07-18,388.25
2022-07-19,403.8599853515625
2022-07-20,420.45001220703125
2022-07-21,434.70001220703125
2022-07-22,434.739990234375
2022-07-25,426.20001220703125
2022-07-26,414.2200012207031
2022-07-27,433.1600036621094
2022-07-28,448.5899963378906
2022-07-29,456.1700134277344
2022-08-01,448.4599914550781
2022-08-02,446.9700012207031
2022-08-03,465.75
2022-08-04,466.29998779296875
2022-08-05,468.989990234375
2022-08-08,466.760009765625
2022-08-09,462.07000732421875
2022-08-10,478.0899963378906
2022-08-11,478.7699890136719
2022-08-12,486.6600036621094
