Date,ALB
2022-02-28,195.88999938964844
2022-03-01,186.44000244140625
2022-03-02,191.1199951171875
2022-03-03,186.3300018310547
2022-03-04,179.07000732421875
2022-03-07,172.08999633789062
2022-03-08,180.74000549316406
2022-03-09,187.1300048828125
2022-03-10,188.3699951171875
2022-03-11,184.75999450683594
2022-03-14,176.2899932861328
2022-03-15,181.9499969482422
2022-03-16,191.25
2022-03-17,196.3699951171875
2022-03-18,198.24000549316406
2022-03-21,198.67999267578125
2022-03-22,205.60000610351562
2022-03-23,208.2100067138672
2022-03-24,214.14999389648438
2022-03-25,217.5800018310547
2022-03-28,214.33999633789062
2022-03-29,222.47999572753906
2022-03-30,223.14999389648438
2022-03-31,221.14999389648438
2022-04-01,224.9199981689453
2022-04-04,226.0399932861328
2022-04-05,217.3000030517578
2022-04-06,211.47000122070312
2022-04-07,211.85000610351562
2022-04-08,211.0
2022-04-11,206.0
2022-04-12,205.02000427246094
2022-04-13,212.5
2022-04-14,210.88999938964844
2022-04-18,209.6699981689453
2022-04-19,218.14999389648438
2022-04-20,217.19000244140625
2022-04-21,207.24000549316406
2022-04-22,200.63999938964844
2022-04-25,198.4600067138672
2022-04-26,187.75999450683594
2022-04-27,192.22999572753906
2022-04-28,195.25999450683594
2022-04-29,192.8300018310547
2022-05-02,191.4199981689453
2022-05-03,197.1199951171875
2022-05-04,215.47000122070312
2022-05-05,236.5
2022-05-06,242.41000366210938
2022-05-09,221.63999938964844
2022-05-10,221.42999267578125
2022-05-11,213.02999877929688
2022-05-12,213.4499969482422
2022-05-13,228.82000732421875
2022-05-16,226.32000732421875
2022-05-17,239.22999572753906
2022-05-18,235.97999572753906
2022-05-19,239.0800018310547
2022-05-20,236.44000244140625
2022-05-23,242.94000244140625
2022-05-24,243.14999389648438
2022-05-25,237.50999450683594
2022-05-26,255.0500030517578
2022-05-27,270.9200134277344
2022-05-31,260.4200134277344
2022-06-01,240.1199951171875
2022-06-02,251.2899932861328
2022-06-03,250.75999450683594
2022-06-06,257.7900085449219
2022-06-07,257.8900146484375
2022-06-08,253.6199951171875
2022-06-09,241.77999877929688
2022-06-10,236.8699951171875
2022-06-13,222.22000122070312
2022-06-14,223.3300018310547
2022-06-15,215.0800018310547
2022-06-16,202.1699981689453
2022-06-17,212.0399932861328
2022-06-21,216.3300018310547
2022-06-22,216.24000549316406
2022-06-23,213.6199951171875
2022-06-24,224.7899932861328
2022-06-27,226.6199951171875
2022-06-28,223.19000244140625
2022-06-29,211.88999938964844
2022-06-30,208.97999572753906
2022-07-01,205.14999389648438
2022-07-05,200.42999267578125
2022-07-06,198.3000030517578
2022-07-07,203.0
2022-07-08,205.92999267578125
2022-07-11,199.82000732421875
2022-07-12,195.82000732421875
2022-07-13,196.0
2022-07-14,196.66000366210938
2022-07-15,200.6999969482422
2022-07-18,203.8800048828125
2022-07-19,211.52000427246094
2022-07-20,219.50999450683594
2022-07-21,225.60000610351562
2022-07-22,221.4600067138672
2022-07-25,227.57000732421875
2022-07-26,225.10000610351562
2022-07-27,234.2899932861328
2022-07-28,236.32000732421875
2022-07-29,244.30999755859375
2022-08-01,239.9600067138672
2022-08-02,243.88999938964844
2022-08-03,239.5399932861328
2022-08-04,234.88999938964844
2022-08-05,237.99000549316406
2022-08-08,244.83999633789062
2022-08-09,244.66000366210938
2022-08-10,259.29998779296875
2022-08-11,265.70001220703125
2022-08-12,281.57000732421875
2022-08-15,284.0799865722656
2022-08-16,280.80999755859375
2022-08-17,277.6199951171875
2022-08-18,279.510009765625
2022-08-19,270.0199890136719
2022-08-22,275.70001220703125
2022-08-23,281.0299987792969
2022-08-24,287.8800048828125
2022-08-25,295.67999267578125
2022-08-26,288.1600036621094
2022-08-29,284.9700012207031
2022-08-30,272.7699890136719
2022-08-31,267.9599914550781
2022-09-01,256.9599914550781
2022-09-02,259.8800048828125
2022-09-06,266.70001220703125
2022-09-07,279.20001220703125
2022-09-08,291.42999267578125
2022-09-09,300.3699951171875
2022-09-12,296.9700012207031
2022-09-13,298.0899963378906
2022-09-14,307.04998779296875
2022-09-15,286.75
2022-09-16,287.32000732421875
2022-09-19,296.95001220703125
2022-09-20,287.6499938964844
2022-09-21,285.0299987792969
2022-09-22,272.1499938964844
2022-09-23,269.45001220703125
2022-09-26,265.0299987792969
2022-09-27,269.67999267578125
2022-09-28,277.95001220703125
2022-09-29,265.44000244140625
2022-09-30,264.44000244140625
2022-10-03,273.7300109863281
2022-10-04,283.7799987792969
2022-10-05,276.79998779296875
2022-10-06,280.94000244140625
2022-10-07,272.5299987792969
2022-10-10,278.1000061035156
2022-10-11,272.989990234375
2022-10-12,251.4499969482422
2022-10-13,256.0
2022-10-14,237.47000122070312
2022-10-17,248.02999877929688
2022-10-18,251.6699981689453
2022-10-19,256.510009765625
2022-10-20,255.38999938964844
2022-10-21,270.010009765625
2022-10-24,270.57000732421875
2022-10-25,281.42999267578125
2022-10-26,282.1499938964844
2022-10-27,282.1700134277344
2022-10-28,280.1600036621094
2022-10-31,279.8699951171875
2022-11-01,279.0
2022-11-02,266.5199890136719
2022-11-03,274.55999755859375
2022-11-04,284.989990234375
2022-11-07,286.489990234375
2022-11-08,306.010009765625
2022-11-09,300.1300048828125
2022-11-10,320.7699890136719
2022-11-11,325.3800048828125
2022-11-14,316.3500061035156
2022-11-15,295.8599853515625
2022-11-16,286.7699890136719
2022-11-17,277.45001220703125
2022-11-18,276.9800109863281
2022-11-21,282.8800048828125
2022-11-22,283.0899963378906
2022-11-23,283.8999938964844
2022-11-25,272.82000732421875
