Date,MOS
2022-02-28,52.43000030517578
2022-03-01,51.869998931884766
2022-03-02,53.7599983215332
2022-03-03,55.65999984741211
2022-03-04,59.83000183105469
2022-03-07,61.13999938964844
2022-03-08,58.189998626708984
2022-03-09,57.720001220703125
2022-03-10,62.189998626708984
2022-03-11,61.91999816894531
2022-03-14,58.099998474121094
2022-03-15,58.43000030517578
2022-03-16,57.56999969482422
2022-03-17,61.099998474121094
2022-03-18,62.08000183105469
2022-03-21,67.19999694824219
2022-03-22,65.68000030517578
2022-03-23,67.93000030517578
2022-03-24,68.56999969482422
2022-03-25,71.33999633789062
2022-03-28,67.97000122070312
2022-03-29,64.44999694824219
2022-03-30,65.5199966430664
2022-03-31,66.5
2022-04-01,65.87999725341797
2022-04-04,67.0
2022-04-05,67.75
2022-04-06,69.19000244140625
2022-04-07,71.5199966430664
2022-04-08,73.86000061035156
2022-04-11,73.91000366210938
2022-04-12,75.4800033569336
2022-04-13,75.05000305175781
2022-04-14,76.05000305175781
2022-04-18,78.1500015258789
2022-04-19,77.9800033569336
2022-04-20,75.7699966430664
2022-04-21,68.66000366210938
2022-04-22,66.7699966430664
2022-04-25,63.61000061035156
2022-04-26,63.66999816894531
2022-04-27,64.8499984741211
2022-04-28,65.31999969482422
2022-04-29,62.41999816894531
2022-05-02,62.400001525878906
2022-05-03,67.83000183105469
2022-05-04,67.12000274658203
2022-05-05,64.7300033569336
2022-05-06,64.05000305175781
2022-05-09,55.86000061035156
2022-05-10,57.63999938964844
2022-05-11,59.459999084472656
2022-05-12,58.7400016784668
2022-05-13,62.290000915527344
2022-05-16,63.08000183105469
2022-05-17,65.63999938964844
2022-05-18,61.45000076293945
2022-05-19,61.16999816894531
2022-05-20,57.95000076293945
2022-05-23,61.0
2022-05-24,58.20000076293945
2022-05-25,59.81999969482422
2022-05-26,58.959999084472656
2022-05-27,59.849998474121094
2022-05-31,62.650001525878906
2022-06-01,58.689998626708984
2022-06-02,60.099998474121094
2022-06-03,59.689998626708984
2022-06-06,59.560001373291016
2022-06-07,57.18000030517578
2022-06-08,56.79999923706055
2022-06-09,53.65999984741211
2022-06-10,53.36000061035156
2022-06-13,51.43000030517578
2022-06-14,52.72999954223633
2022-06-15,53.61000061035156
2022-06-16,50.939998626708984
2022-06-17,50.599998474121094
2022-06-21,51.58000183105469
2022-06-22,50.029998779296875
2022-06-23,45.2400016784668
2022-06-24,46.61000061035156
2022-06-27,48.7400016784668
2022-06-28,49.279998779296875
2022-06-29,48.13999938964844
2022-06-30,47.22999954223633
2022-07-01,46.91999816894531
2022-07-05,44.52000045776367
2022-07-06,44.459999084472656
2022-07-07,45.130001068115234
2022-07-08,45.220001220703125
2022-07-11,44.91999816894531
2022-07-12,44.869998931884766
2022-07-13,46.310001373291016
2022-07-14,43.66999816894531
2022-07-15,45.02000045776367
2022-07-18,45.709999084472656
2022-07-19,48.06999969482422
2022-07-20,48.029998779296875
2022-07-21,48.18000030517578
2022-07-22,47.63999938964844
2022-07-25,50.5099983215332
2022-07-26,49.65999984741211
2022-07-27,51.119998931884766
2022-07-28,50.79999923706055
2022-07-29,52.65999984741211
2022-08-01,51.38999938964844
2022-08-02,52.220001220703125
2022-08-03,52.93000030517578
2022-08-04,51.709999084472656
2022-08-05,52.220001220703125
2022-08-08,52.310001373291016
2022-08-09,54.0099983215332
2022-08-10,53.9900016784668
2022-08-11,54.7599983215332
2022-08-12,54.849998474121094
2022-08-15,53.15999984741211
2022-08-16,54.38999938964844
2022-08-17,54.209999084472656
2022-08-18,54.72999954223633
2022-08-19,53.52000045776367
2022-08-22,55.36000061035156
2022-08-23,57.25
2022-08-24,60.689998626708984
2022-08-25,61.939998626708984
2022-08-26,61.77000045776367
2022-08-29,60.34000015258789
2022-08-30,57.34000015258789
2022-08-31,53.869998931884766
2022-09-01,52.84000015258789
2022-09-02,54.84000015258789
2022-09-06,54.0099983215332
2022-09-07,53.119998931884766
2022-09-08,54.15999984741211
2022-09-09,56.2400016784668
2022-09-12,52.439998626708984
2022-09-13,52.61000061035156
2022-09-14,53.900001525878906
2022-09-15,53.61000061035156
2022-09-16,52.20000076293945
2022-09-19,54.869998931884766
2022-09-20,54.310001373291016
2022-09-21,53.5
2022-09-22,52.52000045776367
2022-09-23,48.529998779296875
2022-09-26,46.5099983215332
2022-09-27,48.439998626708984
2022-09-28,49.63999938964844
2022-09-29,48.38999938964844
2022-09-30,48.33000183105469
2022-10-03,49.439998626708984
2022-10-04,52.09000015258789
2022-10-05,51.09000015258789
2022-10-06,51.310001373291016
2022-10-07,51.060001373291016
2022-10-10,52.689998626708984
2022-10-11,49.560001373291016
2022-10-12,50.119998931884766
2022-10-13,52.0
2022-10-14,46.86000061035156
2022-10-17,48.25
2022-10-18,50.810001373291016
2022-10-19,50.720001220703125
2022-10-20,51.529998779296875
2022-10-21,53.099998474121094
2022-10-24,52.4900016784668
2022-10-25,53.630001068115234
2022-10-26,53.34000015258789
2022-10-27,53.540000915527344
2022-10-28,53.13999938964844
2022-10-31,53.75
2022-11-01,54.45000076293945
2022-11-02,51.88999938964844
2022-11-03,48.84000015258789
2022-11-04,49.290000915527344
2022-11-07,49.91999816894531
2022-11-08,52.88999938964844
2022-11-09,49.630001068115234
2022-11-10,53.5
2022-11-11,52.790000915527344
2022-11-14,53.119998931884766
2022-11-15,52.59000015258789
2022-11-16,50.16999816894531
2022-11-17,49.97999954223633
2022-11-18,48.970001220703125
2022-11-21,48.65999984741211
2022-11-22,50.470001220703125
2022-11-23,50.599998474121094
