Date,ZTS
2022-02-28,193.64999389648438
2022-03-01,192.5399932861328
2022-03-02,196.07000732421875
2022-03-03,195.8699951171875
2022-03-04,196.83999633789062
2022-03-07,188.08999633789062
2022-03-08,181.38999938964844
2022-03-09,189.5800018310547
2022-03-10,189.22000122070312
2022-03-11,185.2899932861328
2022-03-14,184.66000366210938
2022-03-15,189.11000061035156
2022-03-16,191.9199981689453
2022-03-17,193.67999267578125
2022-03-18,195.89999389648438
2022-03-21,194.7100067138672
2022-03-22,196.8800048828125
2022-03-23,191.22999572753906
2022-03-24,189.57000732421875
2022-03-25,189.42999267578125
2022-03-28,189.3699951171875
2022-03-29,192.27999877929688
2022-03-30,191.32000732421875
2022-03-31,188.58999633789062
2022-04-01,191.11000061035156
2022-04-04,188.74000549316406
2022-04-05,188.39999389648438
2022-04-06,191.3800048828125
2022-04-07,197.92999267578125
2022-04-08,200.08999633789062
2022-04-11,192.5
2022-04-12,187.91000366210938
2022-04-13,189.52000427246094
2022-04-14,187.3000030517578
2022-04-18,182.80999755859375
2022-04-19,185.94000244140625
2022-04-20,187.77999877929688
2022-04-21,184.72000122070312
2022-04-22,181.9499969482422
2022-04-25,180.3000030517578
2022-04-26,176.97000122070312
2022-04-27,178.47000122070312
2022-04-28,181.30999755859375
2022-04-29,177.25
2022-05-02,174.6699981689453
2022-05-03,175.13999938964844
2022-05-04,176.86000061035156
2022-05-05,171.4499969482422
2022-05-06,169.2100067138672
2022-05-09,161.80999755859375
2022-05-10,162.64999389648438
2022-05-11,159.89999389648438
2022-05-12,163.0800018310547
2022-05-13,165.3300018310547
2022-05-16,165.5
2022-05-17,166.42999267578125
2022-05-18,158.86000061035156
2022-05-19,158.6300048828125
2022-05-20,162.55999755859375
2022-05-23,163.0
2022-05-24,163.0500030517578
2022-05-25,163.02999877929688
2022-05-26,165.89999389648438
2022-05-27,172.10000610351562
2022-05-31,170.92999267578125
2022-06-01,167.02000427246094
2022-06-02,172.6999969482422
2022-06-03,169.00999450683594
2022-06-06,171.00999450683594
2022-06-07,173.77999877929688
2022-06-08,171.2899932861328
2022-06-09,166.49000549316406
2022-06-10,161.49000549316406
2022-06-13,155.97000122070312
2022-06-14,157.8000030517578
2022-06-15,158.07000732421875
2022-06-16,157.38999938964844
2022-06-17,158.8300018310547
2022-06-21,162.00999450683594
2022-06-22,164.2100067138672
2022-06-23,169.1699981689453
2022-06-24,174.61000061035156
2022-06-27,173.60000610351562
2022-06-28,170.1199951171875
2022-06-29,173.9199981689453
2022-06-30,171.88999938964844
2022-07-01,174.2100067138672
2022-07-05,174.25
2022-07-06,178.5
2022-07-07,179.10000610351562
2022-07-08,177.97999572753906
2022-07-11,177.0399932861328
2022-07-12,173.80999755859375
2022-07-13,167.80999755859375
2022-07-14,170.7899932861328
2022-07-15,174.5399932861328
2022-07-18,171.75999450683594
2022-07-19,177.4199981689453
2022-07-20,176.25
2022-07-21,180.60000610351562
2022-07-22,178.17999267578125
2022-07-25,175.17999267578125
2022-07-26,176.3800048828125
2022-07-27,177.47000122070312
2022-07-28,182.27000427246094
2022-07-29,182.5500030517578
2022-08-01,179.74000549316406
2022-08-02,178.8300018310547
2022-08-03,180.16000366210938
2022-08-04,174.30999755859375
2022-08-05,174.61000061035156
2022-08-08,174.00999450683594
2022-08-09,169.5500030517578
2022-08-10,174.05999755859375
2022-08-11,173.17999267578125
2022-08-12,175.6699981689453
2022-08-15,174.4499969482422
2022-08-16,171.7899932861328
2022-08-17,172.4600067138672
2022-08-18,170.1699981689453
2022-08-19,169.52000427246094
2022-08-22,165.0399932861328
2022-08-23,162.4199981689453
2022-08-24,162.6300048828125
2022-08-25,165.52999877929688
2022-08-26,159.88999938964844
2022-08-29,157.8699951171875
2022-08-30,157.0800018310547
2022-08-31,156.52999877929688
2022-09-01,159.41000366210938
2022-09-02,156.97999572753906
2022-09-06,156.83999633789062
2022-09-07,160.39999389648438
2022-09-08,158.49000549316406
2022-09-09,164.30999755859375
2022-09-12,166.35000610351562
2022-09-13,160.99000549316406
2022-09-14,160.22999572753906
2022-09-15,159.17999267578125
2022-09-16,157.3000030517578
2022-09-19,157.19000244140625
2022-09-20,152.94000244140625
2022-09-21,151.24000549316406
2022-09-22,149.4600067138672
2022-09-23,150.0500030517578
2022-09-26,148.60000610351562
2022-09-27,149.39999389648438
2022-09-28,152.25999450683594
2022-09-29,150.9499969482422
2022-09-30,148.2899932861328
2022-10-03,151.35000610351562
2022-10-04,154.75
2022-10-05,154.58999633789062
2022-10-06,152.58999633789062
2022-10-07,147.3699951171875
2022-10-10,145.77999877929688
2022-10-11,146.25
2022-10-12,145.86000061035156
2022-10-13,148.63999938964844
2022-10-14,145.39999389648438
2022-10-17,149.7899932861328
2022-10-18,150.4199981689453
2022-10-19,148.1300048828125
2022-10-20,144.42999267578125
2022-10-21,147.2100067138672
2022-10-24,149.3699951171875
2022-10-25,152.3000030517578
2022-10-26,151.6699981689453
2022-10-27,151.13999938964844
2022-10-28,153.27999877929688
2022-10-31,150.77999877929688
2022-11-01,152.72000122070312
2022-11-02,147.36000061035156
2022-11-03,131.13999938964844
2022-11-04,133.6699981689453
2022-11-07,137.86000061035156
2022-11-08,136.2100067138672
2022-11-09,133.1699981689453
2022-11-10,142.61000061035156
2022-11-11,148.5500030517578
2022-11-14,146.4499969482422
2022-11-15,149.82000732421875
