Date,NOW
2022-02-28,579.9199829101562
2022-03-01,571.0700073242188
2022-03-02,587.0599975585938
2022-03-03,562.3099975585938
2022-03-04,547.0700073242188
2022-03-07,519.6199951171875
2022-03-08,518.2000122070312
2022-03-09,559.5800170898438
2022-03-10,533.5900268554688
2022-03-11,512.1500244140625
2022-03-14,495.1000061035156
2022-03-15,514.219970703125
2022-03-16,547.4000244140625
2022-03-17,566.6799926757812
2022-03-18,579.8800048828125
2022-03-21,569.7999877929688
2022-03-22,588.6599731445312
2022-03-23,567.9600219726562
2022-03-24,581.0900268554688
2022-03-25,561.8699951171875
2022-03-28,582.760009765625
2022-03-29,597.75
2022-03-30,573.989990234375
2022-03-31,556.8900146484375
2022-04-01,548.6900024414062
2022-04-04,574.8200073242188
2022-04-05,553.219970703125
2022-04-06,527.9500122070312
2022-04-07,529.780029296875
2022-04-08,515.5999755859375
2022-04-11,511.4200134277344
2022-04-12,510.2099914550781
2022-04-13,526.0700073242188
2022-04-14,507.3299865722656
2022-04-18,497.5299987792969
2022-04-19,514.4000244140625
2022-04-20,505.2200012207031
2022-04-21,491.6700134277344
2022-04-22,471.3999938964844
2022-04-25,472.2699890136719
2022-04-26,456.0
2022-04-27,466.2900085449219
2022-04-28,504.0199890136719
2022-04-29,478.1000061035156
2022-05-02,484.5
2022-05-03,481.8599853515625
2022-05-04,499.4599914550781
2022-05-05,469.3299865722656
2022-05-06,456.739990234375
2022-05-09,425.8699951171875
2022-05-10,432.32000732421875
2022-05-11,420.3599853515625
2022-05-12,432.94000244140625
2022-05-13,452.6499938964844
2022-05-16,432.92999267578125
2022-05-17,432.8500061035156
2022-05-18,412.25
2022-05-19,426.760009765625
2022-05-20,433.0299987792969
2022-05-23,430.1199951171875
2022-05-24,419.6499938964844
2022-05-25,452.2900085449219
2022-05-26,454.8699951171875
2022-05-27,476.2900085449219
2022-05-31,467.4700012207031
2022-06-01,475.1300048828125
2022-06-02,504.79998779296875
2022-06-03,492.4800109863281
2022-06-06,492.5400085449219
2022-06-07,506.42999267578125
2022-06-08,505.4200134277344
2022-06-09,492.2200012207031
2022-06-10,473.1499938964844
2022-06-13,440.3699951171875
2022-06-14,444.75
2022-06-15,465.95001220703125
2022-06-16,428.0799865722656
2022-06-17,443.7900085449219
2022-06-21,455.2699890136719
2022-06-22,458.6499938964844
2022-06-23,485.5299987792969
2022-06-24,504.0899963378906
2022-06-27,496.70001220703125
2022-06-28,473.44000244140625
2022-06-29,477.7900085449219
2022-06-30,475.5199890136719
2022-07-01,484.3599853515625
2022-07-05,495.92999267578125
2022-07-06,493.30999755859375
2022-07-07,497.04998779296875
2022-07-08,494.1499938964844
2022-07-11,490.3999938964844
2022-07-12,427.94000244140625
2022-07-13,422.7699890136719
2022-07-14,420.9700012207031
2022-07-15,435.6199951171875
2022-07-18,426.739990234375
2022-07-19,435.94000244140625
2022-07-20,456.8500061035156
2022-07-21,460.2900085449219
2022-07-22,446.7699890136719
2022-07-25,440.0
2022-07-26,422.82000732421875
2022-07-27,448.6000061035156
2022-07-28,436.5
2022-07-29,446.6600036621094
2022-08-01,453.7699890136719
2022-08-02,454.44000244140625
2022-08-03,471.45001220703125
2022-08-04,493.0
2022-08-05,494.8500061035156
2022-08-08,494.95001220703125
2022-08-09,487.4599914550781
2022-08-10,516.2000122070312
2022-08-11,499.45001220703125
