Date,BAC
2022-02-28,44.20000076293945
2022-03-01,42.470001220703125
2022-03-02,43.15999984741211
2022-03-03,42.4900016784668
2022-03-04,40.95000076293945
2022-03-07,38.34000015258789
2022-03-08,38.59000015258789
2022-03-09,41.040000915527344
2022-03-10,40.66999816894531
2022-03-11,40.33000183105469
2022-03-14,41.20000076293945
2022-03-15,41.5
2022-03-16,42.79999923706055
2022-03-17,43.029998779296875
2022-03-18,42.900001525878906
2022-03-21,42.84000015258789
2022-03-22,44.18000030517578
2022-03-23,43.09000015258789
2022-03-24,43.06999969482422
2022-03-25,43.72999954223633
2022-03-28,43.54999923706055
2022-03-29,43.439998626708984
2022-03-30,43.0
2022-03-31,41.220001220703125
2022-04-01,40.900001525878906
2022-04-04,40.83000183105469
2022-04-05,40.13999938964844
2022-04-06,39.70000076293945
2022-04-07,39.38999938964844
2022-04-08,39.66999816894531
2022-04-11,39.59000015258789
2022-04-12,39.16999816894531
2022-04-13,38.81999969482422
2022-04-14,37.56999969482422
2022-04-18,38.849998474121094
2022-04-19,39.56999969482422
2022-04-20,39.65999984741211
2022-04-21,38.90999984741211
2022-04-22,37.560001373291016
2022-04-25,37.290000915527344
2022-04-26,36.45000076293945
2022-04-27,36.25
2022-04-28,36.810001373291016
2022-04-29,35.68000030517578
2022-05-02,36.13999938964844
2022-05-03,37.130001068115234
2022-05-04,38.619998931884766
2022-05-05,37.540000915527344
2022-05-06,37.45000076293945
2022-05-09,36.369998931884766
2022-05-10,35.7599983215332
2022-05-11,35.56999969482422
2022-05-12,35.06999969482422
2022-05-13,35.16999816894531
2022-05-16,34.810001373291016
2022-05-17,35.9900016784668
2022-05-18,34.880001068115234
2022-05-19,34.45000076293945
2022-05-20,33.86000061035156
2022-05-23,35.869998931884766
2022-05-24,35.650001525878906
2022-05-25,35.84000015258789
2022-05-26,36.66999816894531
2022-05-27,37.02000045776367
2022-05-31,37.20000076293945
2022-06-01,36.66999816894531
2022-06-02,36.70000076293945
2022-06-03,36.189998626708984
2022-06-06,36.150001525878906
2022-06-07,36.349998474121094
2022-06-08,35.88999938964844
2022-06-09,34.5099983215332
2022-06-10,33.16999816894531
2022-06-13,32.02000045776367
2022-06-14,31.459999084472656
2022-06-15,32.04999923706055
2022-06-16,31.850000381469727
2022-06-17,31.920000076293945
2022-06-21,32.849998474121094
