Date,JPM
2022-02-28,141.8000030517578
2022-03-01,136.4499969482422
2022-03-02,139.27999877929688
2022-03-03,138.2899932861328
2022-03-04,134.39999389648438
2022-03-07,129.2100067138672
2022-03-08,128.3000030517578
2022-03-09,133.44000244140625
2022-03-10,131.86000061035156
2022-03-11,128.88999938964844
2022-03-14,130.1699981689453
2022-03-15,132.47999572753906
2022-03-16,138.39999389648438
2022-03-17,140.14999389648438
2022-03-18,140.10000610351562
2022-03-21,139.64999389648438
2022-03-22,142.6199951171875
2022-03-23,139.77999877929688
2022-03-24,140.69000244140625
2022-03-25,141.9199981689453
2022-03-28,140.8699951171875
2022-03-29,141.17999267578125
2022-03-30,140.5399932861328
2022-03-31,136.32000732421875
2022-04-01,135.30999755859375
2022-04-04,135.91000366210938
2022-04-05,133.33999633789062
2022-04-06,131.49000549316406
2022-04-07,131.08999633789062
2022-04-08,133.49000549316406
2022-04-11,133.0
2022-04-12,131.5399932861328
2022-04-13,127.30000305175781
2022-04-14,126.12000274658203
2022-04-18,128.4600067138672
2022-04-19,131.1199951171875
2022-04-20,131.5800018310547
2022-04-21,130.55999755859375
2022-04-22,126.80999755859375
2022-04-25,126.7699966430664
2022-04-26,123.0199966430664
2022-04-27,121.41999816894531
2022-04-28,123.33999633789062
2022-04-29,119.36000061035156
2022-05-02,120.44999694824219
2022-05-03,123.02999877929688
2022-05-04,127.0999984741211
2022-05-05,123.91999816894531
2022-05-06,123.72000122070312
2022-05-09,121.86000061035156
2022-05-10,118.88999938964844
2022-05-11,118.13999938964844
2022-05-12,118.04000091552734
2022-05-13,119.08999633789062
2022-05-16,118.26000213623047
2022-05-17,122.18000030517578
2022-05-18,120.08999633789062
2022-05-19,118.30999755859375
2022-05-20,117.33999633789062
2022-05-23,124.5999984741211
2022-05-24,126.36000061035156
2022-05-25,127.23999786376953
2022-05-26,129.44000244140625
2022-05-27,131.27000427246094
2022-05-31,132.22999572753906
2022-06-01,129.91000366210938
2022-06-02,132.0
2022-06-03,130.16000366210938
2022-06-06,129.72999572753906
2022-06-07,130.07000732421875
2022-06-08,128.0
2022-06-09,125.30999755859375
2022-06-10,119.55000305175781
2022-06-13,115.98999786376953
2022-06-14,114.05999755859375
2022-06-15,115.41000366210938
2022-06-16,113.43000030517578
2022-06-17,113.02999877929688
2022-06-21,115.83000183105469
2022-06-22,115.18000030517578
2022-06-23,113.91999816894531
2022-06-24,117.31999969482422
2022-06-27,116.37999725341797
2022-06-28,115.81999969482422
2022-06-29,115.30000305175781
2022-06-30,112.61000061035156
2022-07-01,114.05000305175781
2022-07-05,112.62000274658203
2022-07-06,111.88999938964844
2022-07-07,114.72000122070312
2022-07-08,114.36000061035156
2022-07-11,112.86000061035156
2022-07-12,112.97000122070312
2022-07-13,111.91000366210938
2022-07-14,108.0
2022-07-15,112.94999694824219
2022-07-18,111.79000091552734
2022-07-19,114.55999755859375
2022-07-20,114.54000091552734
2022-07-21,115.31999969482422
2022-07-22,114.76000213623047
2022-07-25,115.22000122070312
2022-07-26,113.41999816894531
2022-07-27,115.23999786376953
2022-07-28,114.80999755859375
2022-07-29,115.36000061035156
2022-08-01,114.20999908447266
2022-08-02,112.43000030517578
2022-08-03,113.61000061035156
2022-08-04,112.36000061035156
2022-08-05,115.76000213623047
2022-08-08,114.3499984741211
2022-08-09,115.37999725341797
2022-08-10,118.38999938964844
2022-08-11,120.13999938964844
2022-08-12,122.12999725341797
2022-08-15,122.45999908447266
2022-08-16,123.62999725341797
2022-08-17,122.58999633789062
2022-08-18,121.63999938964844
2022-08-19,118.62999725341797
2022-08-22,116.66999816894531
2022-08-23,115.5199966430664
2022-08-24,115.80000305175781
2022-08-25,118.55000305175781
2022-08-26,114.66999816894531
2022-08-29,114.38999938964844
2022-08-30,114.41000366210938
2022-08-31,113.7300033569336
2022-09-01,114.51000213623047
2022-09-02,113.70999908447266
2022-09-06,113.73999786376953
2022-09-07,115.9000015258789
2022-09-08,118.5999984741211
2022-09-09,119.16999816894531
2022-09-12,120.58000183105469
2022-09-13,116.38999938964844
2022-09-14,116.12000274658203
2022-09-15,117.87000274658203
2022-09-16,117.08000183105469
2022-09-19,118.16000366210938
2022-09-20,115.83000183105469
2022-09-21,112.48999786376953
2022-09-22,111.20999908447266
2022-09-23,109.13999938964844
2022-09-26,106.79000091552734
2022-09-27,105.8499984741211
2022-09-28,107.98999786376953
2022-09-29,106.16000366210938
2022-09-30,104.5
2022-10-03,107.7300033569336
2022-10-04,112.7699966430664
2022-10-05,110.38999938964844
2022-10-06,108.13999938964844
2022-10-07,105.9800033569336
2022-10-10,104.98999786376953
2022-10-11,101.95999908447266
2022-10-12,103.61000061035156
2022-10-13,109.37000274658203
2022-10-14,111.19000244140625
2022-10-17,115.86000061035156
2022-10-18,118.83999633789062
2022-10-19,116.51000213623047
2022-10-20,116.12999725341797
2022-10-21,122.2300033569336
2022-10-24,122.37999725341797
2022-10-25,122.69999694824219
2022-10-26,124.11000061035156
2022-10-27,124.5999984741211
2022-10-28,126.08000183105469
2022-10-31,125.87999725341797
2022-11-01,128.14999389648438
2022-11-02,126.97000122070312
