Date,BCS
2022-02-28,9.899999618530273
2022-03-01,9.3100004196167
2022-03-02,9.630000114440918
2022-03-03,9.130000114440918
2022-03-04,8.380000114440918
2022-03-07,7.940000057220459
2022-03-08,8.279999732971191
2022-03-09,8.65999984741211
2022-03-10,8.449999809265137
2022-03-11,8.420000076293945
2022-03-14,8.869999885559082
2022-03-15,8.9399995803833
2022-03-16,9.319999694824219
2022-03-17,9.25
2022-03-18,9.210000038146973
2022-03-21,9.050000190734863
2022-03-22,9.300000190734863
2022-03-23,9.100000381469727
2022-03-24,9.069999694824219
2022-03-25,9.050000190734863
2022-03-28,8.09000015258789
2022-03-29,8.380000114440918
2022-03-30,8.09000015258789
2022-03-31,7.900000095367432
2022-04-01,7.949999809265137
2022-04-04,7.829999923706055
2022-04-05,7.75
2022-04-06,7.659999847412109
2022-04-07,7.610000133514404
2022-04-08,7.670000076293945
2022-04-11,7.639999866485596
2022-04-12,7.539999961853027
2022-04-13,7.71999979019165
2022-04-14,7.659999847412109
2022-04-18,7.730000019073486
2022-04-19,7.789999961853027
2022-04-20,7.849999904632568
2022-04-21,7.820000171661377
2022-04-22,7.630000114440918
2022-04-25,7.639999866485596
2022-04-26,7.309999942779541
2022-04-27,7.28000020980835
2022-04-28,7.550000190734863
2022-04-29,7.449999809265137
2022-05-02,7.480000019073486
2022-05-03,7.75
2022-05-04,7.909999847412109
2022-05-05,7.579999923706055
2022-05-06,7.5
2022-05-09,7.360000133514404
2022-05-10,7.25
2022-05-11,7.150000095367432
2022-05-12,7.239999771118164
2022-05-13,7.5
2022-05-16,7.630000114440918
2022-05-17,7.960000038146973
2022-05-18,7.730000019073486
2022-05-19,7.840000152587891
2022-05-20,7.789999961853027
2022-05-23,8.100000381469727
2022-05-24,8.369999885559082
2022-05-25,8.420000076293945
2022-05-26,8.619999885559082
2022-05-27,8.739999771118164
2022-05-31,8.680000305175781
2022-06-01,8.539999961853027
2022-06-02,8.520000457763672
2022-06-03,8.420000076293945
2022-06-06,8.649999618530273
2022-06-07,8.670000076293945
2022-06-08,8.489999771118164
2022-06-09,8.279999732971191
2022-06-10,7.960000038146973
2022-06-13,7.679999828338623
2022-06-14,7.570000171661377
2022-06-15,7.989999771118164
2022-06-16,7.699999809265137
2022-06-17,7.769999980926514
2022-06-21,7.980000019073486
2022-06-22,8.039999961853027
2022-06-23,7.659999847412109
2022-06-24,7.940000057220459
2022-06-27,7.920000076293945
2022-06-28,7.849999904632568
2022-06-29,7.71999979019165
2022-06-30,7.599999904632568
2022-07-01,7.599999904632568
2022-07-05,7.309999942779541
2022-07-06,7.150000095367432
2022-07-07,7.360000133514404
2022-07-08,7.420000076293945
2022-07-11,7.269999980926514
2022-07-12,7.25
2022-07-13,7.230000019073486
2022-07-14,6.960000038146973
2022-07-15,7.25
2022-07-18,7.429999828338623
