Date,CHT
2022-02-28,44.61000061035156
2022-03-01,44.43000030517578
2022-03-02,44.439998626708984
2022-03-03,43.91999816894531
2022-03-04,43.689998626708984
2022-03-07,43.060001373291016
2022-03-08,43.060001373291016
2022-03-09,43.43000030517578
2022-03-10,43.77000045776367
2022-03-11,43.470001220703125
2022-03-14,43.119998931884766
2022-03-15,43.619998931884766
2022-03-16,44.4900016784668
2022-03-17,44.65999984741211
2022-03-18,44.45000076293945
2022-03-21,44.279998779296875
2022-03-22,44.2599983215332
2022-03-23,43.88999938964844
2022-03-24,44.20000076293945
2022-03-25,44.5099983215332
2022-03-28,44.439998626708984
2022-03-29,44.68000030517578
2022-03-30,44.54999923706055
2022-03-31,44.45000076293945
2022-04-01,44.70000076293945
2022-04-04,44.810001373291016
2022-04-05,44.439998626708984
2022-04-06,44.5
2022-04-07,44.310001373291016
2022-04-08,44.290000915527344
2022-04-11,44.08000183105469
2022-04-12,43.959999084472656
2022-04-13,44.540000915527344
2022-04-14,44.56999969482422
2022-04-18,44.400001525878906
2022-04-19,44.310001373291016
2022-04-20,44.65999984741211
2022-04-21,44.34000015258789
2022-04-22,44.349998474121094
2022-04-25,44.72999954223633
2022-04-26,44.36000061035156
2022-04-27,44.54999923706055
2022-04-28,44.400001525878906
2022-04-29,43.81999969482422
2022-05-02,43.77000045776367
2022-05-03,42.630001068115234
2022-05-04,42.08000183105469
2022-05-05,41.959999084472656
2022-05-06,42.52000045776367
2022-05-09,41.97999954223633
2022-05-10,42.22999954223633
2022-05-11,42.029998779296875
2022-05-12,41.869998931884766
2022-05-13,42.099998474121094
2022-05-16,42.02000045776367
2022-05-17,42.04999923706055
2022-05-18,41.70000076293945
2022-05-19,41.790000915527344
2022-05-20,41.880001068115234
2022-05-23,42.130001068115234
2022-05-24,42.11000061035156
2022-05-25,42.400001525878906
2022-05-26,43.06999969482422
2022-05-27,42.709999084472656
2022-05-31,43.0
2022-06-01,42.93000030517578
2022-06-02,43.27000045776367
2022-06-03,42.970001220703125
2022-06-06,42.90999984741211
2022-06-07,42.970001220703125
2022-06-08,42.939998626708984
2022-06-09,42.61000061035156
2022-06-10,42.61000061035156
2022-06-13,42.13999938964844
2022-06-14,41.9900016784668
2022-06-15,42.15999984741211
2022-06-16,41.72999954223633
2022-06-17,42.06999969482422
2022-06-21,42.88999938964844
2022-06-22,42.59000015258789
2022-06-23,43.029998779296875
2022-06-24,43.709999084472656
2022-06-27,43.20000076293945
2022-06-28,43.18000030517578
2022-06-29,42.029998779296875
2022-06-30,41.25
2022-07-01,41.880001068115234
2022-07-05,42.36000061035156
2022-07-06,43.06999969482422
2022-07-07,42.59000015258789
2022-07-08,42.130001068115234
2022-07-11,41.959999084472656
2022-07-12,41.58000183105469
2022-07-13,41.47999954223633
2022-07-14,41.04999923706055
2022-07-15,41.150001525878906
2022-07-18,40.810001373291016
2022-07-19,40.79999923706055
2022-07-20,40.06999969482422
2022-07-21,39.81999969482422
2022-07-22,39.529998779296875
2022-07-25,39.84000015258789
2022-07-26,39.630001068115234
2022-07-27,40.349998474121094
2022-07-28,40.290000915527344
2022-07-29,40.16999816894531
2022-08-01,40.33000183105469
2022-08-02,40.2400016784668
2022-08-03,40.290000915527344
2022-08-04,40.20000076293945
2022-08-05,40.5099983215332
2022-08-08,40.66999816894531
2022-08-09,40.900001525878906
2022-08-10,41.31999969482422
2022-08-11,41.52000045776367
2022-08-12,41.47999954223633
2022-08-15,41.40999984741211
2022-08-16,41.25
2022-08-17,40.95000076293945
2022-08-18,40.790000915527344
2022-08-19,40.459999084472656
2022-08-22,40.66999816894531
2022-08-23,40.70000076293945
2022-08-24,40.47999954223633
2022-08-25,40.56999969482422
2022-08-26,40.36000061035156
2022-08-29,40.470001220703125
2022-08-30,40.11000061035156
2022-08-31,39.720001220703125
2022-09-01,39.52000045776367
2022-09-02,39.33000183105469
2022-09-06,39.209999084472656
2022-09-07,38.81999969482422
2022-09-08,38.79999923706055
2022-09-09,38.939998626708984
2022-09-12,39.209999084472656
2022-09-13,38.34000015258789
2022-09-14,38.119998931884766
2022-09-15,37.66999816894531
2022-09-16,37.54999923706055
2022-09-19,37.65999984741211
2022-09-20,37.29999923706055
2022-09-21,37.029998779296875
2022-09-22,36.790000915527344
2022-09-23,36.04999923706055
2022-09-26,36.38999938964844
2022-09-27,36.25
2022-09-28,36.47999954223633
2022-09-29,35.869998931884766
2022-09-30,35.529998779296875
2022-10-03,35.5099983215332
2022-10-04,35.4900016784668
2022-10-05,35.08000183105469
2022-10-06,34.4900016784668
2022-10-07,34.22999954223633
2022-10-10,34.18000030517578
2022-10-11,33.84000015258789
2022-10-12,34.060001373291016
2022-10-13,34.34000015258789
2022-10-14,33.65999984741211
2022-10-17,34.16999816894531
2022-10-18,34.0
2022-10-19,33.599998474121094
2022-10-20,33.380001068115234
2022-10-21,33.470001220703125
2022-10-24,33.04999923706055
2022-10-25,33.66999816894531
2022-10-26,33.7400016784668
2022-10-27,34.0
2022-10-28,34.04999923706055
2022-10-31,34.40999984741211
2022-11-01,33.29999923706055
2022-11-02,33.58000183105469
2022-11-03,33.279998779296875
2022-11-04,33.59000015258789
2022-11-07,33.40999984741211
2022-11-08,33.619998931884766
2022-11-09,33.72999954223633
2022-11-10,34.45000076293945
2022-11-11,34.93000030517578
2022-11-14,34.97999954223633
2022-11-15,34.709999084472656
2022-11-16,34.630001068115234
2022-11-17,34.560001373291016
2022-11-18,34.709999084472656
2022-11-21,34.560001373291016
2022-11-22,34.560001373291016
2022-11-23,35.04999923706055
