Date,STZ
2022-02-28,215.6199951171875
2022-03-01,213.64999389648438
2022-03-02,215.82000732421875
2022-03-03,218.2899932861328
2022-03-04,217.66000366210938
2022-03-07,212.97999572753906
2022-03-08,214.63999938964844
2022-03-09,214.72000122070312
2022-03-10,213.63999938964844
2022-03-11,212.38999938964844
2022-03-14,219.69000244140625
2022-03-15,222.1300048828125
2022-03-16,222.33999633789062
2022-03-17,221.77000427246094
2022-03-18,225.92999267578125
2022-03-21,225.85000610351562
2022-03-22,227.72000122070312
2022-03-23,224.52000427246094
2022-03-24,226.4600067138672
2022-03-25,229.41000366210938
2022-03-28,229.3699951171875
2022-03-29,231.75
2022-03-30,233.0800018310547
2022-03-31,230.32000732421875
2022-04-01,233.7100067138672
2022-04-04,229.7100067138672
2022-04-05,230.33999633789062
2022-04-06,231.80999755859375
2022-04-07,242.5
2022-04-08,244.4600067138672
2022-04-11,247.50999450683594
2022-04-12,248.8300018310547
2022-04-13,248.6300048828125
2022-04-14,251.4199981689453
2022-04-18,252.82000732421875
2022-04-19,253.8699951171875
2022-04-20,258.7799987792969
2022-04-21,254.2100067138672
2022-04-22,250.9600067138672
2022-04-25,248.74000549316406
2022-04-26,247.9199981689453
2022-04-27,249.30999755859375
2022-04-28,250.17999267578125
2022-04-29,246.08999633789062
2022-05-02,244.02999877929688
2022-05-03,245.0500030517578
2022-05-04,253.60000610351562
2022-05-05,251.91000366210938
2022-05-06,247.47000122070312
2022-05-09,246.24000549316406
2022-05-10,246.77999877929688
2022-05-11,245.9600067138672
2022-05-12,245.22000122070312
2022-05-13,248.9199981689453
2022-05-16,249.4199981689453
2022-05-17,250.9499969482422
2022-05-18,237.0500030517578
2022-05-19,234.8300018310547
2022-05-20,234.5
2022-05-23,238.6699981689453
2022-05-24,244.0
2022-05-25,243.02999877929688
2022-05-26,244.3699951171875
2022-05-27,246.30999755859375
2022-05-31,245.47000122070312
2022-06-01,244.17999267578125
2022-06-02,245.7899932861328
2022-06-03,243.3300018310547
2022-06-06,245.8699951171875
2022-06-07,246.24000549316406
2022-06-08,245.4499969482422
2022-06-09,241.64999389648438
2022-06-10,239.08999633789062
2022-06-13,230.02999877929688
2022-06-14,231.5
2022-06-15,230.5800018310547
2022-06-16,225.77000427246094
2022-06-17,227.6999969482422
2022-06-21,234.94000244140625
2022-06-22,237.39999389648438
2022-06-23,239.35000610351562
2022-06-24,245.5
2022-06-27,247.4199981689453
2022-06-28,245.52000427246094
2022-06-29,243.6300048828125
2022-06-30,233.05999755859375
2022-07-01,235.42999267578125
2022-07-05,236.7100067138672
2022-07-06,239.44000244140625
2022-07-07,241.61000061035156
2022-07-08,242.1699981689453
2022-07-11,241.13999938964844
