Date,LDOS
2022-02-28,101.83999633789062
2022-03-01,104.75
2022-03-02,104.04000091552734
2022-03-03,105.08000183105469
2022-03-04,107.70999908447266
2022-03-07,106.86000061035156
2022-03-08,102.19999694824219
2022-03-09,102.88999938964844
2022-03-10,103.0199966430664
2022-03-11,101.97000122070312
2022-03-14,102.44999694824219
2022-03-15,103.97000122070312
2022-03-16,102.05999755859375
2022-03-17,103.98999786376953
2022-03-18,105.4800033569336
2022-03-21,106.37000274658203
2022-03-22,106.41999816894531
2022-03-23,106.83000183105469
2022-03-24,107.54000091552734
2022-03-25,108.52999877929688
2022-03-28,109.05000305175781
2022-03-29,107.36000061035156
2022-03-30,108.41999816894531
2022-03-31,108.0199966430664
2022-04-01,108.30000305175781
2022-04-04,107.2300033569336
2022-04-05,107.19999694824219
2022-04-06,107.4800033569336
2022-04-07,108.06999969482422
2022-04-08,107.98999786376953
2022-04-11,108.16999816894531
2022-04-12,108.30000305175781
2022-04-13,108.7300033569336
2022-04-14,109.05999755859375
2022-04-18,109.26000213623047
2022-04-19,109.61000061035156
2022-04-20,109.87000274658203
2022-04-21,109.77999877929688
2022-04-22,108.25
2022-04-25,107.16999816894531
2022-04-26,106.62999725341797
2022-04-27,106.23999786376953
2022-04-28,105.02999877929688
2022-04-29,103.51000213623047
2022-05-02,103.51000213623047
2022-05-03,102.5199966430664
2022-05-04,104.77999877929688
2022-05-05,104.05999755859375
2022-05-06,103.20999908447266
2022-05-09,99.37999725341797
2022-05-10,101.2300033569336
2022-05-11,101.20999908447266
2022-05-12,100.56999969482422
2022-05-13,101.63999938964844
2022-05-16,103.19999694824219
2022-05-17,104.4000015258789
2022-05-18,101.69000244140625
2022-05-19,101.5199966430664
2022-05-20,100.5999984741211
2022-05-23,101.8499984741211
2022-05-24,101.97000122070312
2022-05-25,102.38999938964844
2022-05-26,103.62999725341797
2022-05-27,105.36000061035156
2022-05-31,104.5
2022-06-01,104.73999786376953
2022-06-02,105.6500015258789
2022-06-03,105.77999877929688
2022-06-06,105.91999816894531
2022-06-07,107.06999969482422
2022-06-08,103.91000366210938
2022-06-09,102.83000183105469
2022-06-10,100.72000122070312
2022-06-13,99.4000015258789
2022-06-14,97.91000366210938
