Date,CM
2022-02-28,63.20500183105469
2022-03-01,61.709999084472656
2022-03-02,63.48500061035156
2022-03-03,63.06999969482422
2022-03-04,62.71500015258789
2022-03-07,61.0099983215332
2022-03-08,60.5
2022-03-09,62.18000030517578
2022-03-10,62.375
2022-03-11,62.334999084472656
2022-03-14,62.09000015258789
2022-03-15,62.33000183105469
2022-03-16,63.63999938964844
2022-03-17,64.2699966430664
2022-03-18,64.87999725341797
2022-03-21,65.0999984741211
2022-03-22,65.27999877929688
2022-03-23,63.290000915527344
2022-03-24,63.375
2022-03-25,63.32500076293945
2022-03-28,62.45000076293945
2022-03-29,62.52000045776367
2022-03-30,62.154998779296875
2022-03-31,60.845001220703125
2022-04-01,60.470001220703125
2022-04-04,60.79499816894531
2022-04-05,60.17499923706055
2022-04-06,58.79999923706055
2022-04-07,58.084999084472656
2022-04-08,58.35499954223633
2022-04-11,57.8650016784668
2022-04-12,57.40999984741211
2022-04-13,57.529998779296875
2022-04-14,57.31999969482422
2022-04-18,57.415000915527344
2022-04-19,57.845001220703125
2022-04-20,58.994998931884766
2022-04-21,58.505001068115234
2022-04-22,56.68000030517578
2022-04-25,56.52000045776367
2022-04-26,55.904998779296875
2022-04-27,55.04999923706055
2022-04-28,55.98500061035156
2022-04-29,55.275001525878906
2022-05-02,55.095001220703125
2022-05-03,55.44499969482422
2022-05-04,56.279998779296875
2022-05-05,54.595001220703125
2022-05-06,54.27000045776367
2022-05-09,53.53499984741211
2022-05-10,52.89500045776367
2022-05-11,52.44499969482422
2022-05-12,51.845001220703125
2022-05-13,53.084999084472656
2022-05-16,53.970001220703125
2022-05-17,55.029998779296875
2022-05-18,53.560001373291016
2022-05-19,53.47999954223633
2022-05-20,53.45000076293945
2022-05-23,54.45000076293945
2022-05-24,54.36000061035156
2022-05-25,54.7599983215332
2022-05-26,53.7400016784668
2022-05-27,54.43000030517578
2022-05-31,55.02000045776367
2022-06-01,55.27000045776367
2022-06-02,56.40999984741211
