Date,HUM
2022-02-28,434.32000732421875
2022-03-01,431.0
2022-03-02,436.45001220703125
2022-03-03,436.010009765625
2022-03-04,441.3900146484375
2022-03-07,426.8299865722656
2022-03-08,424.6600036621094
2022-03-09,429.1700134277344
2022-03-10,431.29998779296875
2022-03-11,426.1199951171875
2022-03-14,431.94000244140625
2022-03-15,439.8699951171875
2022-03-16,442.82000732421875
2022-03-17,441.0899963378906
2022-03-18,440.6099853515625
2022-03-21,436.8699951171875
2022-03-22,438.42999267578125
2022-03-23,430.6099853515625
2022-03-24,437.4200134277344
2022-03-25,435.5400085449219
2022-03-28,435.04998779296875
2022-03-29,438.95001220703125
2022-03-30,439.3900146484375
2022-03-31,435.1700134277344
2022-04-01,441.4100036621094
2022-04-04,437.69000244140625
2022-04-05,443.2200012207031
2022-04-06,449.04998779296875
2022-04-07,457.6000061035156
2022-04-08,457.80999755859375
2022-04-11,451.3299865722656
2022-04-12,449.0400085449219
2022-04-13,458.7799987792969
2022-04-14,460.55999755859375
2022-04-18,453.9700012207031
2022-04-19,458.69000244140625
2022-04-20,465.489990234375
2022-04-21,455.9200134277344
2022-04-22,444.4800109863281
2022-04-25,441.5299987792969
2022-04-26,430.5
2022-04-27,443.3699951171875
2022-04-28,458.989990234375
2022-04-29,444.55999755859375
2022-05-02,433.510009765625
2022-05-03,433.7799987792969
2022-05-04,442.3399963378906
2022-05-05,434.0
2022-05-06,430.6600036621094
2022-05-09,424.510009765625
2022-05-10,432.79998779296875
2022-05-11,431.7300109863281
2022-05-12,428.94000244140625
2022-05-13,438.8900146484375
2022-05-16,440.9800109863281
2022-05-17,440.5899963378906
2022-05-18,420.0400085449219
2022-05-19,432.0
2022-05-20,439.6199951171875
2022-05-23,441.3900146484375
2022-05-24,440.4200134277344
2022-05-25,444.69000244140625
2022-05-26,452.2200012207031
2022-05-27,461.2099914550781
2022-05-31,454.2300109863281
2022-06-01,447.5899963378906
2022-06-02,449.54998779296875
2022-06-03,442.4100036621094
2022-06-06,444.1000061035156
2022-06-07,449.7799987792969
2022-06-08,450.5199890136719
2022-06-09,449.6199951171875
2022-06-10,444.19000244140625
2022-06-13,426.2799987792969
2022-06-14,423.92999267578125
2022-06-15,433.2200012207031
2022-06-16,423.2099914550781
2022-06-17,428.44000244140625
2022-06-21,448.9800109863281
2022-06-22,448.04998779296875
2022-06-23,454.6400146484375
2022-06-24,456.80999755859375
2022-06-27,464.3900146484375
2022-06-28,462.19000244140625
2022-06-29,468.3299865722656
2022-06-30,468.07000732421875
2022-07-01,478.9599914550781
2022-07-05,472.9200134277344
2022-07-06,477.4800109863281
2022-07-07,476.3500061035156
2022-07-08,483.3800048828125
2022-07-11,487.0299987792969
2022-07-12,483.1700134277344
2022-07-13,473.55999755859375
2022-07-14,472.6000061035156
2022-07-15,487.5400085449219
2022-07-18,484.4599914550781
2022-07-19,495.30999755859375
2022-07-20,483.69000244140625
2022-07-21,485.70001220703125
2022-07-22,488.9700012207031
2022-07-25,491.7900085449219
2022-07-26,492.2799987792969
2022-07-27,478.3500061035156
2022-07-28,484.010009765625
2022-07-29,482.0
2022-08-01,474.6400146484375
2022-08-02,478.3900146484375
2022-08-03,481.79998779296875
2022-08-04,479.92999267578125
2022-08-05,484.0199890136719
2022-08-08,482.5299987792969
2022-08-09,487.739990234375
2022-08-10,486.0
2022-08-11,484.07000732421875
2022-08-12,496.8800048828125
2022-08-15,498.6099853515625
2022-08-16,495.2200012207031
2022-08-17,495.7200012207031
2022-08-18,495.8900146484375
2022-08-19,499.8599853515625
2022-08-22,500.9200134277344
2022-08-23,493.19000244140625
2022-08-24,495.6400146484375
2022-08-25,495.2699890136719
2022-08-26,486.7099914550781
2022-08-29,488.19000244140625
2022-08-30,485.6600036621094
2022-08-31,481.7799987792969
2022-09-01,486.9800109863281
2022-09-02,484.3999938964844
2022-09-06,479.5299987792969
2022-09-07,481.6700134277344
2022-09-08,486.3599853515625
2022-09-09,478.5
2022-09-12,486.1400146484375
2022-09-13,468.2900085449219
2022-09-14,458.8500061035156
2022-09-15,497.239990234375
2022-09-16,499.7900085449219
2022-09-19,501.07000732421875
2022-09-20,502.8900146484375
2022-09-21,490.6300048828125
2022-09-22,493.9100036621094
2022-09-23,486.8999938964844
2022-09-26,482.6300048828125
2022-09-27,487.30999755859375
2022-09-28,493.80999755859375
2022-09-29,491.05999755859375
2022-09-30,485.19000244140625
2022-10-03,499.5199890136719
2022-10-04,503.7799987792969
2022-10-05,504.7099914550781
2022-10-06,499.29998779296875
2022-10-07,503.4599914550781
2022-10-10,497.0400085449219
2022-10-11,498.489990234375
2022-10-12,494.19000244140625
2022-10-13,500.1600036621094
2022-10-14,500.0
2022-10-17,498.7900085449219
2022-10-18,501.67999267578125
2022-10-19,500.2099914550781
2022-10-20,505.3500061035156
2022-10-21,510.5400085449219
2022-10-24,521.9400024414062
2022-10-25,529.4600219726562
2022-10-26,539.0999755859375
2022-10-27,544.5
2022-10-28,554.8300170898438
2022-10-31,558.0800170898438
2022-11-01,554.489990234375
2022-11-02,559.5800170898438
2022-11-03,563.0
2022-11-04,552.0499877929688
2022-11-07,554.9299926757812
2022-11-08,557.739990234375
2022-11-09,553.469970703125
2022-11-10,558.2999877929688
2022-11-11,528.530029296875
2022-11-14,530.0
2022-11-15,512.9000244140625
2022-11-16,517.5999755859375
2022-11-17,520.260009765625
2022-11-18,529.9000244140625
2022-11-21,525.1799926757812
2022-11-22,530.7999877929688
2022-11-23,538.2999877929688
2022-11-25,540.9500122070312
2022-11-28,534.2899780273438
2022-11-29,533.1400146484375
2022-11-30,549.9000244140625
2022-12-01,548.3699951171875
2022-12-02,546.780029296875
2022-12-05,547.4199829101562
2022-12-06,546.3499755859375
2022-12-07,549.1799926757812
2022-12-08,547.3599853515625
2022-12-09,533.4199829101562
2022-12-12,529.989990234375
2022-12-13,523.0599975585938
2022-12-14,521.510009765625
2022-12-15,508.44000244140625
2022-12-16,503.5299987792969
2022-12-19,504.8399963378906
2022-12-20,501.7200012207031
2022-12-21,508.1099853515625
2022-12-22,512.4299926757812
2022-12-23,513.9600219726562
2022-12-27,514.3800048828125
2022-12-28,515.3099975585938
