Date,WST
2022-02-28,387.0799865722656
2022-03-01,381.5799865722656
2022-03-02,384.67999267578125
2022-03-03,391.239990234375
2022-03-04,387.19000244140625
2022-03-07,372.8800048828125
2022-03-08,358.6499938964844
2022-03-09,372.3999938964844
2022-03-10,371.4700012207031
2022-03-11,363.2099914550781
2022-03-14,370.0199890136719
2022-03-15,385.42999267578125
2022-03-16,396.760009765625
2022-03-17,405.239990234375
2022-03-18,414.69000244140625
2022-03-21,412.6499938964844
2022-03-22,413.4700012207031
2022-03-23,403.1400146484375
2022-03-24,408.45001220703125
2022-03-25,405.239990234375
2022-03-28,406.6499938964844
2022-03-29,414.1199951171875
2022-03-30,418.010009765625
2022-03-31,410.7099914550781
2022-04-01,417.0299987792969
2022-04-04,409.0299987792969
2022-04-05,408.6400146484375
2022-04-06,409.45001220703125
2022-04-07,420.45001220703125
2022-04-08,413.5799865722656
2022-04-11,398.5
2022-04-12,384.54998779296875
2022-04-13,387.0199890136719
2022-04-14,381.2200012207031
2022-04-18,372.4200134277344
2022-04-19,371.0
2022-04-20,371.75
2022-04-21,365.1400146484375
2022-04-22,349.7699890136719
2022-04-25,348.95001220703125
2022-04-26,332.3900146484375
2022-04-27,332.3599853515625
2022-04-28,325.3599853515625
2022-04-29,315.05999755859375
2022-05-02,312.25
2022-05-03,306.45001220703125
2022-05-04,318.44000244140625
2022-05-05,314.760009765625
2022-05-06,306.3399963378906
2022-05-09,296.82000732421875
2022-05-10,296.260009765625
2022-05-11,290.79998779296875
2022-05-12,295.989990234375
2022-05-13,304.9700012207031
2022-05-16,303.3699951171875
2022-05-17,304.9200134277344
2022-05-18,294.010009765625
2022-05-19,302.2099914550781
2022-05-20,300.67999267578125
2022-05-23,303.3399963378906
2022-05-24,300.7200012207031
2022-05-25,298.7900085449219
2022-05-26,305.4599914550781
2022-05-27,321.2099914550781
2022-05-31,310.3800048828125
2022-06-01,308.5799865722656
2022-06-02,317.989990234375
2022-06-03,309.8800048828125
2022-06-06,309.0299987792969
2022-06-07,316.3599853515625
2022-06-08,312.010009765625
2022-06-09,304.5400085449219
2022-06-10,293.510009765625
2022-06-13,283.8699951171875
2022-06-14,280.6099853515625
2022-06-15,289.8900146484375
2022-06-16,282.69000244140625
2022-06-17,282.82000732421875
2022-06-21,288.5299987792969
2022-06-22,288.8299865722656
2022-06-23,298.8999938964844
