Date,BUD
2022-02-28,61.83000183105469
2022-03-01,59.040000915527344
2022-03-02,58.939998626708984
2022-03-03,58.15999984741211
2022-03-04,55.869998931884766
2022-03-07,52.95000076293945
2022-03-08,53.630001068115234
2022-03-09,57.189998626708984
2022-03-10,56.029998779296875
2022-03-11,55.90999984741211
2022-03-14,57.040000915527344
2022-03-15,57.38999938964844
2022-03-16,59.66999816894531
2022-03-17,59.720001220703125
2022-03-18,60.61000061035156
2022-03-21,60.029998779296875
2022-03-22,60.2599983215332
2022-03-23,58.709999084472656
2022-03-24,59.130001068115234
2022-03-25,59.5099983215332
2022-03-28,60.31999969482422
2022-03-29,61.83000183105469
2022-03-30,61.38999938964844
2022-03-31,60.060001373291016
2022-04-01,61.220001220703125
2022-04-04,61.810001373291016
2022-04-05,60.79999923706055
2022-04-06,59.75
2022-04-07,58.470001220703125
2022-04-08,58.779998779296875
2022-04-11,58.4900016784668
2022-04-12,57.95000076293945
2022-04-13,58.58000183105469
2022-04-14,58.779998779296875
2022-04-18,58.720001220703125
2022-04-19,59.189998626708984
2022-04-20,61.4900016784668
2022-04-21,61.439998626708984
2022-04-22,59.310001373291016
2022-04-25,59.560001373291016
2022-04-26,58.25
2022-04-27,57.459999084472656
2022-04-28,57.970001220703125
2022-04-29,57.45000076293945
2022-05-02,56.43000030517578
2022-05-03,56.849998474121094
2022-05-04,58.33000183105469
2022-05-05,57.08000183105469
2022-05-06,55.0
2022-05-09,54.06999969482422
2022-05-10,54.65999984741211
2022-05-11,54.709999084472656
2022-05-12,54.029998779296875
2022-05-13,56.0099983215332
2022-05-16,56.66999816894531
2022-05-17,57.63999938964844
2022-05-18,55.22999954223633
2022-05-19,54.060001373291016
2022-05-20,54.27000045776367
2022-05-23,55.529998779296875
2022-05-24,55.2400016784668
2022-05-25,56.099998474121094
2022-05-26,56.47999954223633
2022-05-27,56.650001525878906
2022-05-31,56.70000076293945
2022-06-01,55.06999969482422
2022-06-02,55.65999984741211
2022-06-03,55.529998779296875
2022-06-06,55.849998474121094
2022-06-07,56.31999969482422
2022-06-08,55.18000030517578
2022-06-09,53.16999816894531
2022-06-10,52.2599983215332
2022-06-13,51.619998931884766
2022-06-14,51.04999923706055
2022-06-15,52.84000015258789
2022-06-16,51.470001220703125
2022-06-17,51.689998626708984
2022-06-21,51.70000076293945
