Date,CNP
2022-02-28,27.350000381469727
2022-03-01,26.8799991607666
2022-03-02,27.719999313354492
2022-03-03,28.239999771118164
2022-03-04,28.989999771118164
2022-03-07,28.729999542236328
2022-03-08,28.540000915527344
2022-03-09,28.3799991607666
2022-03-10,28.700000762939453
2022-03-11,28.450000762939453
2022-03-14,28.40999984741211
2022-03-15,28.8799991607666
2022-03-16,28.8700008392334
2022-03-17,29.079999923706055
2022-03-18,29.049999237060547
2022-03-21,29.469999313354492
2022-03-22,29.469999313354492
2022-03-23,29.6200008392334
2022-03-24,29.780000686645508
2022-03-25,30.40999984741211
2022-03-28,30.3799991607666
2022-03-29,30.799999237060547
2022-03-30,30.780000686645508
2022-03-31,30.639999389648438
2022-04-01,31.149999618530273
2022-04-04,30.93000030517578
2022-04-05,31.030000686645508
2022-04-06,31.770000457763672
2022-04-07,32.0099983215332
2022-04-08,32.4900016784668
2022-04-11,32.22999954223633
2022-04-12,32.25
2022-04-13,32.31999969482422
2022-04-14,32.400001525878906
2022-04-18,32.279998779296875
2022-04-19,32.16999816894531
2022-04-20,32.75
2022-04-21,32.2599983215332
2022-04-22,31.829999923706055
2022-04-25,31.75
2022-04-26,31.290000915527344
2022-04-27,31.329999923706055
2022-04-28,31.440000534057617
2022-04-29,30.610000610351562
2022-05-02,30.219999313354492
2022-05-03,30.540000915527344
2022-05-04,31.34000015258789
2022-05-05,30.940000534057617
2022-05-06,30.729999542236328
2022-05-09,30.3799991607666
2022-05-10,30.479999542236328
2022-05-11,30.399999618530273
2022-05-12,30.389999389648438
2022-05-13,31.030000686645508
2022-05-16,30.969999313354492
2022-05-17,31.3700008392334
2022-05-18,30.670000076293945
2022-05-19,30.65999984741211
2022-05-20,30.579999923706055
2022-05-23,30.84000015258789
2022-05-24,31.309999465942383
2022-05-25,31.84000015258789
2022-05-26,31.979999542236328
2022-05-27,32.41999816894531
2022-05-31,32.04999923706055
2022-06-01,32.060001373291016
2022-06-02,32.099998474121094
2022-06-03,31.670000076293945
2022-06-06,31.540000915527344
2022-06-07,32.06999969482422
2022-06-08,31.309999465942383
