Date,DKS
2022-02-28,105.0
2022-03-01,104.36000061035156
2022-03-02,111.2300033569336
2022-03-03,112.37999725341797
2022-03-04,109.70999908447266
2022-03-07,99.5
2022-03-08,101.58000183105469
2022-03-09,108.87999725341797
2022-03-10,109.94000244140625
2022-03-11,107.62000274658203
2022-03-14,106.77999877929688
2022-03-15,111.41999816894531
2022-03-16,111.05999755859375
2022-03-17,111.33999633789062
2022-03-18,114.66999816894531
2022-03-21,108.93000030517578
2022-03-22,109.11000061035156
2022-03-23,107.55000305175781
2022-03-24,106.88999938964844
2022-03-25,108.33000183105469
2022-03-28,107.81999969482422
2022-03-29,111.4000015258789
2022-03-30,104.72000122070312
2022-03-31,100.0199966430664
2022-04-01,101.31999969482422
2022-04-04,102.62999725341797
2022-04-05,99.47000122070312
2022-04-06,96.58000183105469
2022-04-07,100.27999877929688
2022-04-08,104.05000305175781
2022-04-11,105.58000183105469
2022-04-12,105.66999816894531
2022-04-13,107.16000366210938
2022-04-14,105.16000366210938
2022-04-18,101.16000366210938
2022-04-19,108.0999984741211
2022-04-20,107.51000213623047
2022-04-21,103.62000274658203
2022-04-22,99.69000244140625
2022-04-25,102.86000061035156
2022-04-26,97.1500015258789
2022-04-27,95.97000122070312
2022-04-28,101.44000244140625
2022-04-29,96.41999816894531
2022-05-02,99.7300033569336
2022-05-03,101.2300033569336
2022-05-04,102.70999908447266
2022-05-05,97.41000366210938
2022-05-06,92.45999908447266
2022-05-09,89.73999786376953
2022-05-10,89.81999969482422
2022-05-11,86.83000183105469
2022-05-12,89.44999694824219
2022-05-13,90.3499984741211
2022-05-16,90.4000015258789
2022-05-17,92.47000122070312
2022-05-18,79.31999969482422
2022-05-19,79.26000213623047
2022-05-20,77.5199966430664
2022-05-23,75.2699966430664
2022-05-24,71.23999786376953
2022-05-25,78.13999938964844
2022-05-26,84.58000183105469
2022-05-27,84.69999694824219
2022-05-31,81.2300033569336
2022-06-01,79.66999816894531
2022-06-02,82.69000244140625
2022-06-03,80.77999877929688
2022-06-06,81.70999908447266
2022-06-07,81.36000061035156
2022-06-08,80.47000122070312
2022-06-09,80.19999694824219
2022-06-10,77.5
2022-06-13,73.56999969482422
2022-06-14,74.04000091552734
2022-06-15,74.70999908447266
2022-06-16,71.66000366210938
2022-06-17,73.83000183105469
2022-06-21,75.30000305175781
2022-06-22,75.55999755859375
2022-06-23,77.8499984741211
2022-06-24,84.38999938964844
2022-06-27,80.5999984741211
2022-06-28,77.33999633789062
2022-06-29,76.4800033569336
2022-06-30,75.37000274658203
2022-07-01,76.8499984741211
2022-07-05,81.01000213623047
2022-07-06,78.94999694824219
2022-07-07,83.63999938964844
2022-07-08,83.94999694824219
2022-07-11,83.7699966430664
2022-07-12,84.69999694824219
2022-07-13,87.27999877929688
2022-07-14,86.75
2022-07-15,88.25
2022-07-18,89.16999816894531
2022-07-19,91.88999938964844
2022-07-20,94.9800033569336
2022-07-21,95.1500015258789
2022-07-22,95.01000213623047
2022-07-25,93.47000122070312
2022-07-26,89.83999633789062
2022-07-27,91.3499984741211
2022-07-28,93.3499984741211
2022-07-29,93.58999633789062
2022-08-01,96.11000061035156
2022-08-02,93.52999877929688
2022-08-03,97.58000183105469
2022-08-04,96.83000183105469
2022-08-05,97.55000305175781
2022-08-08,101.66000366210938
2022-08-09,98.0999984741211
2022-08-10,101.97000122070312
