Date,JHX
2022-02-28,32.52000045776367
2022-03-01,31.719999313354492
2022-03-02,32.68000030517578
2022-03-03,31.950000762939453
2022-03-04,31.799999237060547
2022-03-07,30.299999237060547
2022-03-08,30.59000015258789
2022-03-09,31.399999618530273
2022-03-10,32.52000045776367
2022-03-11,31.760000228881836
2022-03-14,31.549999237060547
2022-03-15,31.989999771118164
2022-03-16,33.349998474121094
2022-03-17,34.720001220703125
2022-03-18,34.52000045776367
2022-03-21,34.31999969482422
2022-03-22,33.86000061035156
2022-03-23,33.65999984741211
2022-03-24,33.08000183105469
2022-03-25,32.4900016784668
2022-03-28,31.649999618530273
2022-03-29,31.510000228881836
2022-03-30,31.610000610351562
2022-03-31,30.149999618530273
2022-04-01,30.010000228881836
2022-04-04,30.34000015258789
2022-04-05,31.290000915527344
2022-04-06,30.389999389648438
2022-04-07,29.969999313354492
2022-04-08,29.809999465942383
2022-04-11,29.200000762939453
2022-04-12,29.950000762939453
2022-04-13,29.229999542236328
2022-04-14,29.920000076293945
2022-04-18,29.489999771118164
2022-04-19,30.399999618530273
2022-04-20,30.75
2022-04-21,29.84000015258789
2022-04-22,28.959999084472656
2022-04-25,28.739999771118164
2022-04-26,28.420000076293945
2022-04-27,28.360000610351562
2022-04-28,28.940000534057617
2022-04-29,28.690000534057617
2022-05-02,28.649999618530273
2022-05-03,28.93000030517578
2022-05-04,29.989999771118164
2022-05-05,28.739999771118164
2022-05-06,27.829999923706055
2022-05-09,26.440000534057617
2022-05-10,27.030000686645508
2022-05-11,26.420000076293945
2022-05-12,26.59000015258789
2022-05-13,27.479999542236328
2022-05-16,27.260000228881836
2022-05-17,26.799999237060547
2022-05-18,26.110000610351562
2022-05-19,25.729999542236328
2022-05-20,25.920000076293945
2022-05-23,27.440000534057617
2022-05-24,25.780000686645508
2022-05-25,25.549999237060547
2022-05-26,25.940000534057617
2022-05-27,26.190000534057617
2022-05-31,25.829999923706055
2022-06-01,24.90999984741211
2022-06-02,25.079999923706055
2022-06-03,24.56999969482422
2022-06-06,24.639999389648438
2022-06-07,25.170000076293945
2022-06-08,24.719999313354492
2022-06-09,23.950000762939453
2022-06-10,23.6299991607666
2022-06-13,22.579999923706055
2022-06-14,22.040000915527344
2022-06-15,21.479999542236328
2022-06-16,20.510000228881836
2022-06-17,20.5
2022-06-21,21.079999923706055
2022-06-22,20.709999084472656
2022-06-23,21.469999313354492
2022-06-24,22.729999542236328
2022-06-27,22.760000228881836
2022-06-28,22.34000015258789
2022-06-29,21.700000762939453
2022-06-30,21.940000534057617
2022-07-01,22.540000915527344
2022-07-05,22.8799991607666
2022-07-06,23.969999313354492
2022-07-07,23.81999969482422
2022-07-08,24.40999984741211
2022-07-11,24.049999237060547
2022-07-12,23.6299991607666
2022-07-13,23.68000030517578
2022-07-14,23.209999084472656
2022-07-15,23.1299991607666
2022-07-18,23.510000228881836
2022-07-19,23.420000076293945
2022-07-20,23.81999969482422
2022-07-21,24.149999618530273
2022-07-22,24.09000015258789
2022-07-25,24.579999923706055
2022-07-26,23.84000015258789
2022-07-27,23.940000534057617
2022-07-28,24.65999984741211
2022-07-29,24.84000015258789
2022-08-01,25.09000015258789
2022-08-02,24.530000686645508
2022-08-03,25.200000762939453
2022-08-04,25.25
2022-08-05,25.190000534057617
2022-08-08,25.010000228881836
2022-08-09,24.610000610351562
2022-08-10,25.299999237060547
2022-08-11,25.84000015258789
2022-08-12,25.979999542236328
2022-08-15,25.8799991607666
2022-08-16,25.850000381469727
2022-08-17,25.350000381469727
2022-08-18,25.65999984741211
2022-08-19,24.729999542236328
2022-08-22,24.18000030517578
2022-08-23,23.670000076293945
2022-08-24,23.6299991607666
2022-08-25,24.18000030517578
2022-08-26,23.5
2022-08-29,22.850000381469727
2022-08-30,22.510000228881836
2022-08-31,22.40999984741211
2022-09-01,22.549999237060547
2022-09-02,22.450000762939453
2022-09-06,21.969999313354492
2022-09-07,22.450000762939453
2022-09-08,22.559999465942383
2022-09-09,23.25
2022-09-12,23.690000534057617
2022-09-13,22.850000381469727
2022-09-14,22.65999984741211
2022-09-15,22.200000762939453
2022-09-16,21.600000381469727
2022-09-19,21.700000762939453
2022-09-20,21.280000686645508
2022-09-21,21.18000030517578
2022-09-22,20.920000076293945
2022-09-23,19.68000030517578
2022-09-26,19.940000534057617
2022-09-27,19.559999465942383
2022-09-28,20.18000030517578
2022-09-29,19.799999237060547
2022-09-30,19.780000686645508
2022-10-03,20.450000762939453
2022-10-04,21.770000457763672
2022-10-05,22.110000610351562
2022-10-06,21.329999923706055
2022-10-07,20.979999542236328
2022-10-10,20.649999618530273
2022-10-11,20.68000030517578
2022-10-12,20.459999084472656
2022-10-13,20.639999389648438
2022-10-14,19.920000076293945
2022-10-17,20.40999984741211
2022-10-18,20.389999389648438
2022-10-19,20.389999389648438
2022-10-20,20.110000610351562
2022-10-21,20.75
2022-10-24,21.1200008392334
2022-10-25,21.850000381469727
2022-10-26,21.829999923706055
2022-10-27,21.469999313354492
2022-10-28,21.979999542236328
2022-10-31,22.040000915527344
2022-11-01,22.549999237060547
2022-11-02,21.530000686645508
2022-11-03,21.420000076293945
2022-11-04,21.889999389648438
2022-11-07,21.350000381469727
2022-11-08,19.139999389648438
2022-11-09,17.93000030517578
2022-11-10,19.93000030517578
2022-11-11,20.219999313354492
2022-11-14,19.360000610351562
2022-11-15,20.010000228881836
2022-11-16,19.3799991607666
2022-11-17,19.530000686645508
2022-11-18,19.540000915527344
2022-11-21,18.93000030517578
2022-11-22,19.18000030517578
