Date,UNP
2022-02-28,245.9499969482422
2022-03-01,242.42999267578125
2022-03-02,252.3699951171875
2022-03-03,255.4600067138672
2022-03-04,264.6300048828125
2022-03-07,261.4599914550781
2022-03-08,253.47000122070312
2022-03-09,253.6699981689453
2022-03-10,259.6499938964844
2022-03-11,261.5199890136719
2022-03-14,257.6600036621094
2022-03-15,260.1300048828125
2022-03-16,264.1499938964844
2022-03-17,263.55999755859375
2022-03-18,261.32000732421875
2022-03-21,264.510009765625
2022-03-22,265.8599853515625
2022-03-23,267.67999267578125
2022-03-24,270.2099914550781
2022-03-25,273.3800048828125
2022-03-28,275.3399963378906
2022-03-29,273.6099853515625
2022-03-30,276.69000244140625
2022-03-31,273.2099914550781
2022-04-01,259.9599914550781
2022-04-04,257.739990234375
2022-04-05,252.11000061035156
2022-04-06,242.92999267578125
2022-04-07,244.86000061035156
2022-04-08,241.97999572753906
2022-04-11,243.11000061035156
2022-04-12,245.05999755859375
2022-04-13,244.6300048828125
2022-04-14,246.2100067138672
2022-04-18,242.1199951171875
2022-04-19,245.6199951171875
2022-04-20,247.07000732421875
2022-04-21,244.39999389648438
2022-04-22,234.3000030517578
2022-04-25,236.4199981689453
2022-04-26,233.58999633789062
2022-04-27,236.7899932861328
2022-04-28,239.25
2022-04-29,234.2899932861328
2022-05-02,232.8699951171875
2022-05-03,232.10000610351562
2022-05-04,237.08999633789062
2022-05-05,231.47999572753906
2022-05-06,229.58999633789062
2022-05-09,225.25
2022-05-10,222.60000610351562
2022-05-11,223.8800048828125
2022-05-12,225.92999267578125
2022-05-13,230.75999450683594
2022-05-16,227.88999938964844
2022-05-17,232.19000244140625
2022-05-18,224.99000549316406
2022-05-19,216.5
2022-05-20,213.5800018310547
2022-05-23,216.88999938964844
2022-05-24,217.08999633789062
2022-05-25,217.4199981689453
2022-05-26,221.2899932861328
2022-05-27,222.5
2022-05-31,219.77999877929688
2022-06-01,221.32000732421875
2022-06-02,225.38999938964844
2022-06-03,224.0
2022-06-06,225.1699981689453
2022-06-07,228.75
2022-06-08,221.67999267578125
2022-06-09,216.7899932861328
2022-06-10,211.1199951171875
2022-06-13,208.07000732421875
2022-06-14,208.49000549316406
2022-06-15,209.83999633789062
2022-06-16,208.19000244140625
2022-06-17,206.4499969482422
2022-06-21,209.47000122070312
2022-06-22,208.99000549316406
2022-06-23,209.75
2022-06-24,215.77999877929688
2022-06-27,213.85000610351562
2022-06-28,213.36000061035156
2022-06-29,213.14999389648438
2022-06-30,213.27999877929688
2022-07-01,215.25999450683594
2022-07-05,210.1699981689453
2022-07-06,209.72000122070312
2022-07-07,212.6300048828125
2022-07-08,209.6999969482422
2022-07-11,209.8699951171875
2022-07-12,206.5
2022-07-13,206.7100067138672
2022-07-14,205.52000427246094
2022-07-15,209.1300048828125
2022-07-18,210.22000122070312
2022-07-19,216.89999389648438
2022-07-20,214.4499969482422
2022-07-21,211.89999389648438
2022-07-22,213.39999389648438
2022-07-25,217.36000061035156
2022-07-26,215.97000122070312
2022-07-27,219.88999938964844
2022-07-28,223.74000549316406
2022-07-29,227.3000030517578
2022-08-01,227.0800018310547
2022-08-02,222.5
2022-08-03,225.6300048828125
2022-08-04,227.35000610351562
2022-08-05,228.6199951171875
2022-08-08,227.86000061035156
2022-08-09,228.49000549316406
2022-08-10,235.75999450683594
2022-08-11,239.25
2022-08-12,239.9499969482422
2022-08-15,238.1699981689453
2022-08-16,241.35000610351562
2022-08-17,240.88999938964844
2022-08-18,241.91000366210938
2022-08-19,238.52000427246094
2022-08-22,237.50999450683594
2022-08-23,237.63999938964844
2022-08-24,238.2899932861328
2022-08-25,239.07000732421875
2022-08-26,231.27000427246094
2022-08-29,232.41000366210938
2022-08-30,225.24000549316406
2022-08-31,224.50999450683594
2022-09-01,226.05999755859375
2022-09-02,223.94000244140625
2022-09-06,227.97999572753906
2022-09-07,228.7899932861328
2022-09-08,230.33999633789062
2022-09-09,231.8800048828125
2022-09-12,234.16000366210938
2022-09-13,226.2899932861328
2022-09-14,217.9499969482422
2022-09-15,218.36000061035156
2022-09-16,212.0
2022-09-19,216.1999969482422
2022-09-20,213.27000427246094
2022-09-21,211.88999938964844
2022-09-22,209.1699981689453
2022-09-23,203.97000122070312
2022-09-26,200.86000061035156
2022-09-27,197.25
2022-09-28,201.8300018310547
2022-09-29,199.1999969482422
2022-09-30,194.82000732421875
2022-10-03,200.25999450683594
2022-10-04,205.3800048828125
2022-10-05,200.6199951171875
2022-10-06,198.2100067138672
2022-10-07,195.6199951171875
2022-10-10,194.0500030517578
2022-10-11,192.63999938964844
2022-10-12,192.1199951171875
2022-10-13,196.74000549316406
2022-10-14,193.7899932861328
2022-10-17,198.60000610351562
2022-10-18,201.63999938964844
2022-10-19,200.05999755859375
2022-10-20,186.4499969482422
2022-10-21,190.52999877929688
2022-10-24,193.49000549316406
2022-10-25,194.61000061035156
2022-10-26,195.77999877929688
2022-10-27,196.0399932861328
2022-10-28,198.64999389648438
2022-10-31,197.13999938964844
2022-11-01,196.82000732421875
2022-11-02,192.52999877929688
2022-11-03,193.19000244140625
2022-11-04,196.6999969482422
2022-11-07,196.3000030517578
2022-11-08,204.00999450683594
2022-11-09,203.41000366210938
2022-11-10,212.99000549316406
2022-11-11,217.5
2022-11-14,216.9499969482422
2022-11-15,210.66000366210938
2022-11-16,212.27000427246094
2022-11-17,209.82000732421875
2022-11-18,210.5800018310547
2022-11-21,212.27000427246094
2022-11-22,213.1999969482422
2022-11-23,212.52000427246094
2022-11-25,213.3300018310547
