Date,ROK
2022-02-28,266.5799865722656
2022-03-01,262.1199951171875
2022-03-02,268.739990234375
2022-03-03,270.4599914550781
2022-03-04,269.05999755859375
2022-03-07,264.5400085449219
2022-03-08,273.4599914550781
2022-03-09,271.0400085449219
2022-03-10,262.54998779296875
2022-03-11,257.010009765625
2022-03-14,256.3500061035156
2022-03-15,261.0199890136719
2022-03-16,268.4800109863281
2022-03-17,271.0
2022-03-18,275.8299865722656
2022-03-21,272.9100036621094
2022-03-22,274.1499938964844
2022-03-23,270.44000244140625
2022-03-24,275.0
2022-03-25,279.17999267578125
2022-03-28,280.239990234375
2022-03-29,284.8900146484375
2022-03-30,280.7200012207031
2022-03-31,280.0299987792969
2022-04-01,284.4800109863281
2022-04-04,281.1700134277344
2022-04-05,279.1000061035156
2022-04-06,272.2300109863281
2022-04-07,271.04998779296875
2022-04-08,269.4100036621094
2022-04-11,266.0799865722656
2022-04-12,262.9100036621094
2022-04-13,267.0400085449219
2022-04-14,261.6600036621094
2022-04-18,261.4700012207031
2022-04-19,270.9100036621094
2022-04-20,272.5400085449219
2022-04-21,271.760009765625
2022-04-22,260.5299987792969
2022-04-25,261.30999755859375
2022-04-26,252.2100067138672
2022-04-27,256.7900085449219
2022-04-28,263.3500061035156
2022-04-29,252.6699981689453
2022-05-02,250.0399932861328
2022-05-03,213.74000549316406
2022-05-04,222.35000610351562
2022-05-05,214.44000244140625
2022-05-06,214.50999450683594
2022-05-09,203.22000122070312
2022-05-10,205.1199951171875
2022-05-11,199.0
2022-05-12,203.8300018310547
2022-05-13,203.82000732421875
2022-05-16,202.38999938964844
2022-05-17,204.24000549316406
2022-05-18,195.39999389648438
2022-05-19,198.72000122070312
2022-05-20,199.50999450683594
2022-05-23,202.66000366210938
2022-05-24,198.17999267578125
2022-05-25,198.8300018310547
2022-05-26,204.74000549316406
2022-05-27,211.02000427246094
2022-05-31,213.1999969482422
2022-06-01,217.00999450683594
2022-06-02,220.16000366210938
2022-06-03,218.27000427246094
2022-06-06,214.86000061035156
2022-06-07,217.2899932861328
2022-06-08,214.8699951171875
2022-06-09,213.3000030517578
2022-06-10,208.74000549316406
2022-06-13,201.5800018310547
2022-06-14,200.4199981689453
2022-06-15,205.66000366210938
2022-06-16,198.00999450683594
2022-06-17,191.08999633789062
2022-06-21,193.38999938964844
2022-06-22,195.66000366210938
2022-06-23,197.17999267578125
2022-06-24,201.05999755859375
2022-06-27,201.3000030517578
2022-06-28,197.63999938964844
2022-06-29,197.1699981689453
2022-06-30,199.30999755859375
2022-07-01,198.7100067138672
2022-07-05,199.6199951171875
2022-07-06,200.57000732421875
2022-07-07,202.92999267578125
2022-07-08,200.1300048828125
2022-07-11,200.83999633789062
2022-07-12,198.47000122070312
2022-07-13,197.9499969482422
2022-07-14,199.67999267578125
2022-07-15,206.35000610351562
2022-07-18,204.6999969482422
2022-07-19,216.39999389648438
2022-07-20,215.86000061035156
2022-07-21,220.5
2022-07-22,221.60000610351562
2022-07-25,219.9600067138672
2022-07-26,219.42999267578125
2022-07-27,240.4600067138672
2022-07-28,247.22999572753906
2022-07-29,255.27999877929688
2022-08-01,252.57000732421875
2022-08-02,248.25999450683594
2022-08-03,251.07000732421875
2022-08-04,253.9600067138672
2022-08-05,252.24000549316406
2022-08-08,250.55999755859375
2022-08-09,245.16000366210938
2022-08-10,253.61000061035156
2022-08-11,252.9199981689453
2022-08-12,257.760009765625
2022-08-15,258.82000732421875
2022-08-16,259.44000244140625
2022-08-17,255.91000366210938
2022-08-18,256.3999938964844
2022-08-19,251.61000061035156
2022-08-22,243.89999389648438
2022-08-23,243.4199981689453
2022-08-24,243.13999938964844
2022-08-25,246.86000061035156
2022-08-26,236.8800048828125
2022-08-29,237.9199981689453
2022-08-30,236.6300048828125
2022-08-31,236.94000244140625
2022-09-01,241.77000427246094
2022-09-02,238.00999450683594
2022-09-06,238.25999450683594
2022-09-07,243.0
2022-09-08,244.92999267578125
2022-09-09,255.3800048828125
2022-09-12,257.05999755859375
2022-09-13,247.61000061035156
2022-09-14,250.99000549316406
2022-09-15,245.1699981689453
2022-09-16,237.89999389648438
2022-09-19,242.16000366210938
2022-09-20,236.14999389648438
2022-09-21,231.05999755859375
2022-09-22,225.0
2022-09-23,219.75999450683594
2022-09-26,215.4199981689453
2022-09-27,212.1300048828125
2022-09-28,217.3300018310547
2022-09-29,215.77999877929688
2022-09-30,215.11000061035156
2022-10-03,225.63999938964844
2022-10-04,231.8300018310547
2022-10-05,234.7100067138672
2022-10-06,233.1199951171875
2022-10-07,225.41000366210938
2022-10-10,225.3300018310547
2022-10-11,225.92999267578125
2022-10-12,225.33999633789062
2022-10-13,231.97999572753906
2022-10-14,223.8800048828125
2022-10-17,230.7100067138672
2022-10-18,236.7899932861328
2022-10-19,233.92999267578125
2022-10-20,225.2100067138672
2022-10-21,231.8699951171875
2022-10-24,235.27000427246094
2022-10-25,241.64999389648438
2022-10-26,240.9600067138672
2022-10-27,246.64999389648438
2022-10-28,257.0799865722656
2022-10-31,255.3000030517578
