Date,IR
2022-02-28,50.52000045776367
2022-03-01,49.25
2022-03-02,50.439998626708984
2022-03-03,49.689998626708984
2022-03-04,46.33000183105469
2022-03-07,44.900001525878906
2022-03-08,45.939998626708984
2022-03-09,48.56999969482422
2022-03-10,48.56999969482422
2022-03-11,47.59000015258789
2022-03-14,47.65999984741211
2022-03-15,48.400001525878906
2022-03-16,50.20000076293945
2022-03-17,50.81999969482422
2022-03-18,51.400001525878906
2022-03-21,50.88999938964844
2022-03-22,50.77000045776367
2022-03-23,49.31999969482422
2022-03-24,49.38999938964844
2022-03-25,49.97999954223633
2022-03-28,49.79999923706055
2022-03-29,50.7599983215332
2022-03-30,50.79999923706055
2022-03-31,50.349998474121094
2022-04-01,50.25
2022-04-04,48.959999084472656
2022-04-05,48.45000076293945
2022-04-06,47.86000061035156
2022-04-07,47.75
2022-04-08,46.83000183105469
2022-04-11,46.41999816894531
2022-04-12,46.25
2022-04-13,47.33000183105469
2022-04-14,46.439998626708984
2022-04-18,46.619998931884766
2022-04-19,47.95000076293945
2022-04-20,49.36000061035156
2022-04-21,47.77000045776367
2022-04-22,45.939998626708984
2022-04-25,45.66999816894531
2022-04-26,43.810001373291016
2022-04-27,44.2599983215332
2022-04-28,45.08000183105469
2022-04-29,43.959999084472656
2022-05-02,44.54999923706055
2022-05-03,45.209999084472656
2022-05-04,46.9900016784668
2022-05-05,45.529998779296875
2022-05-06,43.79999923706055
2022-05-09,43.25
2022-05-10,42.36000061035156
2022-05-11,42.68000030517578
2022-05-12,42.93000030517578
2022-05-13,43.650001525878906
2022-05-16,43.43000030517578
2022-05-17,44.84000015258789
2022-05-18,43.630001068115234
2022-05-19,44.279998779296875
2022-05-20,44.95000076293945
2022-05-23,45.34000015258789
2022-05-24,45.040000915527344
2022-05-25,45.880001068115234
2022-05-26,47.34000015258789
2022-05-27,48.4900016784668
2022-05-31,47.150001525878906
2022-06-01,47.25
2022-06-02,48.56999969482422
2022-06-03,48.849998474121094
2022-06-06,49.33000183105469
2022-06-07,50.400001525878906
2022-06-08,50.279998779296875
2022-06-09,48.599998474121094
2022-06-10,46.439998626708984
2022-06-13,44.18000030517578
2022-06-14,43.77000045776367
2022-06-15,44.560001373291016
2022-06-16,42.08000183105469
2022-06-17,41.2400016784668
2022-06-21,41.86000061035156
2022-06-22,41.7599983215332
2022-06-23,40.959999084472656
2022-06-24,43.33000183105469
2022-06-27,43.38999938964844
2022-06-28,42.810001373291016
2022-06-29,42.279998779296875
2022-06-30,42.08000183105469
2022-07-01,42.29999923706055
2022-07-05,41.439998626708984
2022-07-06,41.470001220703125
2022-07-07,43.150001525878906
2022-07-08,42.45000076293945
2022-07-11,41.970001220703125
2022-07-12,41.72999954223633
2022-07-13,40.83000183105469
2022-07-14,39.849998474121094
2022-07-15,41.0
2022-07-18,41.220001220703125
2022-07-19,43.27000045776367
2022-07-20,44.06999969482422
2022-07-21,44.959999084472656
2022-07-22,44.540000915527344
2022-07-25,44.36000061035156
