Date,EPD
2022-02-28,24.420000076293945
2022-03-01,24.6299991607666
2022-03-02,24.969999313354492
2022-03-03,25.040000915527344
2022-03-04,25.43000030517578
2022-03-07,25.360000610351562
2022-03-08,25.540000915527344
2022-03-09,25.18000030517578
2022-03-10,25.540000915527344
2022-03-11,25.219999313354492
2022-03-14,24.579999923706055
2022-03-15,24.18000030517578
2022-03-16,24.1200008392334
2022-03-17,24.290000915527344
2022-03-18,24.1299991607666
2022-03-21,24.559999465942383
2022-03-22,24.549999237060547
2022-03-23,24.989999771118164
2022-03-24,25.229999542236328
2022-03-25,25.469999313354492
2022-03-28,25.530000686645508
2022-03-29,25.770000457763672
2022-03-30,26.06999969482422
2022-03-31,25.809999465942383
2022-04-01,25.860000610351562
2022-04-04,26.040000915527344
2022-04-05,26.020000457763672
2022-04-06,26.049999237060547
2022-04-07,26.219999313354492
2022-04-08,26.399999618530273
2022-04-11,26.200000762939453
2022-04-12,26.440000534057617
2022-04-13,26.719999313354492
2022-04-14,26.739999771118164
2022-04-18,26.729999542236328
2022-04-19,27.030000686645508
2022-04-20,27.200000762939453
2022-04-21,27.139999389648438
2022-04-22,26.670000076293945
2022-04-25,25.899999618530273
2022-04-26,26.040000915527344
2022-04-27,26.18000030517578
2022-04-28,26.350000381469727
2022-04-29,25.90999984741211
2022-05-02,25.610000610351562
2022-05-03,26.139999389648438
2022-05-04,26.969999313354492
2022-05-05,26.610000610351562
2022-05-06,26.950000762939453
2022-05-09,26.079999923706055
2022-05-10,25.959999084472656
2022-05-11,25.889999389648438
2022-05-12,25.780000686645508
2022-05-13,26.079999923706055
2022-05-16,26.459999084472656
2022-05-17,26.799999237060547
2022-05-18,26.610000610351562
2022-05-19,26.600000381469727
2022-05-20,26.760000228881836
2022-05-23,26.790000915527344
2022-05-24,26.799999237060547
2022-05-25,27.34000015258789
2022-05-26,27.3799991607666
2022-05-27,27.600000381469727
2022-05-31,27.420000076293945
2022-06-01,27.950000762939453
2022-06-02,28.139999389648438
2022-06-03,28.100000381469727
2022-06-06,28.15999984741211
2022-06-07,28.469999313354492
2022-06-08,28.3700008392334
2022-06-09,28.1200008392334
2022-06-10,27.6200008392334
2022-06-13,26.68000030517578
2022-06-14,25.959999084472656
2022-06-15,25.459999084472656
2022-06-16,24.149999618530273
2022-06-17,23.450000762939453
2022-06-21,24.450000762939453
2022-06-22,24.09000015258789
2022-06-23,23.600000381469727
2022-06-24,23.989999771118164
2022-06-27,24.139999389648438
2022-06-28,24.770000457763672
2022-06-29,24.559999465942383
2022-06-30,24.3700008392334
2022-07-01,24.6299991607666
2022-07-05,24.0
2022-07-06,23.610000610351562
2022-07-07,24.56999969482422
