Date,SRE
2022-02-28,72.11000061035156
2022-03-01,72.58499908447266
2022-03-02,74.18499755859375
2022-03-03,74.80500030517578
2022-03-04,75.95999908447266
2022-03-07,76.41999816894531
2022-03-08,76.69499969482422
2022-03-09,76.1500015258789
2022-03-10,77.63999938964844
2022-03-11,77.1050033569336
2022-03-14,76.98500061035156
2022-03-15,77.50499725341797
2022-03-16,77.18499755859375
2022-03-17,77.91500091552734
2022-03-18,78.1449966430664
2022-03-21,79.625
2022-03-22,79.06500244140625
2022-03-23,79.70999908447266
2022-03-24,79.43000030517578
2022-03-25,81.2300033569336
2022-03-28,81.55999755859375
2022-03-29,82.47000122070312
2022-03-30,83.80999755859375
2022-03-31,84.05999755859375
2022-04-01,85.16999816894531
2022-04-04,83.37999725341797
2022-04-05,82.51499938964844
2022-04-06,84.16500091552734
2022-04-07,84.0250015258789
2022-04-08,84.8949966430664
2022-04-11,84.125
2022-04-12,84.81500244140625
2022-04-13,85.20999908447266
2022-04-14,85.625
2022-04-18,85.55999755859375
2022-04-19,85.13500213623047
2022-04-20,86.33499908447266
2022-04-21,85.21499633789062
2022-04-22,84.12000274658203
2022-04-25,82.69000244140625
2022-04-26,82.22000122070312
2022-04-27,81.84500122070312
2022-04-28,82.75
2022-04-29,80.68000030517578
2022-05-02,79.83000183105469
2022-05-03,80.34500122070312
2022-05-04,82.25499725341797
2022-05-05,80.55999755859375
2022-05-06,82.44999694824219
2022-05-09,81.01499938964844
2022-05-10,79.2699966430664
2022-05-11,79.41000366210938
2022-05-12,78.9800033569336
2022-05-13,80.52999877929688
2022-05-16,80.75499725341797
2022-05-17,81.92500305175781
2022-05-18,81.38999938964844
2022-05-19,80.94499969482422
2022-05-20,80.05500030517578
2022-05-23,81.8949966430664
2022-05-24,83.05500030517578
2022-05-25,83.37000274658203
2022-05-26,82.42500305175781
2022-05-27,83.32499694824219
2022-05-31,81.93000030517578
2022-06-01,81.76000213623047
2022-06-02,81.45500183105469
2022-06-03,80.125
2022-06-06,80.58499908447266
2022-06-07,81.8499984741211
2022-06-08,79.7249984741211
2022-06-09,77.58000183105469
2022-06-10,77.33000183105469
2022-06-13,73.58000183105469
2022-06-14,72.41000366210938
2022-06-15,72.37000274658203
2022-06-16,70.9800033569336
2022-06-17,69.74500274658203
2022-06-21,71.41000366210938
2022-06-22,71.72000122070312
2022-06-23,73.17500305175781
2022-06-24,74.72000122070312
2022-06-27,75.33499908447266
2022-06-28,75.6050033569336
2022-06-29,75.15499877929688
2022-06-30,75.13500213623047
2022-07-01,76.77999877929688
2022-07-05,73.49500274658203
2022-07-06,73.7300033569336
2022-07-07,73.83999633789062
2022-07-08,73.63500213623047
2022-07-11,74.26499938964844
2022-07-12,73.42500305175781
2022-07-13,73.36499786376953
2022-07-14,74.00499725341797
2022-07-15,75.62000274658203
2022-07-18,74.68000030517578
2022-07-19,75.79499816894531
2022-07-20,76.38500213623047
2022-07-21,76.74500274658203
2022-07-22,77.12000274658203
2022-07-25,79.13500213623047
2022-07-26,79.83999633789062
2022-07-27,79.9749984741211
2022-07-28,81.79000091552734
2022-07-29,82.9000015258789
2022-08-01,82.68499755859375
2022-08-02,81.8499984741211
2022-08-03,82.28500366210938
2022-08-04,80.72000122070312
2022-08-05,79.8949966430664
2022-08-08,80.4800033569336
2022-08-09,81.2750015258789
2022-08-10,81.73999786376953
2022-08-11,81.94499969482422
2022-08-12,83.18499755859375
2022-08-15,83.76000213623047
2022-08-16,84.5250015258789
2022-08-17,84.79499816894531
2022-08-18,85.22000122070312
2022-08-19,85.02999877929688
2022-08-22,84.08499908447266
2022-08-23,84.1500015258789
2022-08-24,84.21499633789062
2022-08-25,84.33499908447266
2022-08-26,83.2699966430664
2022-08-29,84.1449966430664
2022-08-30,83.02999877929688
2022-08-31,82.48500061035156
2022-09-01,84.00499725341797
2022-09-02,83.4000015258789
2022-09-06,83.91500091552734
2022-09-07,86.74500274658203
2022-09-08,86.47000122070312
2022-09-09,86.87999725341797
2022-09-12,87.82499694824219
2022-09-13,85.41500091552734
2022-09-14,86.8499984741211
2022-09-15,85.44000244140625
2022-09-16,84.22000122070312
2022-09-19,86.46499633789062
2022-09-20,84.43000030517578
2022-09-21,83.12999725341797
2022-09-22,82.09500122070312
2022-09-23,80.88999938964844
2022-09-26,78.61499786376953
2022-09-27,77.07499694824219
2022-09-28,78.48999786376953
2022-09-29,75.73999786376953
2022-09-30,74.97000122070312
2022-10-03,77.55999755859375
2022-10-04,78.81500244140625
2022-10-05,76.76499938964844
2022-10-06,74.45500183105469
2022-10-07,73.51499938964844
2022-10-10,73.7750015258789
2022-10-11,73.4800033569336
2022-10-12,70.3499984741211
2022-10-13,71.51499938964844
2022-10-14,70.75
2022-10-17,72.43499755859375
2022-10-18,72.70500183105469
2022-10-19,71.87000274658203
2022-10-20,69.87000274658203
2022-10-21,71.13999938964844
2022-10-24,72.06999969482422
2022-10-25,73.11000061035156
2022-10-26,73.76499938964844
2022-10-27,75.0
2022-10-28,76.19499969482422
2022-10-31,75.47000122070312
2022-11-01,75.7249984741211
2022-11-02,75.2699966430664
2022-11-03,76.30500030517578
2022-11-04,77.41500091552734
2022-11-07,74.8550033569336
2022-11-08,75.86499786376953
2022-11-09,75.03500366210938
2022-11-10,77.91500091552734
2022-11-11,77.32499694824219
2022-11-14,77.80500030517578
2022-11-15,77.71499633789062
2022-11-16,78.70500183105469
2022-11-17,77.04000091552734
2022-11-18,78.91999816894531
2022-11-21,79.38500213623047
2022-11-22,80.16500091552734
2022-11-23,81.5
