Date,COF
2022-02-28,153.27000427246094
2022-03-01,140.67999267578125
2022-03-02,141.1999969482422
2022-03-03,138.52000427246094
2022-03-04,134.1199951171875
2022-03-07,124.80000305175781
2022-03-08,126.08000183105469
2022-03-09,131.91000366210938
2022-03-10,130.25999450683594
2022-03-11,130.08999633789062
2022-03-14,133.6699981689453
2022-03-15,134.27000427246094
2022-03-16,137.83999633789062
2022-03-17,137.5500030517578
2022-03-18,138.2100067138672
2022-03-21,134.44000244140625
2022-03-22,138.1699981689453
2022-03-23,133.99000549316406
2022-03-24,135.07000732421875
2022-03-25,135.8800048828125
2022-03-28,133.25
2022-03-29,135.69000244140625
2022-03-30,134.47000122070312
2022-03-31,131.2899932861328
2022-04-01,130.88999938964844
2022-04-04,131.6699981689453
2022-04-05,130.4199981689453
2022-04-06,129.27999877929688
2022-04-07,129.30999755859375
2022-04-08,131.75999450683594
2022-04-11,131.22999572753906
2022-04-12,132.22999572753906
2022-04-13,132.6199951171875
2022-04-14,132.58999633789062
2022-04-18,137.97999572753906
2022-04-19,141.58999633789062
2022-04-20,141.85000610351562
2022-04-21,139.97999572753906
2022-04-22,135.27999877929688
2022-04-25,136.4600067138672
2022-04-26,132.22999572753906
2022-04-27,124.3499984741211
2022-04-28,129.3800048828125
2022-04-29,124.62000274658203
2022-05-02,126.63999938964844
2022-05-03,128.64999389648438
2022-05-04,134.3000030517578
2022-05-05,130.3300018310547
2022-05-06,127.04000091552734
2022-05-09,123.22000122070312
2022-05-10,121.02999877929688
2022-05-11,119.58999633789062
2022-05-12,114.1500015258789
2022-05-13,116.45999908447266
2022-05-16,113.97000122070312
2022-05-17,120.41000366210938
2022-05-18,114.38999938964844
2022-05-19,113.33000183105469
2022-05-20,113.69999694824219
2022-05-23,118.80000305175781
2022-05-24,116.83000183105469
2022-05-25,120.22000122070312
2022-05-26,124.41000366210938
2022-05-27,126.45999908447266
2022-05-31,127.86000061035156
2022-06-01,124.95999908447266
2022-06-02,126.37000274658203
2022-06-03,124.05000305175781
2022-06-06,125.68000030517578
2022-06-07,128.22999572753906
2022-06-08,125.16999816894531
2022-06-09,119.33999633789062
2022-06-10,112.58000183105469
2022-06-13,107.01000213623047
2022-06-14,106.58000183105469
2022-06-15,108.16999816894531
2022-06-16,102.11000061035156
2022-06-17,107.26000213623047
2022-06-21,106.45999908447266
2022-06-22,105.62999725341797
2022-06-23,104.20999908447266
2022-06-24,110.08999633789062
2022-06-27,109.5999984741211
2022-06-28,108.5199966430664
2022-06-29,105.61000061035156
2022-06-30,104.19000244140625
2022-07-01,106.81999969482422
2022-07-05,106.66000366210938
2022-07-06,106.04000091552734
2022-07-07,108.83999633789062
2022-07-08,108.61000061035156
2022-07-11,107.16999816894531
2022-07-12,107.04000091552734
2022-07-13,105.52999877929688
2022-07-14,103.44999694824219
2022-07-15,108.1500015258789
2022-07-18,110.48999786376953
2022-07-19,113.0199966430664
2022-07-20,114.76000213623047
2022-07-21,114.2699966430664
2022-07-22,108.93000030517578
2022-07-25,110.93000030517578
2022-07-26,106.36000061035156
2022-07-27,108.94000244140625
2022-07-28,107.70999908447266
2022-07-29,109.83000183105469
2022-08-01,109.7300033569336
2022-08-02,106.94000244140625
2022-08-03,109.05999755859375
2022-08-04,106.88999938964844
2022-08-05,106.33000183105469
2022-08-08,107.81999969482422
2022-08-09,106.37999725341797
2022-08-10,112.73999786376953
2022-08-11,115.2699966430664
2022-08-12,115.73999786376953
2022-08-15,113.66000366210938
2022-08-16,115.45999908447266
2022-08-17,113.61000061035156
2022-08-18,113.8499984741211
2022-08-19,112.20999908447266
2022-08-22,109.0
2022-08-23,109.80999755859375
2022-08-24,110.36000061035156
2022-08-25,113.66000366210938
2022-08-26,109.81999969482422
2022-08-29,107.19999694824219
2022-08-30,106.83000183105469
2022-08-31,105.81999969482422
2022-09-01,104.80999755859375
2022-09-02,104.22000122070312
2022-09-06,102.16999816894531
2022-09-07,104.88999938964844
2022-09-08,106.44000244140625
2022-09-09,108.31999969482422
2022-09-12,109.79000091552734
2022-09-13,101.04000091552734
2022-09-14,100.6500015258789
2022-09-15,102.7699966430664
2022-09-16,101.68000030517578
2022-09-19,102.4800033569336
2022-09-20,101.37000274658203
2022-09-21,99.48999786376953
2022-09-22,95.47000122070312
2022-09-23,93.77999877929688
2022-09-26,91.30000305175781
2022-09-27,91.38999938964844
2022-09-28,95.04000091552734
2022-09-29,93.68000030517578
2022-09-30,92.16999816894531
2022-10-03,95.56999969482422
2022-10-04,99.87000274658203
2022-10-05,98.94000244140625
2022-10-06,96.7300033569336
2022-10-07,93.87000274658203
2022-10-10,93.05000305175781
2022-10-11,93.76000213623047
2022-10-12,93.48999786376953
2022-10-13,97.81999969482422
2022-10-14,95.38999938964844
2022-10-17,97.47000122070312
2022-10-18,99.58999633789062
2022-10-19,95.2300033569336
2022-10-20,94.9800033569336
2022-10-21,96.25
2022-10-24,97.55999755859375
2022-10-25,101.58000183105469
2022-10-26,101.91999816894531
2022-10-27,102.12999725341797
2022-10-28,107.0999984741211
2022-10-31,106.0199966430664
2022-11-01,106.80999755859375
2022-11-02,103.20999908447266
2022-11-03,98.81999969482422
2022-11-04,102.52999877929688
2022-11-07,104.73999786376953
2022-11-08,105.54000091552734
2022-11-09,101.47000122070312
2022-11-10,113.41999816894531
2022-11-11,116.25
2022-11-14,111.56999969482422
2022-11-15,103.55999755859375
2022-11-16,101.76000213623047
2022-11-17,99.44000244140625
2022-11-18,98.95999908447266
2022-11-21,101.30999755859375
2022-11-22,101.55000305175781
