Date,RGA
2022-02-28,110.86000061035156
2022-03-01,103.0199966430664
2022-03-02,106.05000305175781
2022-03-03,107.45999908447266
2022-03-04,102.98999786376953
2022-03-07,99.08999633789062
2022-03-08,99.70999908447266
2022-03-09,101.16999816894531
2022-03-10,100.94999694824219
2022-03-11,101.06999969482422
2022-03-14,101.63999938964844
2022-03-15,101.73999786376953
2022-03-16,104.0199966430664
2022-03-17,103.9000015258789
2022-03-18,103.37000274658203
2022-03-21,103.81999969482422
2022-03-22,106.52999877929688
2022-03-23,106.5199966430664
2022-03-24,109.62999725341797
2022-03-25,110.91000366210938
2022-03-28,111.52999877929688
2022-03-29,112.58000183105469
2022-03-30,110.91000366210938
2022-03-31,109.45999908447266
2022-04-01,111.55999755859375
2022-04-04,108.80999755859375
2022-04-05,109.06999969482422
2022-04-06,108.93000030517578
2022-04-07,108.05999755859375
2022-04-08,109.30000305175781
2022-04-11,111.11000061035156
2022-04-12,109.5999984741211
2022-04-13,111.69000244140625
2022-04-14,112.66000366210938
2022-04-18,115.0
2022-04-19,117.1500015258789
2022-04-20,119.01000213623047
2022-04-21,116.26000213623047
2022-04-22,113.31999969482422
2022-04-25,112.79000091552734
2022-04-26,108.4000015258789
2022-04-27,108.9800033569336
2022-04-28,110.7699966430664
2022-04-29,107.31999969482422
2022-05-02,106.16999816894531
2022-05-03,107.33000183105469
2022-05-04,110.8499984741211
2022-05-05,110.16999816894531
2022-05-06,118.69999694824219
2022-05-09,115.5
2022-05-10,115.97000122070312
2022-05-11,114.80999755859375
2022-05-12,114.30000305175781
2022-05-13,117.91000366210938
2022-05-16,119.06999969482422
2022-05-17,125.06999969482422
2022-05-18,121.0999984741211
2022-05-19,121.55000305175781
2022-05-20,119.7699966430664
2022-05-23,121.73999786376953
2022-05-24,120.91000366210938
2022-05-25,121.05000305175781
2022-05-26,123.47000122070312
2022-05-27,126.25
2022-05-31,125.8499984741211
2022-06-01,124.51000213623047
2022-06-02,125.5
2022-06-03,123.38999938964844
2022-06-06,126.0199966430664
2022-06-07,127.18000030517578
2022-06-08,125.30000305175781
2022-06-09,122.47000122070312
2022-06-10,121.23999786376953
2022-06-13,114.61000061035156
2022-06-14,115.37999725341797
2022-06-15,115.20999908447266
2022-06-16,109.9800033569336
2022-06-17,110.81999969482422
2022-06-21,113.4800033569336
2022-06-22,112.30999755859375
2022-06-23,112.41999816894531
2022-06-24,117.87000274658203
2022-06-27,117.16000366210938
2022-06-28,116.95999908447266
2022-06-29,118.33000183105469
2022-06-30,117.29000091552734
2022-07-01,119.01000213623047
2022-07-05,116.19999694824219
2022-07-06,114.91999816894531
2022-07-07,114.9800033569336
2022-07-08,115.91999816894531
2022-07-11,116.88999938964844
2022-07-12,117.47000122070312
2022-07-13,115.8499984741211
2022-07-14,114.36000061035156
2022-07-15,115.36000061035156
2022-07-18,115.62000274658203
2022-07-19,117.66999816894531
2022-07-20,117.20999908447266
2022-07-21,116.0999984741211
2022-07-22,114.86000061035156
2022-07-25,116.93000030517578
2022-07-26,116.48999786376953
2022-07-27,117.0999984741211
2022-07-28,115.12000274658203
2022-07-29,115.77999877929688
2022-08-01,115.47000122070312
2022-08-02,113.55000305175781
2022-08-03,115.73999786376953
2022-08-04,113.55999755859375
2022-08-05,123.41999816894531
2022-08-08,122.80000305175781
2022-08-09,124.6500015258789
2022-08-10,127.69999694824219
2022-08-11,130.2899932861328
2022-08-12,131.64999389648438
2022-08-15,130.0
2022-08-16,129.08999633789062
2022-08-17,128.10000610351562
2022-08-18,129.91000366210938
2022-08-19,129.2100067138672
2022-08-22,127.73999786376953
2022-08-23,127.81999969482422
2022-08-24,128.10000610351562
2022-08-25,129.10000610351562
2022-08-26,127.69999694824219
2022-08-29,126.01000213623047
2022-08-30,125.30999755859375
2022-08-31,125.36000061035156
2022-09-01,125.38999938964844
2022-09-02,124.54000091552734
2022-09-06,124.7300033569336
2022-09-07,127.11000061035156
2022-09-08,127.68000030517578
