Date,SHG
2022-02-28,32.41999816894531
2022-03-01,31.520000457763672
2022-03-02,31.84000015258789
2022-03-03,31.600000381469727
2022-03-04,30.690000534057617
2022-03-07,29.40999984741211
2022-03-08,29.440000534057617
2022-03-09,30.350000381469727
2022-03-10,30.049999237060547
2022-03-11,29.780000686645508
2022-03-14,30.329999923706055
2022-03-15,30.68000030517578
2022-03-16,31.729999542236328
2022-03-17,31.899999618530273
2022-03-18,31.59000015258789
2022-03-21,31.389999389648438
2022-03-22,32.189998626708984
2022-03-23,31.799999237060547
2022-03-24,32.27000045776367
2022-03-25,32.7400016784668
2022-03-28,33.5099983215332
2022-03-29,34.09000015258789
2022-03-30,33.650001525878906
2022-03-31,33.43000030517578
2022-04-01,33.7599983215332
2022-04-04,34.029998779296875
2022-04-05,32.630001068115234
2022-04-06,33.130001068115234
2022-04-07,32.81999969482422
2022-04-08,32.7599983215332
2022-04-11,33.150001525878906
2022-04-12,33.029998779296875
2022-04-13,32.939998626708984
2022-04-14,32.7599983215332
2022-04-18,32.68000030517578
2022-04-19,32.95000076293945
2022-04-20,33.54999923706055
2022-04-21,33.099998474121094
2022-04-22,33.11000061035156
2022-04-25,33.459999084472656
2022-04-26,32.41999816894531
2022-04-27,32.11000061035156
2022-04-28,33.40999984741211
2022-04-29,32.709999084472656
2022-05-02,32.61000061035156
2022-05-03,32.97999954223633
2022-05-04,34.060001373291016
2022-05-05,32.970001220703125
2022-05-06,33.16999816894531
2022-05-09,32.56999969482422
2022-05-10,32.029998779296875
2022-05-11,31.3700008392334
2022-05-12,31.489999771118164
2022-05-13,33.099998474121094
2022-05-16,32.900001525878906
2022-05-17,33.56999969482422
2022-05-18,32.349998474121094
2022-05-19,32.06999969482422
2022-05-20,32.459999084472656
2022-05-23,33.189998626708984
2022-05-24,33.52000045776367
2022-05-25,33.52000045776367
2022-05-26,34.130001068115234
2022-05-27,34.599998474121094
2022-05-31,34.56999969482422
2022-06-01,34.4900016784668
2022-06-02,34.380001068115234
2022-06-03,33.810001373291016
2022-06-06,33.790000915527344
2022-06-07,33.52000045776367
2022-06-08,33.15999984741211
2022-06-09,32.779998779296875
2022-06-10,32.15999984741211
2022-06-13,30.799999237060547
2022-06-14,31.43000030517578
2022-06-15,31.65999984741211
2022-06-16,30.81999969482422
2022-06-17,30.75
2022-06-21,30.8799991607666
2022-06-22,30.110000610351562
2022-06-23,28.8700008392334
2022-06-24,30.09000015258789
