Date,UL
2022-02-28,50.27000045776367
2022-03-01,48.7400016784668
2022-03-02,48.66999816894531
2022-03-03,47.70000076293945
2022-03-04,45.68000030517578
2022-03-07,43.880001068115234
2022-03-08,43.709999084472656
2022-03-09,45.41999816894531
2022-03-10,44.349998474121094
2022-03-11,43.95000076293945
2022-03-14,44.349998474121094
2022-03-15,44.38999938964844
2022-03-16,45.08000183105469
2022-03-17,45.31999969482422
2022-03-18,45.29999923706055
2022-03-21,45.08000183105469
2022-03-22,45.52000045776367
2022-03-23,44.7400016784668
2022-03-24,44.61000061035156
2022-03-25,44.900001525878906
2022-03-28,45.20000076293945
2022-03-29,46.25
2022-03-30,46.2599983215332
2022-03-31,45.56999969482422
2022-04-01,46.599998474121094
2022-04-04,46.54999923706055
2022-04-05,46.15999984741211
2022-04-06,45.90999984741211
2022-04-07,46.119998931884766
2022-04-08,45.83000183105469
2022-04-11,45.36000061035156
2022-04-12,44.5
2022-04-13,45.0099983215332
2022-04-14,44.65999984741211
2022-04-18,44.220001220703125
2022-04-19,44.790000915527344
2022-04-20,45.41999816894531
2022-04-21,45.540000915527344
2022-04-22,45.40999984741211
2022-04-25,46.38999938964844
2022-04-26,45.65999984741211
2022-04-27,44.84000015258789
2022-04-28,46.15999984741211
2022-04-29,46.2599983215332
2022-05-02,45.63999938964844
2022-05-03,45.650001525878906
2022-05-04,45.900001525878906
2022-05-05,44.81999969482422
2022-05-06,44.47999954223633
2022-05-09,44.83000183105469
2022-05-10,45.4900016784668
2022-05-11,44.720001220703125
2022-05-12,45.189998626708984
2022-05-13,46.16999816894531
2022-05-16,45.56999969482422
2022-05-17,45.86000061035156
2022-05-18,44.20000076293945
2022-05-19,43.04999923706055
2022-05-20,43.9900016784668
2022-05-23,44.439998626708984
2022-05-24,44.70000076293945
2022-05-25,43.86000061035156
2022-05-26,43.81999969482422
2022-05-27,43.97999954223633
2022-05-31,48.33000183105469
2022-06-01,46.2400016784668
2022-06-02,46.650001525878906
2022-06-03,46.52000045776367
2022-06-06,46.709999084472656
2022-06-07,46.75
2022-06-08,46.040000915527344
2022-06-09,45.189998626708984
2022-06-10,45.060001373291016
2022-06-13,44.290000915527344
2022-06-14,43.560001373291016
2022-06-15,44.060001373291016
2022-06-16,43.689998626708984
2022-06-17,43.720001220703125
2022-06-21,44.369998931884766
2022-06-22,44.369998931884766
2022-06-23,44.56999969482422
2022-06-24,46.25
2022-06-27,46.0
2022-06-28,45.33000183105469
2022-06-29,45.560001373291016
2022-06-30,45.83000183105469
2022-07-01,46.290000915527344
2022-07-05,45.84000015258789
2022-07-06,46.18000030517578
2022-07-07,46.130001068115234
2022-07-08,46.130001068115234
2022-07-11,45.779998779296875
2022-07-12,46.02000045776367
2022-07-13,46.27000045776367
2022-07-14,45.93000030517578
2022-07-15,46.209999084472656
2022-07-18,45.939998626708984
2022-07-19,47.29999923706055
2022-07-20,46.56999969482422
2022-07-21,46.65999984741211
2022-07-22,47.02000045776367
2022-07-25,47.13999938964844
2022-07-26,48.849998474121094
2022-07-27,48.439998626708984
2022-07-28,48.34000015258789
2022-07-29,48.65999984741211
2022-08-01,48.900001525878906
2022-08-02,48.4900016784668
2022-08-03,48.79999923706055
2022-08-04,48.41999816894531
2022-08-05,48.06999969482422
2022-08-08,48.41999816894531
2022-08-09,47.849998474121094
2022-08-10,48.380001068115234
2022-08-11,47.650001525878906
2022-08-12,47.779998779296875
2022-08-15,47.810001373291016
2022-08-16,47.650001525878906
2022-08-17,47.650001525878906
2022-08-18,47.349998474121094
2022-08-19,47.40999984741211
2022-08-22,47.02000045776367
2022-08-23,46.59000015258789
2022-08-24,46.939998626708984
2022-08-25,47.0099983215332
2022-08-26,46.02000045776367
2022-08-29,45.95000076293945
2022-08-30,45.75
2022-08-31,45.38999938964844
2022-09-01,44.90999984741211
2022-09-02,44.599998474121094
2022-09-06,44.79999923706055
2022-09-07,45.29999923706055
2022-09-08,44.95000076293945
2022-09-09,46.0099983215332
2022-09-12,46.83000183105469
2022-09-13,45.88999938964844
