Date,TMO
2022-02-28,544.0
2022-03-01,543.0700073242188
2022-03-02,556.4500122070312
2022-03-03,554.2899780273438
2022-03-04,547.3200073242188
2022-03-07,534.75
2022-03-08,524.0
2022-03-09,541.7000122070312
2022-03-10,538.25
2022-03-11,529.8099975585938
2022-03-14,535.8800048828125
2022-03-15,550.6400146484375
2022-03-16,562.5499877929688
2022-03-17,572.25
2022-03-18,589.0900268554688
2022-03-21,589.2999877929688
2022-03-22,587.3599853515625
2022-03-23,571.3099975585938
2022-03-24,573.6900024414062
2022-03-25,574.2899780273438
2022-03-28,583.1900024414062
2022-03-29,592.8699951171875
2022-03-30,595.1500244140625
2022-03-31,590.6500244140625
2022-04-01,592.3400268554688
2022-04-04,590.1400146484375
2022-04-05,584.280029296875
2022-04-06,587.4099731445312
2022-04-07,612.2100219726562
2022-04-08,608.8599853515625
2022-04-11,585.6699829101562
2022-04-12,570.9400024414062
2022-04-13,576.7999877929688
2022-04-14,568.9000244140625
2022-04-18,572.1300048828125
2022-04-19,574.1500244140625
2022-04-20,591.1500244140625
2022-04-21,580.4299926757812
2022-04-22,561.280029296875
2022-04-25,544.1599731445312
2022-04-26,516.4400024414062
2022-04-27,520.47998046875
2022-04-28,558.8900146484375
2022-04-29,552.9199829101562
2022-05-02,545.52001953125
2022-05-03,546.3200073242188
2022-05-04,562.97998046875
2022-05-05,550.510009765625
2022-05-06,546.6799926757812
2022-05-09,517.3900146484375
2022-05-10,526.22998046875
2022-05-11,520.0
2022-05-12,525.7999877929688
2022-05-13,541.4199829101562
2022-05-16,539.3800048828125
2022-05-17,554.5999755859375
2022-05-18,542.1699829101562
2022-05-19,550.739990234375
2022-05-20,555.1500244140625
2022-05-23,555.2100219726562
2022-05-24,548.8200073242188
2022-05-25,534.27001953125
2022-05-26,540.1099853515625
2022-05-27,572.3499755859375
2022-05-31,567.5700073242188
2022-06-01,556.219970703125
2022-06-02,570.0999755859375
2022-06-03,558.0999755859375
2022-06-06,552.8800048828125
2022-06-07,560.6599731445312
2022-06-08,552.0599975585938
2022-06-09,539.8200073242188
2022-06-10,526.8800048828125
2022-06-13,511.9100036621094
2022-06-14,507.45001220703125
2022-06-15,514.760009765625
2022-06-16,504.8900146484375
2022-06-17,500.8999938964844
2022-06-21,513.5399780273438
2022-06-22,519.219970703125
2022-06-23,540.5999755859375
2022-06-24,544.8099975585938
2022-06-27,543.6400146484375
2022-06-28,535.77001953125
2022-06-29,535.9199829101562
2022-06-30,543.280029296875
2022-07-01,548.27001953125
2022-07-05,545.0700073242188
2022-07-06,556.0399780273438
2022-07-07,553.760009765625
2022-07-08,553.7100219726562
2022-07-11,558.030029296875
2022-07-12,530.9299926757812
2022-07-13,523.1500244140625
2022-07-14,525.6300048828125
2022-07-15,538.8699951171875
2022-07-18,520.760009765625
2022-07-19,536.8699951171875
2022-07-20,538.6500244140625
2022-07-21,575.0
2022-07-22,561.5399780273438
2022-07-25,567.4400024414062
2022-07-26,573.27001953125
2022-07-27,581.9299926757812
2022-07-28,597.6400146484375
2022-07-29,598.4099731445312
2022-08-01,589.5499877929688
2022-08-02,586.0399780273438
2022-08-03,587.97998046875
2022-08-04,590.0
2022-08-05,590.260009765625
2022-08-08,583.9500122070312
2022-08-09,580.8699951171875
2022-08-10,592.3499755859375
2022-08-11,592.5399780273438
2022-08-12,603.2100219726562
2022-08-15,604.489990234375
2022-08-16,602.1099853515625
2022-08-17,596.0399780273438
2022-08-18,595.010009765625
2022-08-19,588.5499877929688
2022-08-22,576.1099853515625
2022-08-23,572.969970703125
2022-08-24,573.1500244140625
2022-08-25,585.469970703125
2022-08-26,563.7100219726562
2022-08-29,556.6900024414062
2022-08-30,554.2899780273438
2022-08-31,545.3200073242188
2022-09-01,550.75
2022-09-02,543.5499877929688
2022-09-06,545.1500244140625
2022-09-07,551.719970703125
2022-09-08,566.5599975585938
2022-09-09,569.4000244140625
2022-09-12,579.1900024414062
2022-09-13,559.8200073242188
2022-09-14,558.1300048828125
2022-09-15,551.97998046875
2022-09-16,541.280029296875
2022-09-19,539.6699829101562
2022-09-20,532.1599731445312
2022-09-21,525.6900024414062
2022-09-22,520.2899780273438
2022-09-23,520.7899780273438
2022-09-26,514.3099975585938
2022-09-27,508.6600036621094
2022-09-28,517.8300170898438
2022-09-29,516.6099853515625
2022-09-30,507.19000244140625
2022-10-03,522.9299926757812
2022-10-04,539.9299926757812
2022-10-05,546.27001953125
2022-10-06,540.5900268554688
2022-10-07,523.6099853515625
2022-10-10,510.8399963378906
2022-10-11,500.80999755859375
2022-10-12,500.6700134277344
2022-10-13,510.5400085449219
2022-10-14,503.04998779296875
2022-10-17,517.22998046875
2022-10-18,524.4000244140625
2022-10-19,505.6099853515625
2022-10-20,486.8599853515625
2022-10-21,496.739990234375
2022-10-24,505.010009765625
2022-10-25,514.6199951171875
2022-10-26,503.0
2022-10-27,498.32000732421875
2022-10-28,503.8399963378906
2022-10-31,513.969970703125
2022-11-01,517.6900024414062
2022-11-02,490.9800109863281
2022-11-03,486.94000244140625
2022-11-04,495.54998779296875
2022-11-07,492.1000061035156
2022-11-08,492.1700134277344
2022-11-09,484.7099914550781
2022-11-10,520.5800170898438
2022-11-11,538.6799926757812
2022-11-14,534.77001953125
2022-11-15,546.0900268554688
2022-11-16,536.010009765625
2022-11-17,529.8900146484375
2022-11-18,535.239990234375
2022-11-21,536.280029296875
2022-11-22,544.75
2022-11-23,547.2899780273438
2022-11-25,551.25
2022-11-28,540.030029296875
2022-11-29,539.75
2022-11-30,560.219970703125
2022-12-01,564.5599975585938
2022-12-02,563.0
2022-12-05,557.2100219726562
2022-12-06,550.530029296875
2022-12-07,558.1400146484375
2022-12-08,567.9500122070312
2022-12-09,560.22998046875
