Date,BP
2022-02-28,29.209999084472656
2022-03-01,28.489999771118164
2022-03-02,30.110000610351562
2022-03-03,28.739999771118164
2022-03-04,28.010000228881836
2022-03-07,28.5
2022-03-08,29.75
2022-03-09,29.030000686645508
2022-03-10,29.030000686645508
2022-03-11,28.270000457763672
2022-03-14,27.860000610351562
2022-03-15,28.049999237060547
2022-03-16,28.610000610351562
2022-03-17,29.040000915527344
2022-03-18,28.739999771118164
2022-03-21,29.799999237060547
2022-03-22,29.670000076293945
2022-03-23,30.760000228881836
2022-03-24,30.739999771118164
2022-03-25,31.049999237060547
2022-03-28,29.93000030517578
2022-03-29,29.610000610351562
2022-03-30,30.06999969482422
2022-03-31,29.399999618530273
2022-04-01,29.84000015258789
2022-04-04,29.790000915527344
2022-04-05,29.700000762939453
2022-04-06,29.59000015258789
2022-04-07,29.860000610351562
2022-04-08,30.469999313354492
2022-04-11,29.969999313354492
2022-04-12,30.540000915527344
2022-04-13,31.209999084472656
2022-04-14,31.290000915527344
2022-04-18,31.25
2022-04-19,31.40999984741211
2022-04-20,31.399999618530273
2022-04-21,30.809999465942383
2022-04-22,29.8799991607666
2022-04-25,28.729999542236328
2022-04-26,28.350000381469727
2022-04-27,28.600000381469727
2022-04-28,29.350000381469727
2022-04-29,28.719999313354492
2022-05-02,28.860000610351562
2022-05-03,31.18000030517578
2022-05-04,31.850000381469727
2022-05-05,31.219999313354492
2022-05-06,31.860000610351562
2022-05-09,29.68000030517578
2022-05-10,29.889999389648438
2022-05-11,30.219999313354492
2022-05-12,29.610000610351562
2022-05-13,30.489999771118164
2022-05-16,31.020000457763672
2022-05-17,31.479999542236328
2022-05-18,31.110000610351562
2022-05-19,31.030000686645508
2022-05-20,31.280000686645508
2022-05-23,32.11000061035156
2022-05-24,32.08000183105469
2022-05-25,32.369998931884766
2022-05-26,32.66999816894531
2022-05-27,32.560001373291016
2022-05-31,32.369998931884766
2022-06-01,32.689998626708984
2022-06-02,32.81999969482422
2022-06-03,32.97999954223633
2022-06-06,33.099998474121094
2022-06-07,34.189998626708984
2022-06-08,34.119998931884766
2022-06-09,33.52000045776367
2022-06-10,32.459999084472656
2022-06-13,31.219999313354492
2022-06-14,30.860000610351562
2022-06-15,31.020000457763672
2022-06-16,29.579999923706055
2022-06-17,27.760000228881836
2022-06-21,29.1200008392334
2022-06-22,28.09000015258789
2022-06-23,27.360000610351562
2022-06-24,28.229999542236328
2022-06-27,28.700000762939453
2022-06-28,29.06999969482422
2022-06-29,28.770000457763672
2022-06-30,28.350000381469727
2022-07-01,28.280000686645508
2022-07-05,27.149999618530273
2022-07-06,26.719999313354492
2022-07-07,27.780000686645508
