Date,TTE
2022-02-28,50.529998779296875
2022-03-01,49.290000915527344
2022-03-02,53.279998779296875
2022-03-03,50.93000030517578
2022-03-04,49.20000076293945
2022-03-07,48.810001373291016
2022-03-08,50.15999984741211
2022-03-09,50.66999816894531
2022-03-10,50.790000915527344
2022-03-11,49.650001525878906
2022-03-14,49.970001220703125
2022-03-15,49.7599983215332
2022-03-16,50.11000061035156
2022-03-17,50.790000915527344
2022-03-18,49.81999969482422
2022-03-21,50.31999969482422
2022-03-22,50.77000045776367
2022-03-23,51.02000045776367
2022-03-24,51.59000015258789
2022-03-25,52.47999954223633
2022-03-28,51.29999923706055
2022-03-29,51.70000076293945
2022-03-30,52.209999084472656
2022-03-31,50.540000915527344
2022-04-01,52.20000076293945
2022-04-04,51.91999816894531
2022-04-05,50.189998626708984
2022-04-06,49.4900016784668
2022-04-07,49.540000915527344
2022-04-08,49.560001373291016
2022-04-11,50.439998626708984
2022-04-12,49.900001525878906
2022-04-13,51.040000915527344
2022-04-14,50.900001525878906
2022-04-18,51.18000030517578
2022-04-19,51.189998626708984
2022-04-20,50.90999984741211
2022-04-21,50.119998931884766
2022-04-22,49.099998474121094
2022-04-25,48.27000045776367
2022-04-26,47.61000061035156
2022-04-27,48.209999084472656
2022-04-28,49.65999984741211
2022-04-29,48.709999084472656
2022-05-02,50.04999923706055
2022-05-03,51.43000030517578
2022-05-04,52.7599983215332
2022-05-05,52.4900016784668
2022-05-06,53.7400016784668
2022-05-09,50.4900016784668
2022-05-10,51.11000061035156
2022-05-11,52.56999969482422
2022-05-12,51.689998626708984
2022-05-13,53.5
2022-05-16,54.34000015258789
2022-05-17,55.15999984741211
2022-05-18,54.400001525878906
2022-05-19,54.86000061035156
2022-05-20,54.70000076293945
2022-05-23,56.68000030517578
2022-05-24,56.720001220703125
2022-05-25,58.279998779296875
2022-05-26,59.060001373291016
2022-05-27,58.83000183105469
2022-05-31,58.79999923706055
2022-06-01,58.22999954223633
2022-06-02,58.279998779296875
2022-06-03,58.77000045776367
2022-06-06,59.4900016784668
2022-06-07,60.34000015258789
2022-06-08,61.150001525878906
2022-06-09,59.15999984741211
2022-06-10,57.720001220703125
2022-06-13,55.779998779296875
2022-06-14,55.75
2022-06-15,55.959999084472656
2022-06-16,53.880001068115234
2022-06-17,51.29999923706055
2022-06-21,53.20000076293945
2022-06-22,51.70000076293945
2022-06-23,50.15999984741211
2022-06-24,52.34000015258789
2022-06-27,52.72999954223633
2022-06-28,53.29999923706055
2022-06-29,52.970001220703125
2022-06-30,52.63999938964844
2022-07-01,52.83000183105469
2022-07-05,51.150001525878906
2022-07-06,49.060001373291016
2022-07-07,50.279998779296875
2022-07-08,50.130001068115234
2022-07-11,49.45000076293945
2022-07-12,48.349998474121094
2022-07-13,48.97999954223633
2022-07-14,46.29999923706055
2022-07-15,47.93000030517578
2022-07-18,49.16999816894531
2022-07-19,50.790000915527344
2022-07-20,50.209999084472656
2022-07-21,49.279998779296875
2022-07-22,49.29999923706055
2022-07-25,50.47999954223633
2022-07-26,49.65999984741211
2022-07-27,50.83000183105469
2022-07-28,48.959999084472656
2022-07-29,51.060001373291016
2022-08-01,50.54999923706055
2022-08-02,48.86000061035156
2022-08-03,49.25
2022-08-04,49.439998626708984
2022-08-05,49.68000030517578
2022-08-08,50.709999084472656
2022-08-09,51.83000183105469
2022-08-10,52.439998626708984
2022-08-11,53.72999954223633
2022-08-12,54.02000045776367
2022-08-15,51.86000061035156
2022-08-16,52.650001525878906
2022-08-17,52.619998931884766
2022-08-18,53.650001525878906
2022-08-19,53.02000045776367
2022-08-22,53.0099983215332
2022-08-23,54.72999954223633
2022-08-24,53.650001525878906
2022-08-25,53.97999954223633
2022-08-26,53.75
2022-08-29,54.439998626708984
2022-08-30,52.06999969482422
2022-08-31,50.5099983215332
2022-09-01,49.88999938964844
2022-09-02,50.84000015258789
2022-09-06,50.75
2022-09-07,49.560001373291016
2022-09-08,49.38999938964844
2022-09-09,50.68000030517578
2022-09-12,50.91999816894531
2022-09-13,49.709999084472656
2022-09-14,51.209999084472656
2022-09-15,50.060001373291016
2022-09-16,50.15999984741211
2022-09-19,48.939998626708984
2022-09-20,48.04999923706055
2022-09-21,47.79999923706055
2022-09-22,47.970001220703125
2022-09-23,44.939998626708984
2022-09-26,44.86000061035156
2022-09-27,45.5099983215332
2022-09-28,46.220001220703125
2022-09-29,46.650001525878906
2022-09-30,46.52000045776367
2022-10-03,49.22999954223633
2022-10-04,51.400001525878906
2022-10-05,51.27000045776367
2022-10-06,50.709999084472656
2022-10-07,50.90999984741211
2022-10-10,49.5
2022-10-11,48.79999923706055
2022-10-12,48.31999969482422
2022-10-13,50.43000030517578
2022-10-14,51.0
2022-10-17,51.599998474121094
2022-10-18,51.52000045776367
2022-10-19,52.060001373291016
2022-10-20,51.849998474121094
2022-10-21,52.18000030517578
2022-10-24,52.689998626708984
2022-10-25,52.77000045776367
2022-10-26,53.7599983215332
2022-10-27,54.25
2022-10-28,54.77000045776367
2022-10-31,54.77000045776367
2022-11-01,55.849998474121094
2022-11-02,54.790000915527344
2022-11-03,55.619998931884766
2022-11-04,57.439998626708984
2022-11-07,57.869998931884766
2022-11-08,57.34000015258789
2022-11-09,56.29999923706055
2022-11-10,57.15999984741211
2022-11-11,58.869998931884766
2022-11-14,58.04999923706055
2022-11-15,59.560001373291016
2022-11-16,60.09000015258789
2022-11-17,60.130001068115234
2022-11-18,59.58000183105469
2022-11-21,57.9900016784668
2022-11-22,60.06999969482422
2022-11-23,60.2599983215332
