Date,YUM
2022-02-28,122.58000183105469
2022-03-01,120.0199966430664
2022-03-02,122.0
2022-03-03,119.69999694824219
2022-03-04,118.7300033569336
2022-03-07,113.30000305175781
2022-03-08,115.23999786376953
2022-03-09,116.0199966430664
2022-03-10,115.81999969482422
2022-03-11,116.26000213623047
2022-03-14,113.41999816894531
2022-03-15,114.6500015258789
2022-03-16,119.55000305175781
2022-03-17,119.02999877929688
2022-03-18,121.98999786376953
2022-03-21,118.54000091552734
2022-03-22,118.66999816894531
2022-03-23,115.95999908447266
2022-03-24,119.69999694824219
2022-03-25,119.62000274658203
2022-03-28,121.19000244140625
2022-03-29,122.22000122070312
2022-03-30,120.83999633789062
2022-03-31,118.52999877929688
2022-04-01,118.81999969482422
2022-04-04,117.69999694824219
2022-04-05,117.63999938964844
2022-04-06,118.62000274658203
2022-04-07,120.4000015258789
2022-04-08,119.16999816894531
2022-04-11,118.30999755859375
2022-04-12,119.88999938964844
2022-04-13,121.87000274658203
2022-04-14,122.97000122070312
2022-04-18,123.16999816894531
2022-04-19,124.63999938964844
2022-04-20,125.69999694824219
2022-04-21,124.44000244140625
2022-04-22,122.4000015258789
2022-04-25,121.2699966430664
2022-04-26,116.69000244140625
2022-04-27,116.9000015258789
2022-04-28,119.5199966430664
2022-04-29,117.01000213623047
2022-05-02,115.76000213623047
2022-05-03,115.06999969482422
2022-05-04,118.48999786376953
2022-05-05,115.62000274658203
2022-05-06,115.38999938964844
2022-05-09,110.0999984741211
2022-05-10,110.73999786376953
2022-05-11,108.9000015258789
2022-05-12,110.51000213623047
2022-05-13,112.83000183105469
2022-05-16,112.18000030517578
2022-05-17,112.47000122070312
2022-05-18,109.45999908447266
2022-05-19,109.97000122070312
2022-05-20,111.91999816894531
2022-05-23,113.81999969482422
2022-05-24,114.06999969482422
2022-05-25,115.58999633789062
2022-05-26,117.76000213623047
2022-05-27,119.7699966430664
2022-05-31,121.47000122070312
2022-06-01,119.41999816894531
2022-06-02,120.30000305175781
2022-06-03,118.62000274658203
2022-06-06,119.37999725341797
2022-06-07,120.20999908447266
2022-06-08,120.51000213623047
2022-06-09,117.31999969482422
2022-06-10,114.41000366210938
2022-06-13,111.08999633789062
2022-06-14,110.2300033569336
2022-06-15,111.9000015258789
2022-06-16,109.13999938964844
2022-06-17,109.5
2022-06-21,111.56999969482422
2022-06-22,111.45999908447266
2022-06-23,112.33000183105469
2022-06-24,114.41999816894531
2022-06-27,116.23999786376953
2022-06-28,113.4800033569336
2022-06-29,113.83000183105469
2022-06-30,113.51000213623047
2022-07-01,116.70999908447266
2022-07-05,117.33000183105469
2022-07-06,116.83000183105469
2022-07-07,117.73999786376953
2022-07-08,117.27999877929688
2022-07-11,116.54000091552734
2022-07-12,115.83000183105469
2022-07-13,117.01000213623047
2022-07-14,116.8499984741211
2022-07-15,118.1500015258789
2022-07-18,118.4800033569336
2022-07-19,119.91000366210938
2022-07-20,120.80999755859375
2022-07-21,120.25
2022-07-22,119.44999694824219
2022-07-25,117.05000305175781
2022-07-26,117.83999633789062
2022-07-27,120.51000213623047
2022-07-28,122.70999908447266
2022-07-29,122.54000091552734
2022-08-01,122.73999786376953
2022-08-02,122.12999725341797
2022-08-03,119.80999755859375
2022-08-04,120.0199966430664
2022-08-05,118.41999816894531
2022-08-08,118.5
2022-08-09,116.93000030517578
2022-08-10,119.18000030517578
2022-08-11,117.70999908447266
2022-08-12,118.16000366210938
2022-08-15,118.23999786376953
2022-08-16,119.04000091552734
2022-08-17,119.11000061035156
2022-08-18,117.94999694824219
2022-08-19,116.6500015258789
2022-08-22,114.73999786376953
2022-08-23,114.70999908447266
2022-08-24,114.66999816894531
2022-08-25,116.81999969482422
2022-08-26,112.16000366210938
2022-08-29,112.20999908447266
2022-08-30,110.77999877929688
2022-08-31,111.23999786376953
2022-09-01,114.26000213623047
2022-09-02,112.73999786376953
2022-09-06,112.55999755859375
2022-09-07,115.31999969482422
2022-09-08,116.36000061035156
2022-09-09,116.08999633789062
2022-09-12,117.26000213623047
2022-09-13,113.58000183105469
2022-09-14,114.81999969482422
2022-09-15,115.16000366210938
2022-09-16,115.72000122070312
2022-09-19,116.16000366210938
2022-09-20,115.25
2022-09-21,112.56999969482422
2022-09-22,110.79000091552734
2022-09-23,110.6500015258789
2022-09-26,109.16000366210938
2022-09-27,107.7699966430664
2022-09-28,108.12000274658203
2022-09-29,107.20999908447266
2022-09-30,106.33999633789062
2022-10-03,109.11000061035156
2022-10-04,111.41000366210938
2022-10-05,112.33000183105469
2022-10-06,110.12000274658203
2022-10-07,108.93000030517578
2022-10-10,107.79000091552734
2022-10-11,105.25
2022-10-12,105.54000091552734
2022-10-13,109.68000030517578
2022-10-14,106.7699966430664
2022-10-17,109.9800033569336
2022-10-18,111.4800033569336
2022-10-19,110.44999694824219
2022-10-20,109.66000366210938
2022-10-21,111.02999877929688
2022-10-24,108.7699966430664
2022-10-25,111.23999786376953
2022-10-26,112.2699966430664
2022-10-27,113.91000366210938
2022-10-28,117.87999725341797
2022-10-31,118.25
2022-11-01,118.1500015258789
2022-11-02,117.37000274658203
2022-11-03,119.5
2022-11-04,121.77999877929688
2022-11-07,122.51000213623047
2022-11-08,122.37999725341797
2022-11-09,122.05000305175781
2022-11-10,124.12999725341797
2022-11-11,123.33000183105469
2022-11-14,122.5999984741211
2022-11-15,123.30999755859375
2022-11-16,123.95999908447266
2022-11-17,122.7699966430664
2022-11-18,124.61000061035156
2022-11-21,124.0199966430664
2022-11-22,124.94000244140625
2022-11-23,125.93000030517578
2022-11-25,126.52999877929688
2022-11-28,126.44999694824219
2022-11-29,126.04000091552734
2022-11-30,128.66000366210938
2022-12-01,129.19000244140625
2022-12-02,129.67999267578125
2022-12-05,130.91000366210938
2022-12-06,130.6199951171875
2022-12-07,128.27000427246094
2022-12-08,129.85000610351562
2022-12-09,127.70999908447266
2022-12-12,129.63999938964844
2022-12-13,130.14999389648438
2022-12-14,131.22000122070312
2022-12-15,130.4499969482422
2022-12-16,129.3699951171875
2022-12-19,128.3800048828125
2022-12-20,128.58999633789062
2022-12-21,128.77999877929688
2022-12-22,128.82000732421875
2022-12-23,128.89999389648438
2022-12-27,129.89999389648438
2022-12-28,129.30999755859375
2022-12-29,129.99000549316406
2022-12-30,128.0800018310547
2023-01-03,126.95999908447266
2023-01-04,128.67999267578125
2023-01-05,127.69999694824219
2023-01-06,130.2899932861328
2023-01-09,129.75999450683594
2023-01-10,129.39999389648438
