Date,BCE
2022-02-28,52.529998779296875
2022-03-01,52.61000061035156
2022-03-02,53.970001220703125
2022-03-03,54.709999084472656
2022-03-04,55.90999984741211
2022-03-07,55.540000915527344
2022-03-08,53.650001525878906
2022-03-09,54.02000045776367
2022-03-10,54.29999923706055
2022-03-11,55.209999084472656
2022-03-14,53.04999923706055
2022-03-15,53.04999923706055
2022-03-16,53.630001068115234
2022-03-17,54.040000915527344
2022-03-18,53.90999984741211
2022-03-21,54.040000915527344
2022-03-22,53.970001220703125
2022-03-23,53.83000183105469
2022-03-24,54.04999923706055
2022-03-25,54.5099983215332
2022-03-28,54.61000061035156
2022-03-29,54.540000915527344
2022-03-30,54.869998931884766
2022-03-31,55.459999084472656
2022-04-01,56.130001068115234
2022-04-04,56.11000061035156
2022-04-05,57.11000061035156
2022-04-06,57.560001373291016
2022-04-07,57.959999084472656
2022-04-08,58.25
2022-04-11,57.90999984741211
2022-04-12,57.650001525878906
2022-04-13,57.970001220703125
2022-04-14,58.20000076293945
2022-04-18,57.939998626708984
2022-04-19,58.040000915527344
2022-04-20,59.02000045776367
2022-04-21,58.15999984741211
2022-04-22,56.88999938964844
2022-04-25,56.2400016784668
2022-04-26,55.15999984741211
2022-04-27,54.79999923706055
2022-04-28,54.7400016784668
2022-04-29,53.16999816894531
2022-05-02,52.939998626708984
2022-05-03,53.459999084472656
2022-05-04,54.5
2022-05-05,53.790000915527344
2022-05-06,53.90999984741211
2022-05-09,53.79999923706055
2022-05-10,52.970001220703125
2022-05-11,52.470001220703125
2022-05-12,52.060001373291016
2022-05-13,52.90999984741211
2022-05-16,53.81999969482422
2022-05-17,53.77000045776367
2022-05-18,53.029998779296875
2022-05-19,52.380001068115234
2022-05-20,52.650001525878906
2022-05-23,53.349998474121094
2022-05-24,53.369998931884766
2022-05-25,53.5099983215332
2022-05-26,53.540000915527344
2022-05-27,54.099998474121094
2022-05-31,54.45000076293945
2022-06-01,54.209999084472656
2022-06-02,54.83000183105469
2022-06-03,54.470001220703125
2022-06-06,54.2599983215332
2022-06-07,55.11000061035156
2022-06-08,54.20000076293945
2022-06-09,53.25
2022-06-10,52.52000045776367
2022-06-13,51.209999084472656
2022-06-14,48.970001220703125
2022-06-15,49.4900016784668
2022-06-16,47.52000045776367
2022-06-17,47.56999969482422
2022-06-21,48.459999084472656
2022-06-22,47.9900016784668
2022-06-23,47.869998931884766
2022-06-24,49.08000183105469
2022-06-27,49.31999969482422
2022-06-28,48.97999954223633
2022-06-29,49.209999084472656
2022-06-30,49.18000030517578
2022-07-01,49.849998474121094
2022-07-05,48.88999938964844
2022-07-06,48.959999084472656
2022-07-07,49.189998626708984
2022-07-08,49.029998779296875
2022-07-11,48.77000045776367
2022-07-12,48.790000915527344
2022-07-13,49.540000915527344
2022-07-14,48.84000015258789
2022-07-15,48.790000915527344
2022-07-18,48.810001373291016
2022-07-19,49.43000030517578
2022-07-20,49.13999938964844
2022-07-21,48.9900016784668
2022-07-22,49.11000061035156
2022-07-25,49.220001220703125
2022-07-26,49.18000030517578
2022-07-27,49.459999084472656
2022-07-28,50.189998626708984
2022-07-29,50.529998779296875
2022-08-01,50.45000076293945
2022-08-02,49.779998779296875
2022-08-03,49.58000183105469
2022-08-04,49.790000915527344
2022-08-05,49.27000045776367
2022-08-08,49.5099983215332
2022-08-09,49.68000030517578
2022-08-10,50.43000030517578
2022-08-11,50.31999969482422
2022-08-12,50.47999954223633
2022-08-15,50.220001220703125
2022-08-16,51.060001373291016
2022-08-17,50.75
2022-08-18,50.56999969482422
2022-08-19,50.810001373291016
2022-08-22,50.18000030517578
2022-08-23,50.310001373291016
2022-08-24,50.11000061035156
2022-08-25,50.380001068115234
2022-08-26,49.59000015258789
2022-08-29,49.68000030517578
2022-08-30,48.79999923706055
2022-08-31,48.20000076293945
2022-09-01,48.22999954223633
2022-09-02,48.380001068115234
2022-09-06,47.720001220703125
2022-09-07,48.20000076293945
2022-09-08,48.06999969482422
2022-09-09,48.90999984741211
2022-09-12,49.5
2022-09-13,47.459999084472656
2022-09-14,46.380001068115234
2022-09-15,46.54999923706055
2022-09-16,46.939998626708984
2022-09-19,47.2400016784668
2022-09-20,46.27000045776367
2022-09-21,45.91999816894531
2022-09-22,46.22999954223633
2022-09-23,45.2400016784668
2022-09-26,44.369998931884766
2022-09-27,44.0099983215332
2022-09-28,44.540000915527344
2022-09-29,42.86000061035156
2022-09-30,41.939998626708984
2022-10-03,44.060001373291016
2022-10-04,45.0
2022-10-05,43.9900016784668
2022-10-06,42.380001068115234
2022-10-07,42.0
2022-10-10,41.529998779296875
2022-10-11,41.459999084472656
2022-10-12,40.77000045776367
2022-10-13,42.79999923706055
2022-10-14,41.83000183105469
2022-10-17,42.90999984741211
2022-10-18,43.400001525878906
2022-10-19,42.959999084472656
2022-10-20,42.54999923706055
2022-10-21,43.20000076293945
2022-10-24,43.29999923706055
2022-10-25,43.93000030517578
2022-10-26,44.380001068115234
2022-10-27,44.77000045776367
2022-10-28,45.470001220703125
2022-10-31,45.099998474121094
2022-11-01,45.189998626708984
2022-11-02,45.040000915527344
2022-11-03,45.11000061035156
2022-11-04,45.86000061035156
2022-11-07,45.66999816894531
2022-11-08,45.75
2022-11-09,45.29999923706055
2022-11-10,46.869998931884766
2022-11-11,47.16999816894531
2022-11-14,47.02000045776367
2022-11-15,46.650001525878906
2022-11-16,46.77000045776367
2022-11-17,46.5099983215332
2022-11-18,47.34000015258789
2022-11-21,47.130001068115234
2022-11-22,47.380001068115234
2022-11-23,47.65999984741211
