Date,CRBG
2022-09-16,20.719999313354492
2022-09-19,21.6200008392334
2022-09-20,21.549999237060547
2022-09-21,21.190000534057617
2022-09-22,20.850000381469727
2022-09-23,20.25
2022-09-26,20.040000915527344
2022-09-27,20.190000534057617
2022-09-28,20.43000030517578
2022-09-29,19.559999465942383
2022-09-30,19.690000534057617
2022-10-03,20.229999542236328
2022-10-04,20.84000015258789
2022-10-05,20.450000762939453
2022-10-06,19.889999389648438
2022-10-07,19.940000534057617
2022-10-10,19.690000534057617
2022-10-11,19.479999542236328
2022-10-12,19.809999465942383
2022-10-13,20.31999969482422
2022-10-14,20.020000457763672
2022-10-17,20.690000534057617
2022-10-18,21.280000686645508
2022-10-19,20.899999618530273
2022-10-20,20.59000015258789
2022-10-21,21.639999389648438
2022-10-24,22.06999969482422
2022-10-25,22.3700008392334
2022-10-26,22.479999542236328
2022-10-27,22.6200008392334
2022-10-28,23.010000228881836
2022-10-31,22.670000076293945
2022-11-01,22.739999771118164
2022-11-02,22.639999389648438
2022-11-03,21.40999984741211
2022-11-04,21.770000457763672
2022-11-07,21.670000076293945
2022-11-08,21.729999542236328
2022-11-09,21.93000030517578
2022-11-10,22.850000381469727
2022-11-11,22.540000915527344
2022-11-14,22.030000686645508
2022-11-15,22.25
2022-11-16,22.139999389648438
2022-11-17,21.829999923706055
2022-11-18,21.93000030517578
2022-11-21,21.920000076293945
2022-11-22,22.149999618530273
2022-11-23,22.40999984741211
2022-11-25,22.389999389648438
2022-11-28,21.579999923706055
2022-11-29,21.709999084472656
2022-11-30,22.239999771118164
2022-12-01,22.200000762939453
2022-12-02,22.059999465942383
2022-12-05,21.219999313354492
2022-12-06,20.65999984741211
2022-12-07,20.100000381469727
2022-12-08,20.010000228881836
2022-12-09,19.84000015258789
2022-12-12,20.3799991607666
2022-12-13,20.40999984741211
2022-12-14,20.34000015258789
2022-12-15,19.68000030517578
2022-12-16,18.8700008392334
2022-12-19,19.40999984741211
2022-12-20,19.700000762939453
2022-12-21,20.540000915527344
2022-12-22,20.09000015258789
2022-12-23,20.270000457763672
2022-12-27,19.959999084472656
2022-12-28,19.829999923706055
2022-12-29,20.209999084472656
2022-12-30,20.059999465942383
2023-01-03,20.139999389648438
2023-01-04,20.68000030517578
2023-01-05,19.969999313354492
2023-01-06,20.09000015258789
2023-01-09,20.440000534057617
2023-01-10,20.350000381469727
2023-01-11,20.889999389648438
2023-01-12,21.100000381469727
2023-01-13,20.889999389648438
2023-01-17,21.239999771118164
2023-01-18,20.350000381469727
2023-01-19,20.219999313354492
2023-01-20,20.739999771118164
2023-01-23,21.190000534057617
2023-01-24,21.399999618530273
2023-01-25,21.5
2023-01-26,21.739999771118164
2023-01-27,21.579999923706055
2023-01-30,21.389999389648438
2023-01-31,21.760000228881836
2023-02-01,21.600000381469727
2023-02-02,21.489999771118164
2023-02-03,21.31999969482422
2023-02-06,21.700000762939453
2023-02-07,22.0
2023-02-08,21.850000381469727
2023-02-09,21.40999984741211
2023-02-10,21.360000610351562
2023-02-13,21.649999618530273
2023-02-14,21.59000015258789
2023-02-15,21.559999465942383
2023-02-16,20.700000762939453
2023-02-17,20.81999969482422
2023-02-21,20.299999237060547
2023-02-22,20.239999771118164
2023-02-23,20.31999969482422
2023-02-24,20.329999923706055
2023-02-27,20.1299991607666
2023-02-28,20.219999313354492
2023-03-01,20.469999313354492
2023-03-02,20.5
2023-03-03,20.729999542236328
2023-03-06,20.579999923706055
2023-03-07,20.040000915527344
2023-03-08,19.649999618530273
2023-03-09,18.600000381469727
2023-03-10,17.8700008392334
2023-03-13,16.84000015258789
2023-03-14,17.239999771118164
2023-03-15,16.389999389648438
2023-03-16,16.559999465942383
2023-03-17,15.630000114440918
2023-03-20,15.800000190734863
