Date,E
2022-02-28,30.969999313354492
2022-03-01,31.520000457763672
2022-03-02,32.4900016784668
2022-03-03,30.799999237060547
2022-03-04,28.719999313354492
2022-03-07,29.1299991607666
2022-03-08,29.739999771118164
2022-03-09,29.729999542236328
2022-03-10,29.25
2022-03-11,28.5
2022-03-14,28.309999465942383
2022-03-15,28.200000762939453
2022-03-16,28.149999618530273
2022-03-17,29.15999984741211
2022-03-18,28.360000610351562
2022-03-21,28.790000915527344
2022-03-22,28.829999923706055
2022-03-23,29.200000762939453
2022-03-24,29.280000686645508
2022-03-25,29.709999084472656
2022-03-28,29.209999084472656
2022-03-29,29.3700008392334
2022-03-30,29.799999237060547
2022-03-31,29.25
2022-04-01,29.68000030517578
2022-04-04,29.670000076293945
2022-04-05,29.270000457763672
2022-04-06,29.049999237060547
2022-04-07,29.209999084472656
2022-04-08,30.0
2022-04-11,29.950000762939453
2022-04-12,29.920000076293945
2022-04-13,30.959999084472656
2022-04-14,30.780000686645508
2022-04-18,30.780000686645508
2022-04-19,30.729999542236328
2022-04-20,30.84000015258789
2022-04-21,29.8700008392334
2022-04-22,29.0
2022-04-25,28.25
2022-04-26,27.440000534057617
2022-04-27,27.3700008392334
2022-04-28,28.06999969482422
2022-04-29,27.809999465942383
2022-05-02,28.030000686645508
2022-05-03,28.600000381469727
2022-05-04,29.219999313354492
2022-05-05,28.489999771118164
2022-05-06,28.979999542236328
2022-05-09,27.489999771118164
2022-05-10,28.06999969482422
2022-05-11,28.170000076293945
2022-05-12,27.920000076293945
2022-05-13,28.5
2022-05-16,28.989999771118164
2022-05-17,29.200000762939453
2022-05-18,28.739999771118164
2022-05-19,29.229999542236328
2022-05-20,29.139999389648438
2022-05-23,29.25
2022-05-24,29.540000915527344
2022-05-25,30.170000076293945
2022-05-26,30.780000686645508
2022-05-27,30.510000228881836
2022-05-31,30.299999237060547
2022-06-01,30.280000686645508
2022-06-02,30.3799991607666
2022-06-03,30.68000030517578
2022-06-06,30.950000762939453
2022-06-07,31.290000915527344
2022-06-08,30.809999465942383
2022-06-09,29.799999237060547
2022-06-10,28.09000015258789
2022-06-13,27.270000457763672
2022-06-14,27.18000030517578
2022-06-15,27.670000076293945
2022-06-16,26.350000381469727
2022-06-17,25.18000030517578
2022-06-21,25.450000762939453
2022-06-22,24.549999237060547
2022-06-23,23.920000076293945
