Date,FNV
2022-02-28,147.1199951171875
2022-03-01,150.02999877929688
2022-03-02,151.24000549316406
2022-03-03,153.49000549316406
2022-03-04,158.24000549316406
2022-03-07,163.6699981689453
2022-03-08,161.85000610351562
2022-03-09,160.7899932861328
2022-03-10,160.42999267578125
2022-03-11,158.0500030517578
2022-03-14,153.4499969482422
2022-03-15,154.60000610351562
2022-03-16,154.25999450683594
2022-03-17,156.5500030517578
2022-03-18,154.60000610351562
2022-03-21,158.0800018310547
2022-03-22,155.94000244140625
2022-03-23,158.58999633789062
2022-03-24,158.57000732421875
2022-03-25,158.08999633789062
2022-03-28,155.64999389648438
2022-03-29,157.1300048828125
2022-03-30,161.61000061035156
2022-03-31,159.52000427246094
2022-04-01,163.6699981689453
2022-04-04,162.80999755859375
2022-04-05,160.6199951171875
2022-04-06,163.80999755859375
2022-04-07,164.3300018310547
2022-04-08,166.36000061035156
2022-04-11,165.77999877929688
2022-04-12,164.8300018310547
2022-04-13,166.74000549316406
2022-04-14,167.05999755859375
2022-04-18,166.77999877929688
2022-04-19,165.1999969482422
2022-04-20,168.00999450683594
2022-04-21,162.55999755859375
2022-04-22,158.5399932861328
2022-04-25,155.6300048828125
2022-04-26,151.47999572753906
2022-04-27,150.32000732421875
2022-04-28,153.08999633789062
2022-04-29,151.16000366210938
2022-05-02,150.39999389648438
2022-05-03,152.19000244140625
2022-05-04,156.08999633789062
2022-05-05,151.72999572753906
2022-05-06,150.5399932861328
2022-05-09,141.52000427246094
2022-05-10,140.74000549316406
2022-05-11,140.0800018310547
2022-05-12,135.22999572753906
2022-05-13,135.67999267578125
2022-05-16,136.41000366210938
2022-05-17,137.02000427246094
2022-05-18,133.47999572753906
2022-05-19,138.92999267578125
2022-05-20,139.02000427246094
2022-05-23,140.0
2022-05-24,141.60000610351562
2022-05-25,140.5500030517578
2022-05-26,140.92999267578125
2022-05-27,142.57000732421875
2022-05-31,142.05999755859375
2022-06-01,142.25
2022-06-02,147.1999969482422
2022-06-03,143.6999969482422
2022-06-06,144.10000610351562
2022-06-07,146.27999877929688
