Date,AER
2022-02-28,54.43000030517578
2022-03-01,52.900001525878906
2022-03-02,54.220001220703125
2022-03-03,51.5099983215332
2022-03-04,47.65999984741211
2022-03-07,43.88999938964844
2022-03-08,48.630001068115234
2022-03-09,49.0099983215332
2022-03-10,49.45000076293945
2022-03-11,51.0
2022-03-14,50.9900016784668
2022-03-15,52.0
2022-03-16,54.130001068115234
2022-03-17,54.7599983215332
2022-03-18,54.58000183105469
2022-03-21,54.220001220703125
2022-03-22,56.540000915527344
2022-03-23,54.630001068115234
2022-03-24,54.52000045776367
2022-03-25,54.2400016784668
2022-03-28,54.5
2022-03-29,56.16999816894531
2022-03-30,51.439998626708984
2022-03-31,50.279998779296875
2022-04-01,50.5
2022-04-04,51.11000061035156
2022-04-05,49.54999923706055
2022-04-06,48.540000915527344
2022-04-07,48.86000061035156
2022-04-08,49.279998779296875
2022-04-11,48.560001373291016
2022-04-12,48.7599983215332
2022-04-13,50.220001220703125
2022-04-14,50.33000183105469
2022-04-18,50.25
2022-04-19,52.7599983215332
2022-04-20,52.95000076293945
2022-04-21,53.0099983215332
2022-04-22,51.310001373291016
2022-04-25,50.150001525878906
2022-04-26,47.540000915527344
2022-04-27,46.9900016784668
2022-04-28,48.2400016784668
2022-04-29,46.709999084472656
2022-05-02,46.68000030517578
2022-05-03,47.45000076293945
2022-05-04,48.58000183105469
2022-05-05,47.36000061035156
2022-05-06,46.2599983215332
2022-05-09,41.790000915527344
2022-05-10,42.93000030517578
2022-05-11,42.970001220703125
2022-05-12,41.86000061035156
2022-05-13,44.689998626708984
2022-05-16,45.38999938964844
2022-05-17,48.20000076293945
2022-05-18,46.08000183105469
2022-05-19,45.7400016784668
2022-05-20,46.79999923706055
2022-05-23,47.689998626708984
2022-05-24,45.84000015258789
2022-05-25,45.869998931884766
2022-05-26,47.7599983215332
2022-05-27,49.0
2022-05-31,49.439998626708984
2022-06-01,48.5099983215332
2022-06-02,49.58000183105469
2022-06-03,49.209999084472656
2022-06-06,49.4900016784668
2022-06-07,50.150001525878906
2022-06-08,48.88999938964844
2022-06-09,46.779998779296875
2022-06-10,44.619998931884766
2022-06-13,40.959999084472656
2022-06-14,39.630001068115234
2022-06-15,40.869998931884766
2022-06-16,37.90999984741211
2022-06-17,39.58000183105469
2022-06-21,40.369998931884766
2022-06-22,39.369998931884766
2022-06-23,38.790000915527344
2022-06-24,40.9900016784668
2022-06-27,40.7599983215332
2022-06-28,40.459999084472656
2022-06-29,40.34000015258789
2022-06-30,40.939998626708984
2022-07-01,41.22999954223633
2022-07-05,39.77000045776367
2022-07-06,37.880001068115234
2022-07-07,39.119998931884766
2022-07-08,39.279998779296875
2022-07-11,38.619998931884766
2022-07-12,40.18000030517578
2022-07-13,39.7599983215332
2022-07-14,38.70000076293945
2022-07-15,40.040000915527344
2022-07-18,41.060001373291016
2022-07-19,42.95000076293945
2022-07-20,43.59000015258789
2022-07-21,44.11000061035156
2022-07-22,42.97999954223633
2022-07-25,43.630001068115234
2022-07-26,43.22999954223633
2022-07-27,44.7400016784668
2022-07-28,44.709999084472656
2022-07-29,44.86000061035156
2022-08-01,44.279998779296875
2022-08-02,43.06999969482422
2022-08-03,44.619998931884766
2022-08-04,44.56999969482422
2022-08-05,45.13999938964844
2022-08-08,45.290000915527344
2022-08-09,45.88999938964844
2022-08-10,47.7599983215332
2022-08-11,48.459999084472656
2022-08-12,50.459999084472656
2022-08-15,50.56999969482422
2022-08-16,50.599998474121094
2022-08-17,48.9900016784668
2022-08-18,48.81999969482422
2022-08-19,47.5
