Date,HUBB
2022-02-28,178.25
2022-03-01,175.97999572753906
2022-03-02,181.35000610351562
2022-03-03,180.72000122070312
2022-03-04,180.8800048828125
2022-03-07,177.57000732421875
2022-03-08,179.22999572753906
2022-03-09,181.3699951171875
2022-03-10,179.89999389648438
2022-03-11,178.24000549316406
2022-03-14,178.8800048828125
2022-03-15,182.3699951171875
2022-03-16,187.6300048828125
2022-03-17,188.22999572753906
2022-03-18,189.5800018310547
2022-03-21,189.94000244140625
2022-03-22,187.0
2022-03-23,180.44000244140625
2022-03-24,182.02000427246094
2022-03-25,186.36000061035156
2022-03-28,187.3000030517578
2022-03-29,191.8300018310547
2022-03-30,190.63999938964844
2022-03-31,183.77000427246094
2022-04-01,185.5500030517578
2022-04-04,185.22999572753906
2022-04-05,181.75
2022-04-06,182.67999267578125
2022-04-07,184.3699951171875
2022-04-08,184.41000366210938
2022-04-11,183.07000732421875
2022-04-12,181.5500030517578
2022-04-13,184.36000061035156
2022-04-14,185.0
2022-04-18,182.2899932861328
2022-04-19,188.6199951171875
2022-04-20,191.0
2022-04-21,194.16000366210938
2022-04-22,191.74000549316406
2022-04-25,189.33999633789062
2022-04-26,195.2899932861328
2022-04-27,196.3300018310547
2022-04-28,203.7100067138672
2022-04-29,195.36000061035156
2022-05-02,194.39999389648438
2022-05-03,195.0800018310547
2022-05-04,200.1999969482422
2022-05-05,196.8800048828125
2022-05-06,196.50999450683594
2022-05-09,196.92999267578125
2022-05-10,191.8800048828125
2022-05-11,189.24000549316406
2022-05-12,194.4499969482422
2022-05-13,194.17999267578125
2022-05-16,192.77000427246094
2022-05-17,195.2100067138672
2022-05-18,189.0
2022-05-19,188.8300018310547
2022-05-20,186.0
2022-05-23,187.44000244140625
2022-05-24,184.2899932861328
2022-05-25,182.9600067138672
2022-05-26,186.7100067138672
2022-05-27,192.4499969482422
2022-05-31,189.86000061035156
2022-06-01,188.7899932861328
2022-06-02,191.77999877929688
2022-06-03,193.4199981689453
2022-06-06,197.9600067138672
2022-06-07,203.6300048828125
2022-06-08,199.42999267578125
2022-06-09,198.82000732421875
2022-06-10,195.47999572753906
2022-06-13,183.8699951171875
2022-06-14,181.30999755859375
2022-06-15,181.6699981689453
2022-06-16,173.0
2022-06-17,171.3300018310547
2022-06-21,174.1199951171875
2022-06-22,173.2899932861328
2022-06-23,174.0
2022-06-24,183.32000732421875
2022-06-27,186.1300048828125
2022-06-28,180.89999389648438
2022-06-29,179.52000427246094
2022-06-30,178.5800018310547
2022-07-01,181.5500030517578
2022-07-05,182.3300018310547
2022-07-06,183.02999877929688
2022-07-07,186.39999389648438
2022-07-08,185.64999389648438
2022-07-11,185.0
2022-07-12,185.02000427246094
2022-07-13,185.57000732421875
2022-07-14,187.16000366210938
2022-07-15,189.7899932861328
2022-07-18,183.0
2022-07-19,191.72999572753906
2022-07-20,192.3800048828125
2022-07-21,195.11000061035156
2022-07-22,193.69000244140625
2022-07-25,195.52999877929688
2022-07-26,204.0800018310547
2022-07-27,209.7100067138672
2022-07-28,217.16000366210938
2022-07-29,219.02000427246094
2022-08-01,214.77000427246094
2022-08-02,212.42999267578125
2022-08-03,214.17999267578125
2022-08-04,214.1699981689453
2022-08-05,213.52000427246094
2022-08-08,214.13999938964844
2022-08-09,213.4499969482422
2022-08-10,218.11000061035156
2022-08-11,219.3000030517578
2022-08-12,222.47000122070312
2022-08-15,220.9199981689453
2022-08-16,220.7899932861328
2022-08-17,221.19000244140625
2022-08-18,223.89999389648438
2022-08-19,224.0800018310547
2022-08-22,220.47999572753906
2022-08-23,218.5800018310547
2022-08-24,217.39999389648438
2022-08-25,220.6300048828125
2022-08-26,210.97000122070312
2022-08-29,211.35000610351562
2022-08-30,206.91000366210938
2022-08-31,206.3000030517578
2022-09-01,208.22000122070312
2022-09-02,206.33999633789062
2022-09-06,208.2899932861328
2022-09-07,214.55999755859375
2022-09-08,219.60000610351562
2022-09-09,224.05999755859375
2022-09-12,225.0399932861328
2022-09-13,219.97999572753906
2022-09-14,219.0399932861328
2022-09-15,220.14999389648438
2022-09-16,219.11000061035156
2022-09-19,227.00999450683594
2022-09-20,223.89999389648438
2022-09-21,227.13999938964844
2022-09-22,222.08999633789062
2022-09-23,220.0
2022-09-26,219.88999938964844
2022-09-27,217.1199951171875
2022-09-28,222.0
2022-09-29,220.3300018310547
2022-09-30,223.0
2022-10-03,227.11000061035156
2022-10-04,236.08999633789062
2022-10-05,237.60000610351562
2022-10-06,235.0
2022-10-07,229.10000610351562
2022-10-10,230.1199951171875
2022-10-11,228.77000427246094
2022-10-12,225.4199981689453
2022-10-13,226.50999450683594
2022-10-14,217.66000366210938
2022-10-17,223.72999572753906
2022-10-18,229.7899932861328
2022-10-19,217.7100067138672
2022-10-20,212.4499969482422
2022-10-21,216.83999633789062
2022-10-24,223.2100067138672
2022-10-25,237.35000610351562
2022-10-26,238.05999755859375
2022-10-27,239.4199981689453
2022-10-28,237.07000732421875
2022-10-31,237.47999572753906
2022-11-01,239.3699951171875
2022-11-02,235.3699951171875
2022-11-03,235.5800018310547
2022-11-04,237.8699951171875
2022-11-07,237.64999389648438
2022-11-08,242.41000366210938
2022-11-09,239.66000366210938
2022-11-10,254.32000732421875
2022-11-11,250.61000061035156
2022-11-14,249.36000061035156
2022-11-15,249.63999938964844
2022-11-16,247.88999938964844
2022-11-17,249.8000030517578
2022-11-18,253.49000549316406
2022-11-21,253.7899932861328
2022-11-22,259.19000244140625
2022-11-23,256.0799865722656
2022-11-25,258.5199890136719
2022-11-28,249.50999450683594
