Date,VMC
2022-02-28,181.4499969482422
2022-03-01,174.44000244140625
2022-03-02,178.25
2022-03-03,177.32000732421875
2022-03-04,177.10000610351562
2022-03-07,170.17999267578125
2022-03-08,170.9499969482422
2022-03-09,176.77000427246094
2022-03-10,175.3800048828125
2022-03-11,175.32000732421875
2022-03-14,177.9199981689453
2022-03-15,182.00999450683594
2022-03-16,181.27999877929688
2022-03-17,183.07000732421875
2022-03-18,183.47000122070312
2022-03-21,182.3300018310547
2022-03-22,182.0500030517578
2022-03-23,177.33999633789062
2022-03-24,180.83999633789062
2022-03-25,184.7100067138672
2022-03-28,187.2899932861328
2022-03-29,191.3300018310547
2022-03-30,187.1199951171875
2022-03-31,183.6999969482422
2022-04-01,184.17999267578125
2022-04-04,183.44000244140625
2022-04-05,182.35000610351562
2022-04-06,179.0
2022-04-07,176.07000732421875
2022-04-08,176.91000366210938
2022-04-11,176.1699981689453
2022-04-12,175.5
2022-04-13,176.47000122070312
2022-04-14,174.77000427246094
2022-04-18,173.99000549316406
2022-04-19,177.2100067138672
2022-04-20,182.6300048828125
2022-04-21,181.3699951171875
2022-04-22,171.0800018310547
2022-04-25,176.00999450683594
2022-04-26,170.5
2022-04-27,172.08999633789062
2022-04-28,177.8800048828125
2022-04-29,172.2899932861328
2022-05-02,172.02000427246094
2022-05-03,176.92999267578125
2022-05-04,185.42999267578125
2022-05-05,177.0800018310547
2022-05-06,169.8800048828125
2022-05-09,162.9499969482422
2022-05-10,161.5399932861328
2022-05-11,158.10000610351562
2022-05-12,165.11000061035156
2022-05-13,168.02000427246094
2022-05-16,160.1300048828125
2022-05-17,164.8800048828125
2022-05-18,160.52999877929688
2022-05-19,160.30999755859375
2022-05-20,160.02999877929688
2022-05-23,163.91000366210938
2022-05-24,161.24000549316406
2022-05-25,160.64999389648438
2022-05-26,164.27999877929688
2022-05-27,169.7100067138672
2022-05-31,164.8699951171875
2022-06-01,164.5399932861328
2022-06-02,168.47999572753906
2022-06-03,165.94000244140625
2022-06-06,166.72999572753906
2022-06-07,169.27000427246094
2022-06-08,163.00999450683594
2022-06-09,161.0800018310547
2022-06-10,156.35000610351562
2022-06-13,152.97000122070312
2022-06-14,151.0399932861328
2022-06-15,151.4499969482422
2022-06-16,144.92999267578125
2022-06-17,144.64999389648438
2022-06-21,144.6699981689453
2022-06-22,143.8300018310547
2022-06-23,141.4499969482422
2022-06-24,145.82000732421875
2022-06-27,145.9600067138672
2022-06-28,143.3699951171875
2022-06-29,143.27999877929688
2022-06-30,142.10000610351562
2022-07-01,142.47000122070312
2022-07-05,144.6300048828125
2022-07-06,145.64999389648438
2022-07-07,147.27999877929688
2022-07-08,146.41000366210938
2022-07-11,148.0800018310547
2022-07-12,148.49000549316406
2022-07-13,146.2899932861328
2022-07-14,147.27000427246094
2022-07-15,148.72000122070312
2022-07-18,148.39999389648438
2022-07-19,152.57000732421875
2022-07-20,154.5800018310547
2022-07-21,156.4600067138672
2022-07-22,155.64999389648438
2022-07-25,156.39999389648438
2022-07-26,156.2100067138672
2022-07-27,160.60000610351562
2022-07-28,162.91000366210938
2022-07-29,165.3300018310547
2022-08-01,164.86000061035156
2022-08-02,163.97999572753906
2022-08-03,166.25
2022-08-04,170.4199981689453
2022-08-05,172.02000427246094
2022-08-08,172.1699981689453
2022-08-09,170.5
2022-08-10,174.52000427246094
2022-08-11,175.61000061035156
2022-08-12,178.22999572753906
2022-08-15,177.91000366210938
2022-08-16,178.38999938964844
2022-08-17,178.2100067138672
2022-08-18,177.7899932861328
2022-08-19,175.66000366210938
2022-08-22,172.1699981689453
2022-08-23,171.14999389648438
2022-08-24,171.13999938964844
2022-08-25,174.8800048828125
2022-08-26,169.11000061035156
2022-08-29,169.24000549316406
2022-08-30,166.77000427246094
2022-08-31,166.49000549316406
2022-09-01,166.22000122070312
2022-09-02,164.9499969482422
2022-09-06,164.41000366210938
2022-09-07,170.02999877929688
2022-09-08,170.8300018310547
2022-09-09,171.80999755859375
2022-09-12,171.3000030517578
2022-09-13,163.66000366210938
2022-09-14,160.22000122070312
2022-09-15,162.22000122070312
2022-09-16,159.39999389648438
2022-09-19,162.97000122070312
2022-09-20,162.19000244140625
2022-09-21,160.47000122070312
2022-09-22,158.9600067138672
2022-09-23,155.6300048828125
2022-09-26,153.9499969482422
2022-09-27,152.33999633789062
2022-09-28,156.14999389648438
2022-09-29,157.77999877929688
2022-09-30,157.7100067138672
2022-10-03,160.39999389648438
2022-10-04,163.9600067138672
2022-10-05,164.11000061035156
2022-10-06,162.1999969482422
2022-10-07,157.49000549316406
2022-10-10,158.17999267578125
2022-10-11,156.27000427246094
2022-10-12,154.07000732421875
2022-10-13,155.27000427246094
2022-10-14,148.44000244140625
2022-10-17,154.02999877929688
2022-10-18,158.77999877929688
2022-10-19,154.77000427246094
2022-10-20,149.16000366210938
2022-10-21,155.42999267578125
2022-10-24,155.9199981689453
2022-10-25,162.27999877929688
2022-10-26,161.41000366210938
2022-10-27,162.05999755859375
2022-10-28,165.69000244140625
2022-10-31,163.6999969482422
2022-11-01,164.7899932861328
2022-11-02,162.91000366210938
2022-11-03,169.0399932861328
2022-11-04,170.14999389648438
2022-11-07,172.16000366210938
2022-11-08,172.5
2022-11-09,168.94000244140625
2022-11-10,180.07000732421875
2022-11-11,178.9600067138672
2022-11-14,175.16000366210938
2022-11-15,175.89999389648438
2022-11-16,176.7899932861328
2022-11-17,175.74000549316406
2022-11-18,178.88999938964844
2022-11-21,178.55999755859375
2022-11-22,182.27999877929688
2022-11-23,182.27999877929688
2022-11-25,183.33999633789062
2022-11-28,179.67999267578125
2022-11-29,178.4499969482422
2022-11-30,183.3300018310547
2022-12-01,183.8300018310547
2022-12-02,184.49000549316406
2022-12-05,179.0
2022-12-06,177.9499969482422
2022-12-07,179.10000610351562
2022-12-08,182.80999755859375
2022-12-09,182.4499969482422
2022-12-12,184.13999938964844
2022-12-13,185.92999267578125
2022-12-14,184.60000610351562
2022-12-15,179.27999877929688
2022-12-16,177.1699981689453
2022-12-19,175.4199981689453
2022-12-20,176.5800018310547
2022-12-21,175.9600067138672
2022-12-22,174.02999877929688
2022-12-23,175.1999969482422
2022-12-27,175.67999267578125
