Date,NSC
2022-02-28,256.5199890136719
2022-03-01,255.07000732421875
2022-03-02,269.2200012207031
2022-03-03,272.0
2022-03-04,284.57000732421875
2022-03-07,278.30999755859375
2022-03-08,265.6700134277344
2022-03-09,263.7900085449219
2022-03-10,269.8500061035156
2022-03-11,267.3399963378906
2022-03-14,266.0899963378906
2022-03-15,268.05999755859375
2022-03-16,273.32000732421875
2022-03-17,274.3900146484375
2022-03-18,274.8299865722656
2022-03-21,278.1499938964844
2022-03-22,278.95001220703125
2022-03-23,277.2300109863281
2022-03-24,279.54998779296875
2022-03-25,283.3599853515625
2022-03-28,284.6199951171875
2022-03-29,285.6600036621094
2022-03-30,289.1499938964844
2022-03-31,285.2200012207031
2022-04-01,265.8399963378906
2022-04-04,266.8999938964844
2022-04-05,262.25
2022-04-06,256.92999267578125
2022-04-07,258.6600036621094
2022-04-08,258.1499938964844
2022-04-11,255.80999755859375
2022-04-12,258.7200012207031
2022-04-13,260.92999267578125
2022-04-14,263.05999755859375
2022-04-18,262.510009765625
2022-04-19,264.8599853515625
2022-04-20,267.9100036621094
2022-04-21,269.82000732421875
2022-04-22,258.5899963378906
2022-04-25,259.739990234375
2022-04-26,254.63999938964844
2022-04-27,262.5299987792969
2022-04-28,265.8500061035156
2022-04-29,257.8800048828125
2022-05-02,256.6099853515625
2022-05-03,256.0799865722656
2022-05-04,264.6700134277344
2022-05-05,256.8699951171875
2022-05-06,255.74000549316406
2022-05-09,249.5
2022-05-10,245.75
2022-05-11,246.5399932861328
2022-05-12,246.05999755859375
2022-05-13,249.32000732421875
2022-05-16,247.10000610351562
2022-05-17,251.6999969482422
2022-05-18,237.57000732421875
2022-05-19,228.02999877929688
2022-05-20,228.86000061035156
2022-05-23,232.7899932861328
2022-05-24,232.30999755859375
2022-05-25,232.61000061035156
2022-05-26,236.6999969482422
2022-05-27,241.02999877929688
2022-05-31,239.66000366210938
2022-06-01,241.94000244140625
2022-06-02,246.80999755859375
2022-06-03,244.66000366210938
2022-06-06,244.67999267578125
2022-06-07,249.39999389648438
2022-06-08,242.80999755859375
2022-06-09,237.4499969482422
2022-06-10,229.36000061035156
2022-06-13,223.07000732421875
2022-06-14,222.80999755859375
2022-06-15,224.5
2022-06-16,222.7899932861328
2022-06-17,221.47000122070312
2022-06-21,224.1999969482422
2022-06-22,224.13999938964844
2022-06-23,221.69000244140625
2022-06-24,230.42999267578125
2022-06-27,227.72999572753906
2022-06-28,226.38999938964844
2022-06-29,227.1300048828125
2022-06-30,227.2899932861328
2022-07-01,228.5500030517578
2022-07-05,224.17999267578125
2022-07-06,225.74000549316406
2022-07-07,228.75
2022-07-08,226.1999969482422
2022-07-11,225.57000732421875
2022-07-12,222.36000061035156
2022-07-13,221.47000122070312
2022-07-14,221.6999969482422
2022-07-15,227.88999938964844
2022-07-18,229.05999755859375
2022-07-19,236.19000244140625
2022-07-20,237.8699951171875
2022-07-21,242.11000061035156
2022-07-22,243.10000610351562
2022-07-25,246.89999389648438
2022-07-26,244.61000061035156
2022-07-27,243.24000549316406
2022-07-28,244.8300018310547
2022-07-29,251.1699981689453
2022-08-01,253.00999450683594
2022-08-02,248.02000427246094
2022-08-03,250.3000030517578
2022-08-04,250.92999267578125
2022-08-05,251.02000427246094
2022-08-08,249.74000549316406
2022-08-09,249.33999633789062
2022-08-10,257.57000732421875
2022-08-11,260.2099914550781
2022-08-12,261.8399963378906
2022-08-15,257.05999755859375
2022-08-16,257.6099853515625
2022-08-17,257.79998779296875
2022-08-18,258.6000061035156
2022-08-19,255.75
2022-08-22,256.9100036621094
2022-08-23,258.29998779296875
2022-08-24,259.82000732421875
2022-08-25,262.989990234375
2022-08-26,252.99000549316406
2022-08-29,251.85000610351562
2022-08-30,244.77000427246094
2022-08-31,243.1300048828125
2022-09-01,241.1300048828125
2022-09-02,239.25999450683594
2022-09-06,239.91000366210938
2022-09-07,243.22000122070312
2022-09-08,245.92999267578125
2022-09-09,249.85000610351562
2022-09-12,250.5800018310547
2022-09-13,243.3000030517578
2022-09-14,238.0399932861328
2022-09-15,238.86000061035156
2022-09-16,233.97999572753906
2022-09-19,236.08999633789062
2022-09-20,229.58999633789062
2022-09-21,227.88999938964844
2022-09-22,224.7100067138672
2022-09-23,217.64999389648438
2022-09-26,214.75999450683594
2022-09-27,213.83999633789062
2022-09-28,216.72000122070312
2022-09-29,214.5500030517578
2022-09-30,209.64999389648438
2022-10-03,216.8000030517578
2022-10-04,223.1699981689453
2022-10-05,221.02000427246094
2022-10-06,218.92999267578125
2022-10-07,214.57000732421875
2022-10-10,212.24000549316406
2022-10-11,212.7899932861328
2022-10-12,211.32000732421875
2022-10-13,215.61000061035156
2022-10-14,213.49000549316406
2022-10-17,219.10000610351562
2022-10-18,222.33999633789062
2022-10-19,217.6199951171875
2022-10-20,204.8699951171875
2022-10-21,208.0399932861328
2022-10-24,213.22999572753906
2022-10-25,215.77000427246094
2022-10-26,222.1199951171875
2022-10-27,223.58999633789062
2022-10-28,229.13999938964844
2022-10-31,228.07000732421875
2022-11-01,229.99000549316406
2022-11-02,225.39999389648438
2022-11-03,227.2100067138672
2022-11-04,233.8000030517578
2022-11-07,235.6300048828125
2022-11-08,236.32000732421875
2022-11-09,230.5399932861328
2022-11-10,242.97999572753906
2022-11-11,250.91000366210938
2022-11-14,251.67999267578125
2022-11-15,248.13999938964844
2022-11-16,249.72000122070312
2022-11-17,245.55999755859375
2022-11-18,246.75999450683594
2022-11-21,249.25999450683594
2022-11-22,251.10000610351562
2022-11-23,251.11000061035156
