Date,DOW
2022-02-28,58.959999084472656
2022-03-01,57.130001068115234
2022-03-02,59.20000076293945
2022-03-03,59.66999816894531
2022-03-04,58.83000183105469
2022-03-07,57.97999954223633
2022-03-08,57.84000015258789
2022-03-09,59.79999923706055
2022-03-10,60.630001068115234
2022-03-11,60.90999984741211
2022-03-14,60.279998779296875
2022-03-15,58.869998931884766
2022-03-16,59.63999938964844
2022-03-17,62.84000015258789
2022-03-18,62.38999938964844
2022-03-21,63.34000015258789
2022-03-22,63.54999923706055
2022-03-23,63.29999923706055
2022-03-24,64.08999633789062
2022-03-25,64.69999694824219
2022-03-28,64.11000061035156
2022-03-29,64.19000244140625
2022-03-30,64.26000213623047
2022-03-31,63.720001220703125
2022-04-01,64.18000030517578
2022-04-04,64.01000213623047
2022-04-05,63.4900016784668
2022-04-06,61.66999816894531
2022-04-07,61.25
2022-04-08,61.68000030517578
2022-04-11,61.95000076293945
2022-04-12,63.2599983215332
2022-04-13,64.16000366210938
2022-04-14,65.48999786376953
2022-04-18,65.87999725341797
2022-04-19,67.05000305175781
2022-04-20,67.54000091552734
2022-04-21,69.51000213623047
2022-04-22,68.5
2022-04-25,68.06999969482422
2022-04-26,67.37000274658203
2022-04-27,67.44999694824219
2022-04-28,67.80999755859375
2022-04-29,66.5
2022-05-02,67.05999755859375
2022-05-03,68.1500015258789
2022-05-04,70.61000061035156
2022-05-05,68.47000122070312
2022-05-06,67.93000030517578
2022-05-09,66.62999725341797
2022-05-10,65.80999755859375
2022-05-11,66.79000091552734
2022-05-12,67.04000091552734
2022-05-13,67.55999755859375
2022-05-16,67.9800033569336
2022-05-17,69.97000122070312
2022-05-18,68.91000366210938
2022-05-19,68.76000213623047
2022-05-20,68.11000061035156
2022-05-23,67.48999786376953
2022-05-24,67.06999969482422
2022-05-25,67.30000305175781
2022-05-26,67.83999633789062
2022-05-27,69.05999755859375
2022-05-31,67.9800033569336
2022-06-01,68.11000061035156
2022-06-02,68.0999984741211
2022-06-03,67.02999877929688
2022-06-06,67.06999969482422
2022-06-07,67.37000274658203
2022-06-08,67.23999786376953
2022-06-09,65.86000061035156
2022-06-10,61.869998931884766
2022-06-13,58.68000030517578
2022-06-14,58.560001373291016
2022-06-15,57.40999984741211
2022-06-16,55.41999816894531
2022-06-17,54.77000045776367
2022-06-21,54.95000076293945
2022-06-22,52.34000015258789
2022-06-23,51.060001373291016
2022-06-24,53.13999938964844
2022-06-27,52.220001220703125
2022-06-28,52.529998779296875
2022-06-29,51.97999954223633
2022-06-30,51.61000061035156
2022-07-01,51.689998626708984
2022-07-05,50.72999954223633
2022-07-06,51.18000030517578
2022-07-07,52.279998779296875
2022-07-08,51.380001068115234
