Date,BAH
2022-02-28,80.69000244140625
2022-03-01,82.4800033569336
2022-03-02,81.61000061035156
2022-03-03,82.63999938964844
2022-03-04,86.33000183105469
2022-03-07,86.94000244140625
2022-03-08,83.37000274658203
2022-03-09,83.5
2022-03-10,83.81999969482422
2022-03-11,83.31999969482422
2022-03-14,83.48999786376953
2022-03-15,84.94999694824219
2022-03-16,83.83999633789062
2022-03-17,85.30000305175781
2022-03-18,86.68000030517578
2022-03-21,85.44999694824219
2022-03-22,85.62999725341797
2022-03-23,85.91000366210938
2022-03-24,87.13999938964844
2022-03-25,87.94000244140625
2022-03-28,88.68000030517578
2022-03-29,86.69000244140625
2022-03-30,89.41000366210938
2022-03-31,87.83999633789062
2022-04-01,89.30999755859375
2022-04-04,88.26000213623047
2022-04-05,87.79000091552734
2022-04-06,88.51000213623047
2022-04-07,89.36000061035156
2022-04-08,88.8499984741211
2022-04-11,88.4000015258789
2022-04-12,87.56999969482422
2022-04-13,88.06999969482422
2022-04-14,87.77999877929688
2022-04-18,87.01000213623047
2022-04-19,87.37999725341797
2022-04-20,89.8499984741211
2022-04-21,89.9000015258789
2022-04-22,88.0199966430664
2022-04-25,87.37000274658203
2022-04-26,85.72000122070312
2022-04-27,84.80999755859375
2022-04-28,83.45999908447266
2022-04-29,81.62999725341797
2022-05-02,82.44999694824219
2022-05-03,83.23999786376953
2022-05-04,86.66999816894531
2022-05-05,85.41999816894531
2022-05-06,84.33999633789062
2022-05-09,81.4000015258789
2022-05-10,81.68000030517578
2022-05-11,79.93000030517578
2022-05-12,79.62000274658203
2022-05-13,80.52999877929688
2022-05-16,82.20999908447266
2022-05-17,83.37999725341797
2022-05-18,79.72000122070312
2022-05-19,80.83999633789062
2022-05-20,78.83999633789062
2022-05-23,81.08000183105469
2022-05-24,84.86000061035156
2022-05-25,84.62999725341797
2022-05-26,86.44999694824219
2022-05-27,86.86000061035156
2022-05-31,85.86000061035156
2022-06-01,85.27999877929688
2022-06-02,87.47000122070312
2022-06-03,87.20999908447266
2022-06-06,88.02999877929688
2022-06-07,88.79000091552734
2022-06-08,86.93000030517578
2022-06-09,86.13999938964844
2022-06-10,84.91000366210938
2022-06-13,83.30000305175781
2022-06-14,82.0199966430664
2022-06-15,83.19000244140625
2022-06-16,80.68000030517578
2022-06-17,81.12999725341797
2022-06-21,84.26000213623047
2022-06-22,84.66000366210938
2022-06-23,84.9800033569336
2022-06-24,89.54000091552734
2022-06-27,88.70999908447266
2022-06-28,87.58000183105469
2022-06-29,88.52999877929688
2022-06-30,90.36000061035156
2022-07-01,92.83999633789062
2022-07-05,90.12000274658203
2022-07-06,91.91000366210938
2022-07-07,92.38999938964844
2022-07-08,92.54000091552734
2022-07-11,91.93000030517578
2022-07-12,90.44000244140625
2022-07-13,89.97000122070312
2022-07-14,90.22000122070312
2022-07-15,90.30000305175781
2022-07-18,90.04000091552734
2022-07-19,92.66999816894531
2022-07-20,93.04000091552734
2022-07-21,93.2699966430664
2022-07-22,94.2699966430664
2022-07-25,95.05999755859375
2022-07-26,95.1500015258789
2022-07-27,94.20999908447266
2022-07-28,95.63999938964844
2022-07-29,95.9800033569336
2022-08-01,95.80000305175781
2022-08-02,96.05999755859375
2022-08-03,96.20999908447266
2022-08-04,95.02999877929688
2022-08-05,95.02999877929688
2022-08-08,94.41000366210938
