Date,HDB
2022-02-28,62.16999816894531
2022-03-01,60.369998931884766
2022-03-02,61.22999954223633
2022-03-03,59.5099983215332
2022-03-04,57.2400016784668
2022-03-07,54.47999954223633
2022-03-08,55.25
2022-03-09,59.099998474121094
2022-03-10,57.33000183105469
2022-03-11,56.869998931884766
2022-03-14,59.15999984741211
2022-03-15,60.11000061035156
2022-03-16,61.63999938964844
2022-03-17,61.869998931884766
2022-03-18,62.880001068115234
2022-03-21,61.849998474121094
2022-03-22,62.459999084472656
2022-03-23,60.38999938964844
2022-03-24,60.79999923706055
2022-03-25,60.279998779296875
2022-03-28,60.27000045776367
2022-03-29,61.81999969482422
2022-03-30,61.22999954223633
2022-03-31,61.33000183105469
2022-04-01,62.91999816894531
2022-04-04,67.66999816894531
2022-04-05,64.75
2022-04-06,62.88999938964844
2022-04-07,62.650001525878906
2022-04-08,63.119998931884766
2022-04-11,62.0
2022-04-12,60.400001525878906
2022-04-13,59.79999923706055
2022-04-14,58.90999984741211
2022-04-18,54.25
2022-04-19,54.56999969482422
2022-04-20,55.849998474121094
2022-04-21,55.439998626708984
2022-04-22,55.09000015258789
2022-04-25,56.2400016784668
2022-04-26,55.56999969482422
2022-04-27,56.09000015258789
2022-04-28,56.2599983215332
2022-04-29,55.209999084472656
2022-05-02,55.529998779296875
2022-05-03,55.88999938964844
2022-05-04,55.25
2022-05-05,53.400001525878906
2022-05-06,52.040000915527344
2022-05-09,50.70000076293945
2022-05-10,53.72999954223633
2022-05-11,53.349998474121094
2022-05-12,52.79999923706055
2022-05-13,53.119998931884766
2022-05-16,53.0
2022-05-17,54.439998626708984
2022-05-18,52.900001525878906
2022-05-19,52.63999938964844
2022-05-20,53.79999923706055
2022-05-23,53.63999938964844
2022-05-24,54.25
2022-05-25,56.349998474121094
2022-05-26,56.880001068115234
2022-05-27,58.939998626708984
2022-05-31,57.56999969482422
2022-06-01,58.310001373291016
2022-06-02,58.90999984741211
2022-06-03,58.34000015258789
2022-06-06,58.310001373291016
2022-06-07,58.43000030517578
2022-06-08,58.68000030517578
2022-06-09,58.0
2022-06-10,55.369998931884766
2022-06-13,52.650001525878906
2022-06-14,52.689998626708984
2022-06-15,52.84000015258789
2022-06-16,51.290000915527344
2022-06-17,53.47999954223633
2022-06-21,55.97999954223633
2022-06-22,55.650001525878906
2022-06-23,56.56999969482422
2022-06-24,57.810001373291016
2022-06-27,56.84000015258789
2022-06-28,55.15999984741211
2022-06-29,55.560001373291016
2022-06-30,54.959999084472656
2022-07-01,55.5099983215332
2022-07-05,55.810001373291016
2022-07-06,57.130001068115234
2022-07-07,59.470001220703125
2022-07-08,59.7599983215332
2022-07-11,59.29999923706055
2022-07-12,58.66999816894531
2022-07-13,57.25
2022-07-14,57.02000045776367
2022-07-15,58.0
2022-07-18,56.36000061035156
2022-07-19,57.18000030517578
2022-07-20,57.599998474121094
2022-07-21,58.27000045776367
2022-07-22,58.61000061035156
2022-07-25,59.150001525878906
2022-07-26,58.61000061035156
2022-07-27,59.95000076293945
2022-07-28,62.08000183105469
2022-07-29,62.79999923706055
