Date,WCN
2022-02-28,123.48999786376953
2022-03-01,125.80999755859375
2022-03-02,128.63999938964844
2022-03-03,130.7899932861328
2022-03-04,134.8300018310547
2022-03-07,133.75
2022-03-08,129.16000366210938
2022-03-09,132.1300048828125
2022-03-10,133.67999267578125
2022-03-11,134.22000122070312
2022-03-14,134.63999938964844
2022-03-15,135.92999267578125
2022-03-16,135.6300048828125
2022-03-17,137.75
2022-03-18,138.10000610351562
2022-03-21,137.1699981689453
2022-03-22,135.25999450683594
2022-03-23,134.41000366210938
2022-03-24,133.75
2022-03-25,134.8800048828125
2022-03-28,137.36000061035156
2022-03-29,138.3300018310547
2022-03-30,139.69000244140625
2022-03-31,139.6999969482422
2022-04-01,139.72999572753906
2022-04-04,140.4600067138672
2022-04-05,140.5800018310547
2022-04-06,141.75
2022-04-07,144.3000030517578
2022-04-08,144.88999938964844
2022-04-11,143.69000244140625
2022-04-12,141.58999633789062
2022-04-13,139.8000030517578
2022-04-14,139.0800018310547
2022-04-18,138.36000061035156
2022-04-19,138.3699951171875
2022-04-20,139.97000122070312
2022-04-21,139.3699951171875
2022-04-22,137.02000427246094
2022-04-25,136.25
2022-04-26,137.5
2022-04-27,139.9499969482422
2022-04-28,141.41000366210938
2022-04-29,137.97000122070312
2022-05-02,134.5399932861328
2022-05-03,133.9499969482422
2022-05-04,131.11000061035156
2022-05-05,127.4000015258789
2022-05-06,126.75
2022-05-09,122.91999816894531
2022-05-10,123.36000061035156
2022-05-11,122.66999816894531
2022-05-12,122.79000091552734
2022-05-13,125.93000030517578
2022-05-16,126.86000061035156
2022-05-17,127.37000274658203
2022-05-18,123.3499984741211
2022-05-19,122.33999633789062
2022-05-20,124.58000183105469
2022-05-23,125.86000061035156
2022-05-24,126.55000305175781
2022-05-25,125.16999816894531
2022-05-26,126.3499984741211
2022-05-27,128.49000549316406
2022-05-31,127.54000091552734
2022-06-01,127.41000366210938
2022-06-02,130.24000549316406
2022-06-03,129.16000366210938
2022-06-06,129.02999877929688
2022-06-07,130.92999267578125
2022-06-08,128.72999572753906
2022-06-09,124.55999755859375
2022-06-10,123.55000305175781
2022-06-13,119.45999908447266
2022-06-14,117.36000061035156
2022-06-15,118.19000244140625
2022-06-16,115.0
2022-06-17,114.80000305175781
2022-06-21,117.25
2022-06-22,118.41000366210938
2022-06-23,120.51000213623047
2022-06-24,122.7300033569336
2022-06-27,123.11000061035156
2022-06-28,121.62000274658203
2022-06-29,124.62000274658203
2022-06-30,123.95999908447266
2022-07-01,125.31999969482422
2022-07-05,124.62000274658203
2022-07-06,126.25
2022-07-07,126.05999755859375
2022-07-08,125.51000213623047
2022-07-11,125.12000274658203
2022-07-12,122.43000030517578
2022-07-13,123.12999725341797
2022-07-14,124.22000122070312
2022-07-15,124.44000244140625
2022-07-18,122.80000305175781
2022-07-19,125.30000305175781
2022-07-20,125.20999908447266
2022-07-21,127.58999633789062
2022-07-22,126.26000213623047
2022-07-25,127.37999725341797
2022-07-26,126.3499984741211
2022-07-27,128.19000244140625
2022-07-28,130.9499969482422
2022-07-29,133.3699951171875
2022-08-01,132.14999389648438
2022-08-02,131.14999389648438
2022-08-03,135.72999572753906
2022-08-04,139.2899932861328
2022-08-05,138.3300018310547
2022-08-08,139.49000549316406
2022-08-09,139.72999572753906
2022-08-10,140.0
2022-08-11,138.97000122070312
2022-08-12,141.55999755859375
2022-08-15,141.6999969482422
2022-08-16,143.7100067138672
2022-08-17,143.9199981689453
2022-08-18,142.38999938964844
2022-08-19,141.8699951171875
2022-08-22,141.55999755859375
2022-08-23,140.92999267578125
2022-08-24,141.41000366210938
2022-08-25,142.38999938964844
2022-08-26,139.63999938964844
2022-08-29,140.7899932861328
2022-08-30,139.4600067138672
2022-08-31,139.17999267578125
2022-09-01,139.4199981689453
2022-09-02,140.5500030517578
2022-09-06,141.3000030517578
2022-09-07,144.4600067138672
2022-09-08,145.57000732421875
2022-09-09,146.39999389648438
2022-09-12,148.0
2022-09-13,146.22000122070312
2022-09-14,146.67999267578125
2022-09-15,145.8300018310547
2022-09-16,144.80999755859375
2022-09-19,145.67999267578125
2022-09-20,144.00999450683594
2022-09-21,142.75999450683594
2022-09-22,141.05999755859375
2022-09-23,139.72000122070312
2022-09-26,139.42999267578125
2022-09-27,137.67999267578125
2022-09-28,139.05999755859375
2022-09-29,137.02999877929688
2022-09-30,135.1300048828125
2022-10-03,138.02000427246094
2022-10-04,142.6699981689453
2022-10-05,141.80999755859375
2022-10-06,134.72000122070312
2022-10-07,129.97000122070312
2022-10-10,129.1699981689453
2022-10-11,129.47000122070312
2022-10-12,127.37000274658203
2022-10-13,128.7899932861328
2022-10-14,124.54000091552734
2022-10-17,128.1300048828125
2022-10-18,130.47999572753906
2022-10-19,132.1300048828125
2022-10-20,129.67999267578125
2022-10-21,130.63999938964844
2022-10-24,131.91000366210938
2022-10-25,132.5800018310547
2022-10-26,132.1699981689453
2022-10-27,133.52999877929688
2022-10-28,132.8300018310547
2022-10-31,131.91000366210938
2022-11-01,130.89999389648438
2022-11-02,129.9600067138672
2022-11-03,138.5
2022-11-04,136.4499969482422
2022-11-07,139.38999938964844
2022-11-08,139.35000610351562
2022-11-09,137.6699981689453
2022-11-10,139.61000061035156
2022-11-11,136.25
2022-11-14,135.13999938964844
2022-11-15,136.11000061035156
2022-11-16,138.38999938964844
2022-11-17,138.77000427246094
2022-11-18,140.1999969482422
2022-11-21,140.6199951171875
2022-11-22,141.80999755859375
2022-11-23,141.97999572753906
2022-11-25,142.1699981689453
