Date,IQV
2022-02-28,230.1199951171875
2022-03-01,227.8300018310547
2022-03-02,232.3699951171875
2022-03-03,233.3699951171875
2022-03-04,227.0
2022-03-07,216.66000366210938
2022-03-08,210.55999755859375
2022-03-09,219.2100067138672
2022-03-10,216.94000244140625
2022-03-11,213.61000061035156
2022-03-14,211.08999633789062
2022-03-15,215.00999450683594
2022-03-16,220.27000427246094
2022-03-17,223.24000549316406
2022-03-18,227.66000366210938
2022-03-21,226.97000122070312
2022-03-22,228.92999267578125
2022-03-23,220.30999755859375
2022-03-24,224.6199951171875
2022-03-25,224.75999450683594
2022-03-28,226.69000244140625
2022-03-29,233.58999633789062
2022-03-30,231.32000732421875
2022-03-31,231.2100067138672
2022-04-01,240.30999755859375
2022-04-04,238.5
2022-04-05,238.36000061035156
2022-04-06,240.3000030517578
2022-04-07,249.27999877929688
2022-04-08,252.2899932861328
2022-04-11,242.97999572753906
2022-04-12,237.6699981689453
2022-04-13,239.30999755859375
2022-04-14,238.47999572753906
2022-04-18,234.38999938964844
2022-04-19,237.8699951171875
2022-04-20,242.77000427246094
2022-04-21,236.1699981689453
2022-04-22,228.16000366210938
2022-04-25,219.86000061035156
2022-04-26,206.72999572753906
2022-04-27,210.24000549316406
2022-04-28,219.39999389648438
2022-04-29,217.99000549316406
2022-05-02,217.05999755859375
2022-05-03,215.1999969482422
2022-05-04,222.7899932861328
2022-05-05,215.32000732421875
2022-05-06,213.82000732421875
2022-05-09,204.07000732421875
2022-05-10,203.2100067138672
2022-05-11,200.9600067138672
2022-05-12,202.52999877929688
2022-05-13,208.7100067138672
2022-05-16,206.4499969482422
2022-05-17,206.69000244140625
2022-05-18,197.25999450683594
2022-05-19,201.74000549316406
2022-05-20,201.8300018310547
2022-05-23,203.38999938964844
2022-05-24,201.99000549316406
2022-05-25,203.33999633789062
2022-05-26,207.72999572753906
2022-05-27,220.5
2022-05-31,215.25
2022-06-01,210.11000061035156
2022-06-02,220.05999755859375
2022-06-03,219.44000244140625
2022-06-06,220.7899932861328
2022-06-07,225.22999572753906
2022-06-08,220.7100067138672
2022-06-09,216.64999389648438
2022-06-10,207.3699951171875
2022-06-13,200.3000030517578
2022-06-14,200.8800048828125
2022-06-15,202.1300048828125
2022-06-16,196.4499969482422
2022-06-17,196.9499969482422
2022-06-21,198.77000427246094
2022-06-22,201.74000549316406
2022-06-23,211.5399932861328
2022-06-24,213.8000030517578
2022-06-27,216.50999450683594
2022-06-28,212.2100067138672
2022-06-29,214.11000061035156
2022-06-30,216.99000549316406
2022-07-01,215.0500030517578
2022-07-05,215.30999755859375
2022-07-06,216.0
2022-07-07,218.85000610351562
