Date,JNJ
2022-02-28,164.57000732421875
2022-03-01,164.0
2022-03-02,166.0399932861328
2022-03-03,168.47999572753906
2022-03-04,169.47999572753906
2022-03-07,172.2100067138672
2022-03-08,168.72000122070312
2022-03-09,169.36000061035156
2022-03-10,169.66000366210938
2022-03-11,169.35000610351562
2022-03-14,171.69000244140625
2022-03-15,176.13999938964844
2022-03-16,174.52000427246094
2022-03-17,176.8000030517578
2022-03-18,174.83999633789062
2022-03-21,175.8300018310547
2022-03-22,175.0
2022-03-23,174.33999633789062
2022-03-24,175.24000549316406
2022-03-25,176.9199981689453
2022-03-28,177.8300018310547
2022-03-29,177.74000549316406
2022-03-30,179.58999633789062
2022-03-31,177.22999572753906
2022-04-01,178.19000244140625
2022-04-04,176.47000122070312
2022-04-05,177.61000061035156
2022-04-06,182.22999572753906
2022-04-07,181.75999450683594
2022-04-08,182.1199951171875
2022-04-11,179.83999633789062
2022-04-12,179.89999389648438
2022-04-13,180.66000366210938
2022-04-14,179.89999389648438
2022-04-18,177.66000366210938
2022-04-19,183.0800018310547
2022-04-20,183.88999938964844
2022-04-21,183.36000061035156
2022-04-22,181.5399932861328
2022-04-25,186.00999450683594
2022-04-26,184.67999267578125
2022-04-27,182.10000610351562
2022-04-28,183.4600067138672
2022-04-29,180.4600067138672
2022-05-02,178.63999938964844
2022-05-03,178.2899932861328
2022-05-04,180.1999969482422
2022-05-05,176.75999450683594
2022-05-06,176.3699951171875
2022-05-09,177.3300018310547
2022-05-10,177.08999633789062
2022-05-11,176.1300048828125
2022-05-12,177.8699951171875
2022-05-13,176.85000610351562
2022-05-16,178.0800018310547
2022-05-17,178.82000732421875
2022-05-18,175.5
2022-05-19,173.94000244140625
2022-05-20,176.97999572753906
2022-05-23,179.44000244140625
2022-05-24,181.39999389648438
2022-05-25,179.6199951171875
2022-05-26,179.4600067138672
2022-05-27,181.08999633789062
2022-05-31,179.52999877929688
2022-06-01,177.7100067138672
2022-06-02,177.14999389648438
2022-06-03,176.4199981689453
2022-06-06,176.39999389648438
2022-06-07,178.33999633789062
2022-06-08,177.27999877929688
2022-06-09,173.7100067138672
2022-06-10,172.5500030517578
2022-06-13,170.80999755859375
2022-06-14,168.19000244140625
2022-06-15,169.99000549316406
2022-06-16,170.0800018310547
2022-06-17,169.4600067138672
2022-06-21,173.00999450683594
2022-06-22,175.74000549316406
2022-06-23,179.66000366210938
2022-06-24,182.2899932861328
2022-06-27,182.1199951171875
2022-06-28,176.94000244140625
2022-06-29,176.99000549316406
2022-06-30,177.50999450683594
2022-07-01,179.52000427246094
2022-07-05,178.13999938964844
2022-07-06,178.3000030517578
2022-07-07,178.5
2022-07-08,178.27999877929688
2022-07-11,178.35000610351562
2022-07-12,175.85000610351562
2022-07-13,175.44000244140625
2022-07-14,175.67999267578125
2022-07-15,178.22999572753906
2022-07-18,174.22999572753906
2022-07-19,171.69000244140625
2022-07-20,170.7100067138672
2022-07-21,171.30999755859375
2022-07-22,172.1199951171875
2022-07-25,172.4600067138672
2022-07-26,173.67999267578125
2022-07-27,173.1999969482422
2022-07-28,174.1999969482422
2022-07-29,174.52000427246094
2022-08-01,173.91000366210938
2022-08-02,172.9199981689453
2022-08-03,174.58999633789062
2022-08-04,171.7899932861328
2022-08-05,171.11000061035156
2022-08-08,170.1999969482422
2022-08-09,170.17999267578125
2022-08-10,170.6699981689453
2022-08-11,167.13999938964844
2022-08-12,165.3000030517578
2022-08-15,166.08999633789062
2022-08-16,167.57000732421875
2022-08-17,167.5800018310547
2022-08-18,166.77000427246094
2022-08-19,169.30999755859375
2022-08-22,167.58999633789062
2022-08-23,166.1300048828125
2022-08-24,165.5800018310547
2022-08-25,167.1300048828125
2022-08-26,164.27000427246094
2022-08-29,163.0
2022-08-30,162.42999267578125
2022-08-31,161.33999633789062
2022-09-01,165.33999633789062
2022-09-02,162.74000549316406
2022-09-06,163.17999267578125
2022-09-07,164.07000732421875
2022-09-08,165.38999938964844
2022-09-09,165.7100067138672
2022-09-12,165.63999938964844
2022-09-13,161.3300018310547
2022-09-14,164.66000366210938
2022-09-15,165.0800018310547
2022-09-16,167.60000610351562
2022-09-19,166.27999877929688
2022-09-20,164.97000122070312
2022-09-21,163.27999877929688
2022-09-22,166.17999267578125
2022-09-23,166.72000122070312
2022-09-26,165.6999969482422
2022-09-27,164.94000244140625
2022-09-28,166.36000061035156
2022-09-29,164.52999877929688
2022-09-30,163.36000061035156
2022-10-03,163.1999969482422
2022-10-04,165.6199951171875
2022-10-05,165.11000061035156
2022-10-06,161.91000366210938
2022-10-07,160.1999969482422
2022-10-10,160.41000366210938
2022-10-11,162.72999572753906
2022-10-12,162.69000244140625
2022-10-13,165.14999389648438
2022-10-14,164.4600067138672
2022-10-17,166.58999633789062
2022-10-18,166.00999450683594
2022-10-19,164.69000244140625
2022-10-20,165.11000061035156
2022-10-21,168.7100067138672
2022-10-24,170.97999572753906
2022-10-25,170.7100067138672
2022-10-26,172.2100067138672
2022-10-27,172.30999755859375
2022-10-28,174.8699951171875
2022-10-31,173.97000122070312
2022-11-01,173.08999633789062
2022-11-02,170.42999267578125
