Date,LYB
2022-02-28,97.2300033569336
2022-03-01,93.41999816894531
2022-03-02,97.80999755859375
2022-03-03,99.81999969482422
2022-03-04,97.12999725341797
2022-03-07,94.77999877929688
2022-03-08,96.0
2022-03-09,98.37000274658203
2022-03-10,99.73999786376953
2022-03-11,103.43000030517578
2022-03-14,103.87000274658203
2022-03-15,98.6500015258789
2022-03-16,100.83999633789062
2022-03-17,104.20999908447266
2022-03-18,102.43000030517578
2022-03-21,104.94000244140625
2022-03-22,104.58000183105469
2022-03-23,104.19000244140625
2022-03-24,107.13999938964844
2022-03-25,107.69000244140625
2022-03-28,105.43000030517578
2022-03-29,104.87000274658203
2022-03-30,105.0199966430664
2022-03-31,102.81999969482422
2022-04-01,103.33999633789062
2022-04-04,102.5199966430664
2022-04-05,101.94999694824219
2022-04-06,99.69000244140625
2022-04-07,100.19999694824219
2022-04-08,101.52999877929688
2022-04-11,101.38999938964844
2022-04-12,103.52999877929688
2022-04-13,105.91999816894531
2022-04-14,107.58000183105469
2022-04-18,108.94999694824219
2022-04-19,110.61000061035156
2022-04-20,111.1500015258789
2022-04-21,111.1500015258789
2022-04-22,106.66999816894531
2022-04-25,105.20999908447266
2022-04-26,104.26000213623047
2022-04-27,105.31999969482422
2022-04-28,106.0999984741211
2022-04-29,106.02999877929688
2022-05-02,108.01000213623047
2022-05-03,110.91999816894531
2022-05-04,116.0
2022-05-05,111.43000030517578
2022-05-06,110.22000122070312
2022-05-09,106.5999984741211
2022-05-10,105.61000061035156
2022-05-11,107.4000015258789
2022-05-12,105.76000213623047
2022-05-13,106.72000122070312
2022-05-16,107.41000366210938
2022-05-17,111.4000015258789
2022-05-18,110.30999755859375
2022-05-19,109.02999877929688
2022-05-20,107.87000274658203
2022-05-23,106.70999908447266
2022-05-24,106.44000244140625
2022-05-25,109.01000213623047
2022-05-26,111.5
2022-05-27,117.08000183105469
2022-05-31,114.25
2022-06-01,114.30999755859375
2022-06-02,115.25
2022-06-03,107.4000015258789
2022-06-06,109.83000183105469
2022-06-07,112.30000305175781
2022-06-08,109.9800033569336
2022-06-09,108.22000122070312
2022-06-10,102.56999969482422
2022-06-13,97.58999633789062
2022-06-14,97.4800033569336
2022-06-15,96.13999938964844
2022-06-16,91.22000122070312
2022-06-17,89.7300033569336
2022-06-21,91.19999694824219
2022-06-22,87.52999877929688
2022-06-23,84.5
2022-06-24,89.23999786376953
2022-06-27,88.22000122070312
2022-06-28,88.41999816894531
2022-06-29,87.86000061035156
2022-06-30,87.45999908447266
2022-07-01,87.66000366210938
2022-07-05,85.11000061035156
2022-07-06,86.02999877929688
2022-07-07,88.73999786376953
2022-07-08,87.4800033569336
2022-07-11,86.55000305175781
2022-07-12,85.93000030517578
2022-07-13,84.58000183105469
2022-07-14,83.5999984741211
2022-07-15,84.73999786376953
2022-07-18,86.41999816894531
2022-07-19,89.3499984741211
2022-07-20,89.0
2022-07-21,87.0199966430664
2022-07-22,86.80000305175781
2022-07-25,87.52999877929688
2022-07-26,87.18000030517578
2022-07-27,88.4000015258789
2022-07-28,88.55999755859375
2022-07-29,89.12000274658203
2022-08-01,86.94999694824219
2022-08-02,85.47000122070312
2022-08-03,85.6500015258789
2022-08-04,85.5
2022-08-05,85.61000061035156
2022-08-08,86.0
2022-08-09,87.26000213623047
2022-08-10,89.0
2022-08-11,91.41000366210938
2022-08-12,92.33000183105469
2022-08-15,90.54000091552734
2022-08-16,91.4000015258789
2022-08-17,89.80999755859375
2022-08-18,91.16000366210938
2022-08-19,89.26000213623047
2022-08-22,88.05000305175781
2022-08-23,90.20999908447266
2022-08-24,88.25
2022-08-25,90.72000122070312
2022-08-26,86.87000274658203
2022-08-29,85.83999633789062
2022-08-30,83.62000274658203
2022-08-31,83.0
2022-09-01,81.86000061035156
2022-09-02,80.77999877929688
2022-09-06,80.56999969482422
2022-09-07,81.5
2022-09-08,82.5
2022-09-09,84.12999725341797
2022-09-12,85.30999755859375
2022-09-13,81.05999755859375
2022-09-14,79.0
2022-09-15,78.69000244140625
2022-09-16,77.1500015258789
2022-09-19,78.02999877929688
2022-09-20,77.36000061035156
2022-09-21,75.69999694824219
2022-09-22,75.11000061035156
2022-09-23,73.08000183105469
2022-09-26,72.19999694824219
2022-09-27,73.27999877929688
2022-09-28,75.5
2022-09-29,74.80999755859375
2022-09-30,75.27999877929688
2022-10-03,78.22000122070312
2022-10-04,81.06999969482422
2022-10-05,80.88999938964844
2022-10-06,80.12000274658203
2022-10-07,78.62000274658203
2022-10-10,78.51000213623047
