Date,PCG
2022-02-28,11.369999885559082
2022-03-01,11.300000190734863
2022-03-02,11.460000038146973
2022-03-03,11.430000305175781
2022-03-04,11.199999809265137
2022-03-07,10.510000228881836
2022-03-08,10.84000015258789
2022-03-09,11.010000228881836
2022-03-10,10.880000114440918
2022-03-11,10.779999732971191
2022-03-14,11.1899995803833
2022-03-15,11.5
2022-03-16,12.0
2022-03-17,11.760000228881836
2022-03-18,11.579999923706055
2022-03-21,11.300000190734863
2022-03-22,11.619999885559082
2022-03-23,11.579999923706055
2022-03-24,11.819999694824219
2022-03-25,11.979999542236328
2022-03-28,12.039999961853027
2022-03-29,12.010000228881836
2022-03-30,12.09000015258789
2022-03-31,11.9399995803833
2022-04-01,12.270000457763672
2022-04-04,12.069999694824219
2022-04-05,12.050000190734863
2022-04-06,12.09000015258789
2022-04-07,12.34000015258789
2022-04-08,12.84000015258789
2022-04-11,12.149999618530273
2022-04-12,12.529999732971191
2022-04-13,12.850000381469727
2022-04-14,12.300000190734863
2022-04-18,12.180000305175781
2022-04-19,12.3100004196167
2022-04-20,12.399999618530273
2022-04-21,12.369999885559082
2022-04-22,12.130000114440918
2022-04-25,11.819999694824219
2022-04-26,12.229999542236328
2022-04-27,12.489999771118164
2022-04-28,12.930000305175781
2022-04-29,12.649999618530273
2022-05-02,12.649999618530273
2022-05-03,12.720000267028809
2022-05-04,13.029999732971191
2022-05-05,12.609999656677246
2022-05-06,12.5600004196167
2022-05-09,12.09000015258789
2022-05-10,11.770000457763672
2022-05-11,12.029999732971191
2022-05-12,11.569999694824219
2022-05-13,11.720000267028809
2022-05-16,11.789999961853027
2022-05-17,12.100000381469727
2022-05-18,11.890000343322754
2022-05-19,12.140000343322754
2022-05-20,11.739999771118164
2022-05-23,12.069999694824219
2022-05-24,11.920000076293945
2022-05-25,12.15999984741211
2022-05-26,12.010000228881836
2022-05-27,12.350000381469727
2022-05-31,12.199999809265137
2022-06-01,12.25
2022-06-02,12.569999694824219
2022-06-03,12.399999618530273
2022-06-06,12.210000038146973
2022-06-07,12.229999542236328
2022-06-08,12.039999961853027
2022-06-09,11.630000114440918
2022-06-10,10.979999542236328
2022-06-13,10.399999618530273
2022-06-14,9.960000038146973
2022-06-15,10.279999732971191
2022-06-16,10.079999923706055
2022-06-17,9.779999732971191
2022-06-21,10.0
2022-06-22,9.899999618530273
2022-06-23,9.789999961853027
2022-06-24,10.25
2022-06-27,10.25
