Date,TRU
2022-02-28,90.76000213623047
2022-03-01,91.80999755859375
2022-03-02,94.66000366210938
2022-03-03,94.20999908447266
2022-03-04,96.22000122070312
2022-03-07,92.37999725341797
2022-03-08,91.68000030517578
2022-03-09,94.7699966430664
2022-03-10,95.68000030517578
2022-03-11,95.68000030517578
2022-03-14,96.0
2022-03-15,98.5199966430664
2022-03-16,103.0
2022-03-17,104.12999725341797
2022-03-18,103.0999984741211
2022-03-21,102.55999755859375
2022-03-22,102.69000244140625
2022-03-23,101.37999725341797
2022-03-24,102.22000122070312
2022-03-25,100.97000122070312
2022-03-28,102.66999816894531
2022-03-29,104.37000274658203
2022-03-30,103.80999755859375
2022-03-31,103.33999633789062
2022-04-01,100.5999984741211
2022-04-04,100.62000274658203
2022-04-05,99.68000030517578
2022-04-06,96.8499984741211
2022-04-07,96.62000274658203
2022-04-08,96.08999633789062
2022-04-11,94.5199966430664
2022-04-12,93.11000061035156
2022-04-13,93.98999786376953
2022-04-14,93.69000244140625
2022-04-18,92.83000183105469
2022-04-19,95.06999969482422
2022-04-20,95.43000030517578
2022-04-21,91.16999816894531
2022-04-22,90.0
2022-04-25,92.77999877929688
2022-04-26,89.9000015258789
2022-04-27,89.41000366210938
2022-04-28,90.88999938964844
2022-04-29,87.5199966430664
2022-05-02,87.19999694824219
2022-05-03,85.41000366210938
2022-05-04,87.87999725341797
2022-05-05,85.05000305175781
2022-05-06,84.44000244140625
2022-05-09,82.51000213623047
2022-05-10,82.72000122070312
2022-05-11,81.18000030517578
2022-05-12,81.66000366210938
2022-05-13,83.70999908447266
2022-05-16,82.0
2022-05-17,83.0
2022-05-18,79.62000274658203
2022-05-19,80.9000015258789
2022-05-20,81.62000274658203
2022-05-23,82.61000061035156
2022-05-24,81.86000061035156
2022-05-25,82.30999755859375
2022-05-26,85.30999755859375
2022-05-27,88.23999786376953
2022-05-31,86.80999755859375
2022-06-01,84.19999694824219
2022-06-02,86.80000305175781
2022-06-03,85.86000061035156
2022-06-06,85.2300033569336
2022-06-07,86.33000183105469
2022-06-08,84.0199966430664
2022-06-09,82.55000305175781
2022-06-10,79.2699966430664
2022-06-13,78.80999755859375
2022-06-14,77.33000183105469
2022-06-15,79.55000305175781
2022-06-16,76.6500015258789
2022-06-17,77.12999725341797
2022-06-21,76.30000305175781
2022-06-22,77.73999786376953
2022-06-23,79.13999938964844
2022-06-24,81.83000183105469
2022-06-27,81.80999755859375
2022-06-28,79.5
2022-06-29,79.80999755859375
2022-06-30,79.98999786376953
2022-07-01,81.91999816894531
2022-07-05,82.36000061035156
2022-07-06,82.6500015258789
2022-07-07,83.58999633789062
2022-07-08,82.7699966430664
2022-07-11,82.19999694824219
2022-07-12,81.30999755859375
2022-07-13,80.1500015258789
2022-07-14,81.94999694824219
2022-07-15,83.2300033569336
2022-07-18,82.62000274658203
2022-07-19,86.41999816894531
2022-07-20,88.05000305175781
2022-07-21,89.01000213623047
2022-07-22,88.45999908447266
2022-07-25,87.69000244140625
2022-07-26,75.5199966430664
2022-07-27,75.44000244140625
2022-07-28,78.77999877929688
2022-07-29,79.2300033569336
2022-08-01,77.52999877929688
2022-08-02,76.68000030517578
2022-08-03,79.08000183105469
