Date,RCI
2022-02-28,51.619998931884766
2022-03-01,51.45000076293945
2022-03-02,53.27000045776367
2022-03-03,53.369998931884766
2022-03-04,53.619998931884766
2022-03-07,54.31999969482422
2022-03-08,53.560001373291016
2022-03-09,53.38999938964844
2022-03-10,53.7400016784668
2022-03-11,53.880001068115234
2022-03-14,53.5099983215332
2022-03-15,53.4900016784668
2022-03-16,53.43000030517578
2022-03-17,53.869998931884766
2022-03-18,53.630001068115234
2022-03-21,53.5099983215332
2022-03-22,53.61000061035156
2022-03-23,53.09000015258789
2022-03-24,53.349998474121094
2022-03-25,54.63999938964844
2022-03-28,54.7400016784668
2022-03-29,55.31999969482422
2022-03-30,56.189998626708984
2022-03-31,56.75
2022-04-01,57.130001068115234
2022-04-04,56.869998931884766
2022-04-05,57.189998626708984
2022-04-06,57.599998474121094
2022-04-07,58.130001068115234
2022-04-08,58.4900016784668
2022-04-11,58.560001373291016
2022-04-12,58.400001525878906
2022-04-13,58.79999923706055
2022-04-14,59.22999954223633
2022-04-18,58.65999984741211
2022-04-19,58.47999954223633
2022-04-20,60.88999938964844
2022-04-21,59.41999816894531
2022-04-22,57.86000061035156
2022-04-25,57.619998931884766
2022-04-26,56.439998626708984
2022-04-27,56.189998626708984
2022-04-28,56.2400016784668
2022-04-29,54.459999084472656
2022-05-02,53.290000915527344
2022-05-03,53.56999969482422
2022-05-04,54.0
2022-05-05,53.0099983215332
2022-05-06,51.97999954223633
2022-05-09,49.36000061035156
2022-05-10,49.90999984741211
2022-05-11,49.619998931884766
2022-05-12,48.970001220703125
2022-05-13,49.77000045776367
2022-05-16,50.720001220703125
2022-05-17,51.060001373291016
2022-05-18,50.38999938964844
2022-05-19,50.310001373291016
2022-05-20,50.5099983215332
2022-05-23,51.36000061035156
2022-05-24,51.04999923706055
2022-05-25,51.54999923706055
2022-05-26,51.560001373291016
2022-05-27,51.599998474121094
2022-05-31,51.27000045776367
2022-06-01,51.11000061035156
2022-06-02,51.2599983215332
2022-06-03,50.77000045776367
2022-06-06,50.56999969482422
2022-06-07,51.279998779296875
2022-06-08,50.029998779296875
2022-06-09,48.619998931884766
2022-06-10,47.970001220703125
2022-06-13,46.7599983215332
2022-06-14,45.84000015258789
2022-06-15,46.310001373291016
2022-06-16,44.779998779296875
2022-06-17,45.279998779296875
2022-06-21,47.13999938964844
2022-06-22,47.04999923706055
