Date,TOST
2022-02-28,20.520000457763672
2022-03-01,19.59000015258789
2022-03-02,20.5
2022-03-03,19.639999389648438
2022-03-04,17.889999389648438
2022-03-07,17.209999084472656
2022-03-08,17.56999969482422
2022-03-09,19.450000762939453
2022-03-10,19.610000610351562
2022-03-11,17.6299991607666
2022-03-14,16.260000228881836
2022-03-15,17.3799991607666
2022-03-16,18.719999313354492
2022-03-17,18.940000534057617
2022-03-18,19.649999618530273
2022-03-21,20.049999237060547
2022-03-22,20.239999771118164
2022-03-23,19.90999984741211
2022-03-24,20.0
2022-03-25,19.440000534057617
2022-03-28,19.229999542236328
2022-03-29,21.639999389648438
2022-03-30,21.889999389648438
2022-03-31,21.729999542236328
2022-04-01,22.760000228881836
2022-04-04,24.049999237060547
2022-04-05,21.190000534057617
2022-04-06,20.600000381469727
2022-04-07,19.06999969482422
2022-04-08,18.809999465942383
2022-04-11,18.809999465942383
2022-04-12,18.760000228881836
2022-04-13,19.6200008392334
2022-04-14,19.299999237060547
2022-04-18,19.170000076293945
2022-04-19,20.200000762939453
2022-04-20,19.709999084472656
2022-04-21,19.229999542236328
2022-04-22,18.799999237060547
2022-04-25,19.270000457763672
2022-04-26,18.959999084472656
2022-04-27,19.209999084472656
2022-04-28,20.59000015258789
2022-04-29,18.6299991607666
2022-05-02,19.40999984741211
2022-05-03,18.510000228881836
2022-05-04,18.260000228881836
2022-05-05,16.450000762939453
2022-05-06,15.369999885559082
2022-05-09,13.770000457763672
2022-05-10,13.920000076293945
2022-05-11,12.680000305175781
2022-05-12,14.289999961853027
2022-05-13,14.989999771118164
2022-05-16,13.899999618530273
2022-05-17,13.510000228881836
2022-05-18,13.210000038146973
2022-05-19,14.789999961853027
2022-05-20,15.359999656677246
2022-05-23,15.319999694824219
2022-05-24,14.369999885559082
2022-05-25,14.949999809265137
2022-05-26,15.640000343322754
2022-05-27,16.520000457763672
2022-05-31,16.239999771118164
2022-06-01,15.640000343322754
2022-06-02,16.93000030517578
2022-06-03,16.719999313354492
2022-06-06,16.110000610351562
2022-06-07,16.25
2022-06-08,16.229999542236328
2022-06-09,15.9399995803833
2022-06-10,14.979999542236328
2022-06-13,14.029999732971191
2022-06-14,13.850000381469727
2022-06-15,13.729999542236328
2022-06-16,13.0600004196167
