Date,EC
2022-02-28,16.170000076293945
2022-03-01,16.56999969482422
2022-03-02,16.639999389648438
2022-03-03,17.110000610351562
2022-03-04,17.520000457763672
2022-03-07,17.889999389648438
2022-03-08,18.020000457763672
2022-03-09,17.559999465942383
2022-03-10,17.65999984741211
2022-03-11,17.81999969482422
2022-03-14,16.889999389648438
2022-03-15,16.670000076293945
2022-03-16,16.65999984741211
2022-03-17,17.510000228881836
2022-03-18,17.170000076293945
2022-03-21,17.979999542236328
2022-03-22,17.850000381469727
2022-03-23,18.65999984741211
2022-03-24,18.75
2022-03-25,19.010000228881836
2022-03-28,18.530000686645508
2022-03-29,18.610000610351562
2022-03-30,18.81999969482422
2022-03-31,18.600000381469727
2022-04-01,18.93000030517578
2022-04-04,19.010000228881836
2022-04-05,19.309999465942383
2022-04-06,18.950000762939453
2022-04-07,19.18000030517578
2022-04-08,19.1299991607666
2022-04-11,18.81999969482422
2022-04-12,19.09000015258789
2022-04-13,19.280000686645508
2022-04-14,19.649999618530273
2022-04-18,19.34000015258789
2022-04-19,17.860000610351562
2022-04-20,18.040000915527344
2022-04-21,17.469999313354492
2022-04-22,17.299999237060547
2022-04-25,16.68000030517578
2022-04-26,16.479999542236328
2022-04-27,16.719999313354492
2022-04-28,16.68000030517578
2022-04-29,16.229999542236328
2022-05-02,16.15999984741211
2022-05-03,16.479999542236328
2022-05-04,17.049999237060547
2022-05-05,16.34000015258789
2022-05-06,16.25
2022-05-09,15.100000381469727
2022-05-10,15.15999984741211
2022-05-11,15.119999885559082
2022-05-12,14.920000076293945
2022-05-13,15.149999618530273
2022-05-16,15.350000381469727
2022-05-17,15.390000343322754
2022-05-18,14.170000076293945
2022-05-19,13.890000343322754
2022-05-20,14.180000305175781
2022-05-23,14.630000114440918
2022-05-24,14.59000015258789
2022-05-25,14.930000305175781
2022-05-26,15.09000015258789
2022-05-27,15.3100004196167
2022-05-31,16.899999618530273
2022-06-01,17.31999969482422
2022-06-02,17.219999313354492
2022-06-03,17.469999313354492
2022-06-06,17.209999084472656
2022-06-07,17.43000030517578
2022-06-08,17.079999923706055
2022-06-09,16.459999084472656
2022-06-10,15.930000305175781
2022-06-13,15.09000015258789
2022-06-14,14.920000076293945
2022-06-15,14.850000381469727
2022-06-16,14.380000114440918
2022-06-17,13.680000305175781
2022-06-21,12.180000305175781
2022-06-22,11.539999961853027
2022-06-23,10.819999694824219
2022-06-24,11.029999732971191
2022-06-27,11.770000457763672
2022-06-28,11.479999542236328
2022-06-29,11.069999694824219
2022-06-30,10.859999656677246
2022-07-01,11.079999923706055
2022-07-05,10.1899995803833
2022-07-06,9.890000343322754
2022-07-07,10.300000190734863
2022-07-08,10.380000114440918
2022-07-11,10.0600004196167
2022-07-12,9.960000038146973
2022-07-13,10.050000190734863
2022-07-14,9.520000457763672
2022-07-15,9.579999923706055
2022-07-18,9.800000190734863
2022-07-19,10.199999809265137
2022-07-20,10.180000305175781
2022-07-21,9.699999809265137
2022-07-22,9.329999923706055
2022-07-25,9.739999771118164
2022-07-26,9.920000076293945
2022-07-27,10.180000305175781
2022-07-28,10.390000343322754
2022-07-29,10.739999771118164
2022-08-01,10.520000457763672
2022-08-02,10.600000381469727
2022-08-03,10.579999923706055
2022-08-04,10.15999984741211
2022-08-05,10.3100004196167
2022-08-08,10.699999809265137
2022-08-09,10.779999732971191
2022-08-10,10.800000190734863
2022-08-11,10.989999771118164
2022-08-12,11.220000267028809
2022-08-15,10.779999732971191
2022-08-16,10.609999656677246
2022-08-17,10.4399995803833
2022-08-18,10.59000015258789
2022-08-19,10.399999618530273
2022-08-22,10.510000228881836
2022-08-23,11.130000114440918
2022-08-24,11.210000038146973
2022-08-25,11.199999809265137
2022-08-26,10.970000267028809
2022-08-29,11.3100004196167
2022-08-30,10.729999542236328
2022-08-31,10.3100004196167
2022-09-01,9.859999656677246
2022-09-02,10.350000381469727
2022-09-06,10.390000343322754
2022-09-07,10.380000114440918
2022-09-08,10.239999771118164
2022-09-09,10.770000457763672
2022-09-12,11.029999732971191
2022-09-13,10.8100004196167
2022-09-14,11.020000457763672
2022-09-15,10.420000076293945
2022-09-16,10.25
2022-09-19,10.399999618530273
2022-09-20,10.050000190734863
2022-09-21,9.869999885559082
2022-09-22,10.069999694824219
2022-09-23,9.1899995803833
2022-09-26,8.640000343322754
2022-09-27,8.850000381469727
2022-09-28,9.15999984741211
2022-09-29,9.180000305175781
2022-09-30,8.930000305175781
2022-10-03,9.630000114440918
2022-10-04,10.239999771118164
2022-10-05,10.1899995803833
2022-10-06,10.279999732971191
2022-10-07,10.199999809265137
2022-10-10,9.770000457763672
2022-10-11,9.5
2022-10-12,9.359999656677246
2022-10-13,9.710000038146973
2022-10-14,9.15999984741211
2022-10-17,9.399999618530273
2022-10-18,9.399999618530273
2022-10-19,9.59000015258789
2022-10-20,9.390000343322754
2022-10-21,9.569999694824219
2022-10-24,9.319999694824219
2022-10-25,9.220000267028809
2022-10-26,9.369999885559082
2022-10-27,9.619999885559082
2022-10-28,9.869999885559082
2022-10-31,9.859999656677246
2022-11-01,10.1899995803833
2022-11-02,9.930000305175781
2022-11-03,9.720000267028809
2022-11-04,9.970000267028809
2022-11-07,10.210000038146973
2022-11-08,10.210000038146973
2022-11-09,9.829999923706055
2022-11-10,10.34000015258789
2022-11-11,9.949999809265137
2022-11-14,10.380000114440918
2022-11-15,10.359999656677246
2022-11-16,9.930000305175781
2022-11-17,10.079999923706055
2022-11-18,9.890000343322754
2022-11-21,9.649999618530273
2022-11-22,10.25
