Date,GOLD
2022-02-28,22.56999969482422
2022-03-01,23.459999084472656
2022-03-02,23.149999618530273
2022-03-03,23.56999969482422
2022-03-04,24.200000762939453
2022-03-07,24.860000610351562
2022-03-08,25.360000610351562
2022-03-09,24.329999923706055
2022-03-10,24.489999771118164
2022-03-11,24.350000381469727
2022-03-14,23.639999389648438
2022-03-15,23.770000457763672
2022-03-16,23.610000610351562
2022-03-17,24.079999923706055
2022-03-18,23.8700008392334
2022-03-21,24.299999237060547
2022-03-22,24.229999542236328
2022-03-23,24.56999969482422
2022-03-24,24.5
2022-03-25,24.540000915527344
2022-03-28,24.229999542236328
2022-03-29,24.530000686645508
2022-03-30,24.850000381469727
2022-03-31,24.530000686645508
2022-04-01,24.940000534057617
2022-04-04,24.860000610351562
2022-04-05,24.459999084472656
2022-04-06,24.610000610351562
2022-04-07,24.899999618530273
2022-04-08,25.40999984741211
2022-04-11,25.399999618530273
2022-04-12,25.440000534057617
2022-04-13,25.579999923706055
2022-04-14,25.200000762939453
2022-04-18,25.3799991607666
2022-04-19,25.010000228881836
2022-04-20,25.25
2022-04-21,24.219999313354492
2022-04-22,23.729999542236328
2022-04-25,22.729999542236328
2022-04-26,22.3700008392334
2022-04-27,22.239999771118164
2022-04-28,22.43000030517578
2022-04-29,22.309999465942383
2022-05-02,22.15999984741211
2022-05-03,22.40999984741211
2022-05-04,23.190000534057617
2022-05-05,22.559999465942383
2022-05-06,22.420000076293945
2022-05-09,21.489999771118164
2022-05-10,21.290000915527344
2022-05-11,21.229999542236328
2022-05-12,20.34000015258789
2022-05-13,20.43000030517578
2022-05-16,20.520000457763672
2022-05-17,20.469999313354492
2022-05-18,19.75
2022-05-19,20.719999313354492
2022-05-20,20.760000228881836
2022-05-23,20.729999542236328
2022-05-24,21.309999465942383
2022-05-25,21.25
2022-05-26,20.6299991607666
2022-05-27,20.600000381469727
2022-05-31,20.489999771118164
2022-06-01,20.350000381469727
2022-06-02,20.969999313354492
2022-06-03,20.68000030517578
2022-06-06,20.510000228881836
2022-06-07,20.739999771118164
2022-06-08,20.770000457763672
2022-06-09,20.09000015258789
