Date,ETN
2022-02-28,154.2899932861328
2022-03-01,146.4499969482422
2022-03-02,152.1699981689453
2022-03-03,154.97000122070312
2022-03-04,149.77999877929688
2022-03-07,145.7899932861328
2022-03-08,146.1999969482422
2022-03-09,149.1199951171875
2022-03-10,148.1999969482422
2022-03-11,146.9199981689453
2022-03-14,148.4600067138672
2022-03-15,150.27000427246094
2022-03-16,153.33999633789062
2022-03-17,154.69000244140625
2022-03-18,155.5800018310547
2022-03-21,154.60000610351562
2022-03-22,155.25
2022-03-23,152.42999267578125
2022-03-24,153.1999969482422
2022-03-25,154.17999267578125
2022-03-28,154.2100067138672
2022-03-29,157.52999877929688
2022-03-30,155.4600067138672
2022-03-31,151.75999450683594
2022-04-01,151.80999755859375
2022-04-04,150.9199981689453
2022-04-05,146.61000061035156
2022-04-06,144.86000061035156
2022-04-07,145.8699951171875
2022-04-08,145.17999267578125
2022-04-11,142.27000427246094
2022-04-12,140.82000732421875
2022-04-13,141.77000427246094
2022-04-14,139.91000366210938
2022-04-18,140.66000366210938
2022-04-19,145.77000427246094
2022-04-20,149.3800048828125
2022-04-21,149.9499969482422
2022-04-22,146.0399932861328
2022-04-25,147.07000732421875
2022-04-26,143.77999877929688
2022-04-27,145.7100067138672
2022-04-28,147.8800048828125
2022-04-29,145.02000427246094
2022-05-02,146.5
2022-05-03,146.5800018310547
2022-05-04,149.92999267578125
2022-05-05,148.3800048828125
2022-05-06,147.2899932861328
2022-05-09,147.9600067138672
2022-05-10,140.97999572753906
2022-05-11,140.80999755859375
2022-05-12,141.75
2022-05-13,141.3300018310547
2022-05-16,138.97999572753906
2022-05-17,143.3800048828125
2022-05-18,136.52000427246094
2022-05-19,136.0800018310547
2022-05-20,134.13999938964844
2022-05-23,136.75999450683594
2022-05-24,133.8300018310547
2022-05-25,134.0800018310547
2022-05-26,136.27999877929688
2022-05-27,139.82000732421875
2022-05-31,138.60000610351562
2022-06-01,137.72000122070312
2022-06-02,140.82000732421875
2022-06-03,140.35000610351562
2022-06-06,141.36000061035156
2022-06-07,145.41000366210938
2022-06-08,144.47999572753906
2022-06-09,142.5
2022-06-10,137.02999877929688
2022-06-13,132.85000610351562
2022-06-14,130.52000427246094
2022-06-15,131.00999450683594
2022-06-16,126.11000061035156
2022-06-17,125.5199966430664
2022-06-21,126.13999938964844
2022-06-22,126.22000122070312
2022-06-23,126.88999938964844
2022-06-24,131.8300018310547
2022-06-27,132.25
2022-06-28,129.32000732421875
2022-06-29,127.2699966430664
2022-06-30,125.98999786376953
2022-07-01,127.37000274658203
2022-07-05,126.68000030517578
2022-07-06,128.0
2022-07-07,129.58999633789062
2022-07-08,127.81999969482422
2022-07-11,127.8499984741211
2022-07-12,126.87999725341797
2022-07-13,125.72000122070312
2022-07-14,125.04000091552734
2022-07-15,128.99000549316406
2022-07-18,126.87999725341797
2022-07-19,132.3000030517578
2022-07-20,133.85000610351562
2022-07-21,137.33999633789062
2022-07-22,136.64999389648438
2022-07-25,137.10000610351562
2022-07-26,139.13999938964844
2022-07-27,141.6699981689453
2022-07-28,146.25999450683594
2022-07-29,148.38999938964844
2022-08-01,147.5
2022-08-02,146.38999938964844
2022-08-03,148.6999969482422
2022-08-04,148.7100067138672
2022-08-05,148.64999389648438
2022-08-08,147.92999267578125
2022-08-09,146.41000366210938
2022-08-10,149.33999633789062
2022-08-11,149.4499969482422
2022-08-12,152.44000244140625
2022-08-15,152.4199981689453
2022-08-16,153.10000610351562
2022-08-17,151.99000549316406
2022-08-18,153.35000610351562
2022-08-19,150.83999633789062
2022-08-22,146.75
2022-08-23,146.30999755859375
2022-08-24,145.52000427246094
2022-08-25,148.0500030517578
2022-08-26,141.0800018310547
2022-08-29,140.7100067138672
2022-08-30,139.24000549316406
2022-08-31,136.63999938964844
2022-09-01,138.77000427246094
2022-09-02,137.3000030517578
2022-09-06,138.4600067138672
2022-09-07,141.27000427246094
2022-09-08,143.24000549316406
2022-09-09,145.7100067138672
2022-09-12,147.61000061035156
2022-09-13,142.50999450683594
2022-09-14,143.10000610351562
2022-09-15,141.11000061035156
2022-09-16,138.27000427246094
2022-09-19,140.22000122070312
2022-09-20,139.17999267578125
2022-09-21,137.8300018310547
2022-09-22,135.1300048828125
2022-09-23,134.13999938964844
2022-09-26,133.52999877929688
2022-09-27,131.3000030517578
2022-09-28,133.91000366210938
2022-09-29,134.14999389648438
2022-09-30,133.36000061035156
2022-10-03,137.7899932861328
2022-10-04,143.47999572753906
2022-10-05,144.5
2022-10-06,142.4499969482422
2022-10-07,136.8300018310547
2022-10-10,136.3800048828125
2022-10-11,136.4199981689453
