Date,EMR
2022-02-28,92.91999816894531
2022-03-01,89.51000213623047
2022-03-02,93.2300033569336
2022-03-03,93.22000122070312
2022-03-04,91.58000183105469
2022-03-07,91.63999938964844
2022-03-08,93.69999694824219
2022-03-09,94.38999938964844
2022-03-10,94.73999786376953
2022-03-11,93.0
2022-03-14,92.31999969482422
2022-03-15,92.6500015258789
2022-03-16,93.76000213623047
2022-03-17,95.48999786376953
2022-03-18,97.0
2022-03-21,98.19999694824219
2022-03-22,98.0199966430664
2022-03-23,97.29000091552734
2022-03-24,97.7699966430664
2022-03-25,98.51000213623047
2022-03-28,98.22000122070312
2022-03-29,99.05999755859375
2022-03-30,98.9800033569336
2022-03-31,98.05000305175781
2022-04-01,98.41999816894531
2022-04-04,98.30000305175781
2022-04-05,96.55999755859375
2022-04-06,96.18000030517578
2022-04-07,95.88999938964844
2022-04-08,94.56999969482422
2022-04-11,93.18000030517578
2022-04-12,92.81999969482422
2022-04-13,93.30999755859375
2022-04-14,92.86000061035156
2022-04-18,93.97000122070312
2022-04-19,95.69000244140625
2022-04-20,97.13999938964844
2022-04-21,96.70999908447266
2022-04-22,93.5999984741211
2022-04-25,92.20999908447266
2022-04-26,89.66999816894531
2022-04-27,90.61000061035156
2022-04-28,92.30999755859375
2022-04-29,90.18000030517578
2022-05-02,90.43000030517578
2022-05-03,90.4800033569336
2022-05-04,91.33999633789062
2022-05-05,89.2300033569336
2022-05-06,88.01000213623047
2022-05-09,84.41000366210938
2022-05-10,83.61000061035156
2022-05-11,83.12999725341797
2022-05-12,82.75
2022-05-13,83.68000030517578
2022-05-16,84.44999694824219
2022-05-17,86.38999938964844
2022-05-18,83.55999755859375
2022-05-19,83.30000305175781
2022-05-20,83.63999938964844
2022-05-23,84.97000122070312
2022-05-24,83.88999938964844
2022-05-25,84.2300033569336
2022-05-26,86.5999984741211
2022-05-27,88.4000015258789
2022-05-31,88.66000366210938
2022-06-01,88.56999969482422
2022-06-02,89.87999725341797
2022-06-03,90.27999877929688
2022-06-06,90.25
2022-06-07,91.52999877929688
2022-06-08,91.1500015258789
2022-06-09,89.94000244140625
2022-06-10,87.05999755859375
2022-06-13,85.27999877929688
