Date,DG
2022-02-28,198.33999633789062
2022-03-01,201.0500030517578
2022-03-02,205.41000366210938
2022-03-03,206.2899932861328
2022-03-04,210.97999572753906
2022-03-07,203.72000122070312
2022-03-08,199.25999450683594
2022-03-09,207.22000122070312
2022-03-10,206.0800018310547
2022-03-11,205.5500030517578
2022-03-14,208.69000244140625
2022-03-15,214.25
2022-03-16,212.49000549316406
2022-03-17,221.94000244140625
2022-03-18,229.6300048828125
2022-03-21,228.39999389648438
2022-03-22,226.05999755859375
2022-03-23,221.5500030517578
2022-03-24,220.89999389648438
2022-03-25,221.47000122070312
2022-03-28,226.3000030517578
2022-03-29,228.52000427246094
2022-03-30,227.47000122070312
2022-03-31,222.6300048828125
2022-04-01,226.3000030517578
2022-04-04,226.27000427246094
2022-04-05,229.36000061035156
2022-04-06,239.0
2022-04-07,241.69000244140625
2022-04-08,245.8000030517578
2022-04-11,240.77000427246094
2022-04-12,243.8300018310547
2022-04-13,245.38999938964844
2022-04-14,248.77000427246094
2022-04-18,250.17999267578125
2022-04-19,255.36000061035156
2022-04-20,259.0400085449219
2022-04-21,255.8300018310547
2022-04-22,248.80999755859375
2022-04-25,248.49000549316406
2022-04-26,245.0
2022-04-27,243.5
2022-04-28,246.5800018310547
2022-04-29,237.52999877929688
2022-05-02,236.1699981689453
2022-05-03,236.9600067138672
2022-05-04,241.91000366210938
2022-05-05,233.63999938964844
2022-05-06,233.55999755859375
2022-05-09,231.3699951171875
2022-05-10,227.5
2022-05-11,228.3699951171875
2022-05-12,231.86000061035156
2022-05-13,232.3300018310547
2022-05-16,234.1699981689453
2022-05-17,227.5500030517578
2022-05-18,202.25999450683594
2022-05-19,201.3300018310547
2022-05-20,187.60000610351562
2022-05-23,194.4199981689453
2022-05-24,195.9499969482422
2022-05-25,195.33999633789062
2022-05-26,222.1300048828125
2022-05-27,228.3800048828125
2022-05-31,220.33999633789062
2022-06-01,218.82000732421875
2022-06-02,224.72000122070312
2022-06-03,226.9499969482422
2022-06-06,232.47000122070312
2022-06-07,234.32000732421875
2022-06-08,233.72999572753906
2022-06-09,237.7100067138672
2022-06-10,233.36000061035156
2022-06-13,230.92999267578125
2022-06-14,230.02000427246094
2022-06-15,232.25
2022-06-16,232.22999572753906
2022-06-17,230.8000030517578
2022-06-21,238.97000122070312
2022-06-22,240.52000427246094
2022-06-23,243.61000061035156
2022-06-24,247.89999389648438
2022-06-27,246.75999450683594
2022-06-28,243.5800018310547
2022-06-29,247.0500030517578
2022-06-30,245.44000244140625
2022-07-01,246.35000610351562
2022-07-05,250.0500030517578
2022-07-06,253.17999267578125
2022-07-07,254.86000061035156
2022-07-08,252.8800048828125
2022-07-11,253.8800048828125
2022-07-12,247.5399932861328
2022-07-13,246.6300048828125
2022-07-14,248.35000610351562
2022-07-15,244.13999938964844
2022-07-18,244.14999389648438
2022-07-19,245.35000610351562
2022-07-20,246.25999450683594
2022-07-21,246.94000244140625
2022-07-22,247.80999755859375
2022-07-25,247.72000122070312
2022-07-26,241.38999938964844
2022-07-27,244.4499969482422
2022-07-28,245.14999389648438
2022-07-29,248.42999267578125
2022-08-01,252.0800018310547
2022-08-02,250.6199951171875
2022-08-03,251.99000549316406
2022-08-04,251.27999877929688
2022-08-05,253.0800018310547
2022-08-08,255.3000030517578
2022-08-09,253.9600067138672
2022-08-10,254.38999938964844
2022-08-11,251.8699951171875
2022-08-12,253.3000030517578
2022-08-15,252.94000244140625
2022-08-16,256.7799987792969
2022-08-17,255.5399932861328
2022-08-18,257.6600036621094
2022-08-19,253.86000061035156
2022-08-22,248.72999572753906
2022-08-23,247.60000610351562
2022-08-24,247.4499969482422
2022-08-25,246.0800018310547
2022-08-26,236.32000732421875
2022-08-29,238.6300048828125
2022-08-30,238.72999572753906
2022-08-31,237.4199981689453
2022-09-01,242.77000427246094
2022-09-02,242.60000610351562
2022-09-06,239.80999755859375
2022-09-07,245.88999938964844
2022-09-08,247.41000366210938
2022-09-09,247.25999450683594
2022-09-12,247.1300048828125
2022-09-13,240.3300018310547
2022-09-14,241.07000732421875
2022-09-15,240.85000610351562
2022-09-16,243.7899932861328
2022-09-19,245.61000061035156
2022-09-20,245.75999450683594
2022-09-21,240.27999877929688
2022-09-22,240.1999969482422
2022-09-23,241.6199951171875
2022-09-26,238.4600067138672
2022-09-27,235.85000610351562
2022-09-28,241.00999450683594
2022-09-29,239.47000122070312
2022-09-30,239.86000061035156
2022-10-03,246.47999572753906
2022-10-04,245.11000061035156
2022-10-05,242.6999969482422
2022-10-06,241.6699981689453
2022-10-07,239.5
2022-10-10,239.61000061035156
2022-10-11,239.6300048828125
2022-10-12,237.67999267578125
2022-10-13,242.16000366210938
2022-10-14,236.60000610351562
2022-10-17,236.39999389648438
2022-10-18,237.58999633789062
2022-10-19,238.3699951171875
2022-10-20,237.22000122070312
2022-10-21,239.3699951171875
2022-10-24,244.97999572753906
2022-10-25,250.4600067138672
2022-10-26,250.5800018310547
2022-10-27,253.5399932861328
2022-10-28,260.44000244140625
2022-10-31,255.0500030517578
2022-11-01,254.13999938964844
2022-11-02,249.67999267578125
2022-11-03,249.24000549316406
2022-11-04,248.10000610351562
2022-11-07,251.32000732421875
2022-11-08,251.0
2022-11-09,242.36000061035156
2022-11-10,253.94000244140625
2022-11-11,249.13999938964844
2022-11-14,246.92999267578125
2022-11-15,257.260009765625
2022-11-16,256.19000244140625
2022-11-17,255.92999267578125
2022-11-18,257.70001220703125
2022-11-21,257.7099914550781
2022-11-22,257.4599914550781
2022-11-23,256.3299865722656
2022-11-25,257.2300109863281
2022-11-28,253.10000610351562
2022-11-29,252.85000610351562
2022-11-30,255.67999267578125
2022-12-01,236.33999633789062
2022-12-02,243.9600067138672
2022-12-05,245.92999267578125
2022-12-06,245.4499969482422
2022-12-07,248.97000122070312
2022-12-08,248.6999969482422
2022-12-09,243.25999450683594
2022-12-12,244.80999755859375
2022-12-13,243.4600067138672
2022-12-14,247.47999572753906
2022-12-15,246.8800048828125
2022-12-16,248.25
