Date,RACE
2022-02-28,215.30999755859375
2022-03-01,208.47999572753906
2022-03-02,210.05999755859375
2022-03-03,203.74000549316406
2022-03-04,198.41000366210938
2022-03-07,183.25
2022-03-08,181.47999572753906
2022-03-09,197.72000122070312
2022-03-10,192.9600067138672
2022-03-11,190.4499969482422
2022-03-14,192.92999267578125
2022-03-15,195.1999969482422
2022-03-16,208.89999389648438
2022-03-17,209.52999877929688
2022-03-18,209.61000061035156
2022-03-21,207.5399932861328
2022-03-22,212.38999938964844
2022-03-23,207.8800048828125
2022-03-24,213.1199951171875
2022-03-25,213.33999633789062
2022-03-28,214.44000244140625
2022-03-29,222.88999938964844
2022-03-30,221.19000244140625
2022-03-31,218.08999633789062
2022-04-01,221.0800018310547
2022-04-04,231.42999267578125
2022-04-05,225.77999877929688
2022-04-06,220.1999969482422
2022-04-07,221.39999389648438
2022-04-08,219.50999450683594
2022-04-11,220.75999450683594
2022-04-12,221.7100067138672
2022-04-13,223.47000122070312
2022-04-14,219.99000549316406
2022-04-18,220.5
2022-04-19,222.85000610351562
2022-04-20,221.63999938964844
2022-04-21,216.88999938964844
2022-04-22,210.4600067138672
2022-04-25,213.3699951171875
2022-04-26,205.7899932861328
2022-04-27,207.88999938964844
2022-04-28,214.0399932861328
2022-04-29,209.74000549316406
2022-05-02,210.55999755859375
2022-05-03,214.22999572753906
2022-05-04,211.75
2022-05-05,202.05999755859375
2022-05-06,197.86000061035156
2022-05-09,190.55999755859375
2022-05-10,190.7100067138672
2022-05-11,188.5
2022-05-12,188.99000549316406
2022-05-13,193.91000366210938
2022-05-16,187.61000061035156
2022-05-17,192.3699951171875
2022-05-18,183.1699981689453
2022-05-19,188.44000244140625
2022-05-20,189.47999572753906
2022-05-23,189.66000366210938
2022-05-24,190.52000427246094
2022-05-25,191.0399932861328
2022-05-26,197.02000427246094
2022-05-27,201.86000061035156
2022-05-31,194.97000122070312
2022-06-01,189.1699981689453
2022-06-02,197.8800048828125
2022-06-03,189.7100067138672
2022-06-06,193.27000427246094
2022-06-07,191.16000366210938
2022-06-08,191.8699951171875
2022-06-09,187.4499969482422
2022-06-10,181.82000732421875
2022-06-13,171.50999450683594
2022-06-14,168.75
2022-06-15,176.8699951171875
2022-06-16,174.05999755859375
2022-06-17,176.02999877929688
2022-06-21,184.42999267578125
2022-06-22,183.75
2022-06-23,185.61000061035156
2022-06-24,191.94000244140625
2022-06-27,186.4600067138672
2022-06-28,185.07000732421875
2022-06-29,184.8000030517578
2022-06-30,183.47999572753906
2022-07-01,187.94000244140625
2022-07-05,189.97999572753906
2022-07-06,189.80999755859375
2022-07-07,192.57000732421875
2022-07-08,193.6300048828125
2022-07-11,190.67999267578125
2022-07-12,188.86000061035156
2022-07-13,191.1199951171875
2022-07-14,188.75
2022-07-15,193.47000122070312
2022-07-18,195.0800018310547
2022-07-19,198.97999572753906
2022-07-20,195.58999633789062
2022-07-21,202.0399932861328
2022-07-22,200.42999267578125
2022-07-25,201.61000061035156
2022-07-26,195.64999389648438
2022-07-27,200.72999572753906
2022-07-28,207.49000549316406
2022-07-29,211.22999572753906
2022-08-01,213.2100067138672
2022-08-02,211.0399932861328
2022-08-03,215.6999969482422
2022-08-04,216.0
2022-08-05,211.94000244140625
2022-08-08,213.55999755859375
2022-08-09,210.47000122070312
2022-08-10,215.0
2022-08-11,215.27000427246094
2022-08-12,215.80999755859375
2022-08-15,214.66000366210938
2022-08-16,212.16000366210938
2022-08-17,211.3800048828125
2022-08-18,212.3699951171875
2022-08-19,207.0399932861328
2022-08-22,200.55999755859375
2022-08-23,201.89999389648438
2022-08-24,203.60000610351562
2022-08-25,206.9199981689453
2022-08-26,197.7899932861328
2022-08-29,198.99000549316406
2022-08-30,195.42999267578125
2022-08-31,194.66000366210938
2022-09-01,193.85000610351562
2022-09-02,191.17999267578125
2022-09-06,190.35000610351562
2022-09-07,195.27000427246094
2022-09-08,193.7100067138672
2022-09-09,195.8000030517578
2022-09-12,201.97000122070312
2022-09-13,195.52000427246094
2022-09-14,199.6199951171875
2022-09-15,196.63999938964844
2022-09-16,196.89999389648438
2022-09-19,198.44000244140625
2022-09-20,194.0
2022-09-21,192.47999572753906
2022-09-22,189.1300048828125
2022-09-23,186.25
2022-09-26,186.42999267578125
2022-09-27,189.19000244140625
2022-09-28,191.22999572753906
2022-09-29,186.4199981689453
2022-09-30,185.0
2022-10-03,186.6999969482422
2022-10-04,193.77999877929688
2022-10-05,193.52000427246094
2022-10-06,190.8800048828125
2022-10-07,185.0
2022-10-10,182.11000061035156
2022-10-11,183.14999389648438
2022-10-12,182.5
2022-10-13,183.4499969482422
2022-10-14,180.6300048828125
2022-10-17,188.58999633789062
2022-10-18,191.02000427246094
2022-10-19,187.57000732421875
2022-10-20,186.66000366210938
2022-10-21,188.3699951171875
2022-10-24,191.72999572753906
2022-10-25,196.50999450683594
2022-10-26,197.17999267578125
2022-10-27,196.2899932861328
2022-10-28,198.64999389648438
2022-10-31,196.77000427246094
2022-11-01,196.9600067138672
2022-11-02,191.58999633789062
2022-11-03,192.52000427246094
2022-11-04,199.1999969482422
2022-11-07,199.88999938964844
2022-11-08,204.3000030517578
2022-11-09,201.49000549316406
2022-11-10,212.8000030517578
2022-11-11,216.86000061035156
2022-11-14,212.75999450683594
2022-11-15,215.44000244140625
2022-11-16,213.94000244140625
2022-11-17,213.5500030517578
2022-11-18,216.3300018310547
2022-11-21,214.1199951171875
2022-11-22,216.36000061035156
2022-11-23,217.58999633789062
2022-11-25,218.13999938964844
2022-11-28,215.9499969482422
2022-11-29,215.22000122070312
2022-11-30,223.0500030517578
2022-12-01,228.0800018310547
2022-12-02,226.5800018310547
2022-12-05,223.67999267578125
2022-12-06,221.10000610351562
2022-12-07,220.0800018310547
2022-12-08,220.3300018310547
2022-12-09,220.72000122070312
2022-12-12,222.52999877929688
2022-12-13,225.49000549316406
2022-12-14,225.17999267578125
2022-12-15,222.39999389648438
2022-12-16,218.11000061035156
2022-12-19,216.1300048828125
2022-12-20,214.08999633789062
2022-12-21,213.89999389648438
2022-12-22,212.55999755859375
2022-12-23,211.00999450683594
2022-12-27,212.0
2022-12-28,210.25
2022-12-29,216.58999633789062
2022-12-30,214.22000122070312
2023-01-03,215.3699951171875
2023-01-04,219.6699981689453
2023-01-05,216.0800018310547
2023-01-06,224.0800018310547
2023-01-09,228.77000427246094
2023-01-10,231.9499969482422
2023-01-11,233.7100067138672
2023-01-12,235.83999633789062
2023-01-13,235.9199981689453
2023-01-17,237.86000061035156
2023-01-18,239.7100067138672
2023-01-19,237.99000549316406
2023-01-20,242.3800048828125
2023-01-23,243.63999938964844
2023-01-24,244.0399932861328
2023-01-25,245.5800018310547
2023-01-26,247.77000427246094
2023-01-27,253.72000122070312
2023-01-30,251.25
2023-01-31,251.30999755859375
2023-02-01,253.32000732421875
2023-02-02,265.4800109863281
2023-02-03,260.0400085449219
2023-02-06,261.30999755859375
2023-02-07,266.9100036621094
2023-02-08,266.55999755859375
2023-02-09,266.30999755859375
2023-02-10,259.67999267578125
2023-02-13,263.44000244140625
2023-02-14,265.6099853515625
2023-02-15,267.2300109863281
2023-02-16,265.8800048828125
2023-02-17,266.8800048828125
2023-02-21,262.79998779296875
2023-02-22,260.6000061035156
2023-02-23,262.1499938964844
2023-02-24,259.1099853515625
2023-02-27,261.3599853515625
2023-02-28,260.3699951171875
2023-03-01,262.7200012207031
2023-03-02,264.5799865722656
