Date,AMT
2022-02-28,226.8699951171875
2022-03-01,228.5500030517578
2022-03-02,231.0
2022-03-03,235.24000549316406
2022-03-04,238.27999877929688
2022-03-07,232.02000427246094
2022-03-08,227.97000122070312
2022-03-09,233.11000061035156
2022-03-10,232.8000030517578
2022-03-11,234.83999633789062
2022-03-14,234.92999267578125
2022-03-15,236.2100067138672
2022-03-16,239.6300048828125
2022-03-17,245.13999938964844
2022-03-18,242.52999877929688
2022-03-21,241.63999938964844
2022-03-22,239.6699981689453
2022-03-23,234.0
2022-03-24,235.49000549316406
2022-03-25,240.69000244140625
2022-03-28,245.02999877929688
2022-03-29,250.5500030517578
2022-03-30,250.8699951171875
2022-03-31,251.22000122070312
2022-04-01,256.95001220703125
2022-04-04,257.8299865722656
2022-04-05,262.9200134277344
2022-04-06,268.6199951171875
2022-04-07,265.7300109863281
2022-04-08,266.4100036621094
2022-04-11,263.30999755859375
2022-04-12,257.17999267578125
2022-04-13,257.1600036621094
2022-04-14,255.5399932861328
2022-04-18,253.91000366210938
2022-04-19,258.7699890136719
2022-04-20,267.5899963378906
2022-04-21,266.75
2022-04-22,261.8999938964844
2022-04-25,259.5199890136719
2022-04-26,254.82000732421875
2022-04-27,252.85000610351562
2022-04-28,252.17999267578125
2022-04-29,241.02000427246094
2022-05-02,236.9499969482422
2022-05-03,241.00999450683594
2022-05-04,245.63999938964844
2022-05-05,241.47999572753906
2022-05-06,244.07000732421875
2022-05-09,231.08999633789062
2022-05-10,224.75
2022-05-11,224.72000122070312
2022-05-12,225.5
2022-05-13,232.66000366210938
2022-05-16,230.22000122070312
2022-05-17,233.0
2022-05-18,230.6300048828125
2022-05-19,233.25
2022-05-20,244.27999877929688
2022-05-23,249.4199981689453
2022-05-24,258.5199890136719
2022-05-25,260.2900085449219
2022-05-26,254.69000244140625
2022-05-27,260.9599914550781
2022-05-31,256.1300048828125
2022-06-01,252.55999755859375
2022-06-02,262.3599853515625
2022-06-03,266.7300109863281
2022-06-06,267.3599853515625
2022-06-07,266.1499938964844
2022-06-08,264.4599914550781
2022-06-09,260.20001220703125
2022-06-10,251.00999450683594
2022-06-13,240.02999877929688
2022-06-14,234.49000549316406
2022-06-15,241.39999389648438
2022-06-16,234.17999267578125
2022-06-17,236.1699981689453
2022-06-21,246.85000610351562
2022-06-22,252.00999450683594
2022-06-23,258.30999755859375
2022-06-24,261.6499938964844
2022-06-27,259.3299865722656
2022-06-28,252.92999267578125
2022-06-29,253.16000366210938
2022-06-30,255.58999633789062
2022-07-01,258.3999938964844
2022-07-05,255.94000244140625
2022-07-06,258.2300109863281
2022-07-07,257.17999267578125
2022-07-08,255.00999450683594
2022-07-11,257.989990234375
2022-07-12,255.49000549316406
2022-07-13,255.9199981689453
2022-07-14,256.510009765625
2022-07-15,257.20001220703125
2022-07-18,249.25
2022-07-19,257.1600036621094
2022-07-20,249.74000549316406
2022-07-21,255.39999389648438
2022-07-22,259.6000061035156
2022-07-25,257.3399963378906
2022-07-26,258.9800109863281
2022-07-27,258.2799987792969
2022-07-28,268.8999938964844
2022-07-29,270.8299865722656
2022-08-01,268.6199951171875
2022-08-02,266.6300048828125
2022-08-03,268.8299865722656
2022-08-04,271.2699890136719
2022-08-05,272.19000244140625
2022-08-08,273.0
2022-08-09,276.17999267578125
2022-08-10,277.7900085449219
2022-08-11,273.95001220703125
2022-08-12,277.7200012207031
2022-08-15,281.5199890136719
2022-08-16,278.45001220703125
2022-08-17,277.4599914550781
2022-08-18,275.489990234375
2022-08-19,274.4100036621094
2022-08-22,269.75
2022-08-23,265.2300109863281
2022-08-24,264.4800109863281
2022-08-25,268.239990234375
2022-08-26,261.19000244140625
2022-08-29,259.7200012207031
2022-08-30,253.39999389648438
2022-08-31,254.0500030517578
2022-09-01,257.6400146484375
2022-09-02,250.85000610351562
2022-09-06,254.17999267578125
2022-09-07,259.5
2022-09-08,261.6700134277344
2022-09-09,261.5899963378906
2022-09-12,265.0899963378906
2022-09-13,254.6300048828125
2022-09-14,251.82000732421875
2022-09-15,245.05999755859375
2022-09-16,245.88999938964844
2022-09-19,247.5
2022-09-20,237.89999389648438
2022-09-21,234.14999389648438
2022-09-22,232.77999877929688
2022-09-23,228.80999755859375
2022-09-26,221.3699951171875
2022-09-27,220.60000610351562
2022-09-28,221.05999755859375
2022-09-29,213.72000122070312
2022-09-30,214.6999969482422
2022-10-03,217.1699981689453
2022-10-04,220.0800018310547
2022-10-05,214.13999938964844
2022-10-06,203.07000732421875
