Date,CLX
2022-02-28,145.7899932861328
2022-03-01,144.8800048828125
2022-03-02,144.82000732421875
2022-03-03,145.4499969482422
2022-03-04,144.74000549316406
2022-03-07,145.49000549316406
2022-03-08,138.44000244140625
2022-03-09,137.27000427246094
2022-03-10,133.4499969482422
2022-03-11,130.16000366210938
2022-03-14,127.62000274658203
2022-03-15,130.6300048828125
2022-03-16,131.55999755859375
2022-03-17,132.8300018310547
2022-03-18,133.8300018310547
2022-03-21,133.8800048828125
2022-03-22,136.13999938964844
2022-03-23,135.7899932861328
2022-03-24,134.10000610351562
2022-03-25,136.4600067138672
2022-03-28,138.6300048828125
2022-03-29,139.69000244140625
2022-03-30,139.5
2022-03-31,139.02999877929688
2022-04-01,142.8300018310547
2022-04-04,145.0
2022-04-05,144.1999969482422
2022-04-06,143.9199981689453
2022-04-07,146.16000366210938
2022-04-08,146.5
2022-04-11,147.75
2022-04-12,146.4499969482422
2022-04-13,145.38999938964844
2022-04-14,145.57000732421875
2022-04-18,143.52000427246094
2022-04-19,145.30999755859375
2022-04-20,146.1999969482422
2022-04-21,148.14999389648438
2022-04-22,150.64999389648438
2022-04-25,152.2899932861328
2022-04-26,146.27000427246094
2022-04-27,147.7100067138672
2022-04-28,148.33999633789062
2022-04-29,143.47000122070312
2022-05-02,143.27999877929688
2022-05-03,147.55999755859375
2022-05-04,149.6300048828125
2022-05-05,148.27000427246094
2022-05-06,153.94000244140625
2022-05-09,157.42999267578125
2022-05-10,156.22999572753906
2022-05-11,154.86000061035156
2022-05-12,157.02999877929688
2022-05-13,158.27999877929688
2022-05-16,157.08999633789062
2022-05-17,156.75
2022-05-18,145.8300018310547
2022-05-19,138.14999389648438
2022-05-20,138.3000030517578
2022-05-23,139.58999633789062
2022-05-24,141.60000610351562
2022-05-25,142.08999633789062
2022-05-26,146.39999389648438
2022-05-27,148.7100067138672
2022-05-31,145.36000061035156
2022-06-01,140.6999969482422
2022-06-02,141.32000732421875
2022-06-03,138.8800048828125
2022-06-06,137.0399932861328
2022-06-07,134.27999877929688
2022-06-08,134.3300018310547
2022-06-09,132.08999633789062
2022-06-10,131.10000610351562
2022-06-13,128.8800048828125
2022-06-14,124.63999938964844
2022-06-15,123.12999725341797
2022-06-16,122.56999969482422
2022-06-17,122.72000122070312
2022-06-21,125.62000274658203
2022-06-22,132.13999938964844
