Date,ECL
2022-02-28,176.25999450683594
2022-03-01,170.50999450683594
2022-03-02,172.85000610351562
2022-03-03,171.1199951171875
2022-03-04,168.11000061035156
2022-03-07,158.52999877929688
2022-03-08,156.72999572753906
2022-03-09,165.02000427246094
2022-03-10,162.47999572753906
2022-03-11,158.85000610351562
2022-03-14,165.02999877929688
2022-03-15,167.82000732421875
2022-03-16,170.75999450683594
2022-03-17,171.6699981689453
2022-03-18,171.13999938964844
2022-03-21,170.72000122070312
2022-03-22,176.35000610351562
2022-03-23,173.74000549316406
2022-03-24,176.25999450683594
2022-03-25,177.58999633789062
2022-03-28,178.3000030517578
2022-03-29,182.6999969482422
2022-03-30,180.39999389648438
2022-03-31,176.55999755859375
2022-04-01,180.3699951171875
2022-04-04,180.07000732421875
2022-04-05,180.19000244140625
2022-04-06,181.27000427246094
2022-04-07,183.6199951171875
2022-04-08,182.9499969482422
2022-04-11,180.5399932861328
2022-04-12,179.3300018310547
2022-04-13,180.1699981689453
2022-04-14,176.60000610351562
2022-04-18,175.0399932861328
2022-04-19,180.75999450683594
2022-04-20,182.25999450683594
2022-04-21,180.02000427246094
2022-04-22,175.1999969482422
2022-04-25,175.61000061035156
2022-04-26,168.47000122070312
2022-04-27,170.5399932861328
2022-04-28,175.30999755859375
2022-04-29,169.33999633789062
2022-05-02,165.6199951171875
2022-05-03,166.3800048828125
2022-05-04,173.8699951171875
2022-05-05,166.69000244140625
2022-05-06,165.1999969482422
2022-05-09,163.80999755859375
2022-05-10,160.36000061035156
2022-05-11,160.25
2022-05-12,159.72999572753906
2022-05-13,161.99000549316406
2022-05-16,159.33999633789062
2022-05-17,162.94000244140625
2022-05-18,156.2100067138672
2022-05-19,157.64999389648438
2022-05-20,159.49000549316406
2022-05-23,161.02999877929688
2022-05-24,158.39999389648438
2022-05-25,157.82000732421875
2022-05-26,164.1999969482422
2022-05-27,166.02999877929688
2022-05-31,163.91000366210938
2022-06-01,162.8699951171875
2022-06-02,173.1300048828125
2022-06-03,170.4600067138672
2022-06-06,169.82000732421875
2022-06-07,170.7100067138672
2022-06-08,164.99000549316406
